 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Output value / Mean values [W]  
"=""17:45""";0;0;"1,498";"1,498";0;0;0;0; 
"=""18:00""";0;0;"2,552";"2,552";0;0;0;0; 
"=""18:15""";0;0;"2,256";"2,254";0;0;2;0; 
"=""18:30""";0;1;"2,050";"2,051";0;0;0;0; 
"=""18:45""";0;0;"2,922";"2,921";0;0;1;; 
"=""19:00""";0;0;"2,158";"2,157";0;0;1;; 
"=""19:15""";0;0;"2,784";"2,938";0;0;0;; 
"=""19:30""";0;0;"3,032";"3,030";0;0;2;; 
"=""19:45""";0;0;"3,198";"3,265";0;0;0;; 
"=""20:00"""; ;0;"3,036";;0;;0;; 
"=""20:15"""; ;0;"2,520";;0;;0;; 
"=""20:30"""; ;0;"2,449";;0;;0;; 
"=""20:45"""; ;0;"2,262";;0;;0;; 
"=""21:00"""; ;0;"3,613";;0;;0;; 
"=""21:15"""; ;0;"2,939";;0;;0;; 
"=""21:30"""; ;0;"2,538";;0;;0;; 
"=""21:45"""; ;0;"2,279";;0;;0;; 
"=""22:00"""; ;0;"2,254";;0;;0;; 
"=""22:15"""; ;0;"2,228";;0;;0;; 
"=""22:30"""; ;0;"1,910";;0;;0;; 
"=""22:45"""; ;0;"2,151";;0;;0;; 
"=""23:00"""; ;0;"2,745";;0;;0;; 
"=""23:15"""; ;0;"2,201";;0;;0;; 
"=""23:30"""; ;0;"2,338";;0;;0;; 
"=""23:45"""; ;0;"2,075";;0;;0;; 
"=""00:00"""; ;0;"2,986";;0;;0;;"3,000"
