 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"3,581";;0;;0;; ; 
"=""00:30"""; ;0;"2,825";;0;;0;; ; 
"=""00:45"""; ;0;"3,337";;0;;0;; ; 
"=""01:00"""; ;0;"2,839";;0;;0;; ; 
"=""01:15"""; ;0;"1,985";;0;;0;; ; 
"=""01:30"""; ;0;"2,231";;0;;0;; ; 
"=""01:45"""; ;0;"2,070";;0;;0;; ; 
"=""02:00"""; ;0;"2,211";;0;;0;; ; 
"=""02:15"""; ;0;"1,671";;0;;0;; ; 
"=""02:30"""; ;0;"1,878";;0;;0;; ; 
"=""02:45"""; ;0;"1,690";;0;;0;; ; 
"=""03:00"""; ;0;"1,342";;0;;0;; ; 
"=""03:15"""; ;0;"1,456";;0;;0;; ; 
"=""03:30"""; ;0;"1,629";;0;;0;; ; 
"=""03:45"""; ;0;"1,730";;0;;0;; ; 
"=""04:00"""; ;0;"1,558";;0;;0;; ; 
"=""04:15"""; ;0;"1,284";;0;;0;; ; 
"=""04:30"""; ;0;"1,547";;0;;0;; ; 
"=""04:45"""; ;0;"1,202";;0;;0;; ; 
"=""05:00"""; ;0;"1,234";;0;;0;; ; 
"=""05:15""";0;0;"2,393";"2,393";0;0;0;; ; 
"=""05:30""";0;0;"2,236";"2,236";0;0;0;; ; 
"=""05:45""";0;0;"2,500";"2,500";0;0;0;; ; 
"=""06:00""";0;0;"1,223";"1,223";0;0;0;; ; 
"=""06:15""";0;0;"1,485";"1,485";0;0;0;; ; 
"=""06:30""";0;0;"3,135";"3,135";0;0;0;0; ; 
