 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,337";;0;;0;; ; 
"=""00:30"""; ;0;"2,992";;0;;0;; ; 
"=""00:45"""; ;0;"2,946";;0;;0;; ; 
"=""01:00"""; ;0;"3,036";;0;;0;; ; 
"=""01:15"""; ;0;"2,893";;0;;0;; ; 
"=""01:30"""; ;0;"2,831";;0;;0;; ; 
"=""01:45"""; ;0;"1,707";;0;;0;; ; 
"=""02:00"""; ;0;"1,915";;0;;0;; ; 
"=""02:15"""; ;0;"1,977";;0;;0;; ; 
"=""02:30"""; ;0;"2,265";;0;;0;; ; 
"=""02:45"""; ;0;"1,581";;0;;0;; ; 
"=""03:00"""; ;0;"1,653";;0;;0;; ; 
"=""03:15"""; ;0;"1,726";;0;;0;; ; 
"=""03:30"""; ;0;"1,884";;0;;0;; ; 
"=""03:45"""; ;0;"1,597";;0;;0;; ; 
"=""04:00"""; ;0;"1,658";;0;;0;; ; 
"=""04:15"""; ;0;"1,346";;0;;0;; ; 
"=""04:30"""; ;0;"1,119";;0;;0;; ; 
"=""04:45"""; ;0;"1,438";;0;;0;; ; 
"=""05:00"""; ;0;"1,605";;0;;0;; ; 
"=""05:15""";0;0;"1,705";"1,705";0;0;0;; ; 
"=""05:30""";0;0;"2,956";"2,956";0;0;0;; ; 
"=""05:45""";0;0;"1,389";"1,389";0;0;0;; ; 
"=""06:00""";0;0;"1,764";"1,764";0;0;0;0; ; 
"=""06:15""";19;0;"1,454";"1,473";0;19;0;19; ; 
"=""06:30""";87;0;"1,698";"1,785";0;87;0;87; ; 
"=""06:45""";242;0;"1,157";"1,399";0;242;0;242; ; 
"=""07:00""";400;0;"1,037";"1,437";0;400;0;400; ; 
"=""07:15""";627;0;"1,024";"1,651";0;627;0;627; ; 
"=""07:30""";766;0;"1,165";"1,931";1;766;0;767; ; 
"=""07:45""";"1,071";1;"1,023";"2,095";4;"1,071";0;"1,075"; ; 
"=""08:00""";"1,278";0;725;"2,002";31;"1,278";4;"1,313"; ; 
"=""08:15""";"1,402";0;513;"1,915";41;"1,402";149;"1,592"; ; 
"=""08:30""";"1,386";0;442;"1,828";40;"1,386";254;"1,679"; ; 
"=""08:45""";"1,561";0;339;"1,901";67;"1,561";288;"1,917"; ; 
"=""09:00""";"1,406";0;181;"1,587";102;"1,406";679;"2,186"; ; 
"=""09:04"""; ; ; ; ; ; ; ; ; ;"1,170"
