 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,752";;0;;0;; ; 
"=""00:30"""; ;0;"2,582";;0;;2;; ; 
"=""00:45"""; ;0;"2,490";;0;;1;; ; 
"=""01:00"""; ;0;"2,411";;0;;0;; ; 
"=""01:15"""; ;1;"1,783";;0;;0;; ; 
"=""01:30"""; ;0;"2,345";;0;;2;; ; 
"=""01:45"""; ;0;"2,287";;0;;1;; ; 
"=""02:00"""; ;0;"1,746";;0;;0;; ; 
"=""02:15"""; ;2;"2,070";;0;;0;; ; 
"=""02:30"""; ;0;"1,600";;0;;1;; ; 
"=""02:45"""; ;0;"2,110";;0;;0;; ; 
"=""03:00"""; ;0;"1,931";;0;;1;; ; 
"=""03:15"""; ;1;"1,666";;0;;0;; ; 
"=""03:30"""; ;0;"1,748";;0;;0;; ; 
"=""03:45"""; ;0;"1,612";;0;;0;; ; 
"=""04:00"""; ;0;"1,741";;0;;0;; ; 
"=""04:15"""; ;1;"1,780";;0;;0;; ; 
"=""04:30"""; ;0;"1,583";;0;;0;; ; 
"=""04:45"""; ;0;"1,757";;0;;1;; ; 
"=""05:00"""; ;0;"2,139";;0;;1;; ; 
"=""05:15"""; ;0;"3,025";;0;;1;; ; 
"=""05:30""";0;0;"2,923";"2,923";0;0;1;; ; 
"=""05:45""";0;0;"1,842";"1,842";0;0;0;; ; 
"=""06:00""";0;0;"1,462";"1,459";0;0;3;0; ; 
"=""06:15""";11;0;"1,521";"1,532";0;11;0;11; ; 
"=""06:30""";81;0;"2,820";"2,901";0;81;1;82; ; 
"=""06:45""";155;0;"1,199";"1,354";0;155;3;158; ; 
"=""07:00""";325;0;708;"1,033";0;325;0;325; ; 
"=""07:15""";580;0;559;"1,139";1;580;0;581; ; 
"=""07:30""";774;0;357;"1,130";12;774;57;842; ; 
"=""07:45""";668;0;406;"1,074";3;668;1;672; ; 
"=""08:00""";846;0;243;"1,089";23;846;198;"1,067"; ; 
"=""08:15""";"1,073";0;137;"1,210";54;"1,073";510;"1,637"; ; 
"=""08:30""";"1,119";0;107;"1,225";71;"1,119";722;"1,911"; ; 
"=""08:45""";997;0;71;"1,068";71;997;"1,137";"2,205"; ; 
"=""08:50"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""08:55"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:00""";"1,032";0;83;"1,114";80;"1,032";831;"1,942"; ; 
"=""09:15""";998;0;86;"1,085";90;998;"1,053";"2,141"; ; 
"=""09:30""";933;0;52;985;51;933;"1,233";"2,217"; ; 
"=""09:45""";908;0;55;963;54;908;"1,247";"2,209"; ; 
"=""10:00""";"1,171";0;314;"1,485";132;"1,171";766;"2,069"; ; 
"=""10:15""";"1,376";0;834;"2,210";127;"1,376";201;"1,704"; ; 
"=""10:30""";982;0;128;"1,109";132;982;"1,470";"2,583"; ; 
"=""10:45""";875;0;68;942;66;875;"1,749";"2,689"; ; 
"=""10:45"""; ; ; ; ; ; ; ; ; ;"1,920"
"=""10:50"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""10:55"""; ; ; ; ; ; ; ; ; ;0
"=""11:00""";"1,187";0;285;"1,472";235;"1,187";894;"2,316"; ; 
"=""11:00"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:05"""; ; ; ; ; ; ; ; ; ;"1,950"
"=""11:10"""; ; ; ; ; ; ; ; ; ;"1,890"
"=""11:15""";900;0;104;"1,004";313;900;"1,105";"2,317"; ; 
"=""11:15"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:20"""; ; ; ; ; ; ; ; ; ;"1,710"
"=""11:25"""; ; ; ; ; ; ; ; ; ;"1,530"
"=""11:30""";839;0;79;919;333;839;969;"2,141"; ; 
"=""11:30"""; ; ; ; ; ; ; ; ; ;"1,500"
"=""11:35"""; ; ; ; ; ; ; ; ; ;"2,610"
"=""11:40"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""11:45""";744;0;54;798;287;744;746;"1,778"; ; 
"=""11:45"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:50"""; ; ; ; ; ; ; ; ; ;"1,770"
"=""11:55"""; ; ; ; ; ; ; ; ; ;900
"=""12:00""";906;0;637;"1,543";326;906;629;"1,861"; ; 
"=""12:00"""; ; ; ; ; ; ; ; ; ;480
"=""12:05"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:10"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""12:15""";"1,594";0;784;"2,378";248;"1,594";539;"2,381"; ; 
"=""12:15"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""12:20"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""12:25"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";"1,856";0;330;"2,185";118;"1,856";466;"2,439"; ; 
"=""12:30"""; ; ; ; ; ; ; ; ; ;"2,580"
"=""12:35"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""12:40"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";"1,995";0;130;"2,126";232;"1,995";423;"2,650"; ; 
"=""13:00""";"2,432";0;972;"3,404";0;"2,432";384;"2,816"; ; 
"=""13:15""";"2,553";0;"1,326";"3,879";0;"2,553";350;"2,903"; ; 
"=""13:30""";"2,836";0;297;"3,133";0;"2,836";316;"3,152"; ; 
"=""13:45""";"2,718";0;554;"3,273";0;"2,718";297;"3,015"; ; 
"=""14:00""";"2,653";0;604;"3,256";0;"2,653";272;"2,925"; ; 
"=""14:15""";"2,620";0;653;"3,273";0;"2,620";253;"2,873"; ; 
"=""14:30""";"2,417";0;"1,062";"3,479";0;"2,417";237;"2,654"; ; 
"=""14:45""";"2,156";0;"1,133";"3,289";0;"2,156";220;"2,375"; ; 
"=""15:00""";"2,433";0;784;"3,217";17;"2,433";207;"2,657"; ; 
"=""15:15""";"1,174";0;983;"2,157";75;"1,174";196;"1,445"; ; 
"=""15:30""";873;0;"1,154";"2,026";0;873;184;"1,057"; ; 
"=""15:35"""; ; ; ; ; ; ; ; ; ;"1,590"
"=""15:40"""; ; ; ; ; ; ; ; ; ;"2,010"
"=""15:45""";"1,016";0;394;"1,410";198;"1,016";175;"1,389"; ; 
"=""15:45"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""15:55"""; ; ; ; ; ; ; ; ; ;"1,170"
"=""16:00""";721;0;184;904;143;721;166;"1,029"; ; 
"=""16:00"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""16:05"""; ; ; ; ; ; ; ; ; ;"1,080"
"=""16:10"""; ; ; ; ; ; ; ; ; ;"1,020"
"=""16:15""";872;0;23;895;282;872;159;"1,312"; ; 
"=""16:15"""; ; ; ; ; ; ; ; ; ;"2,190"
"=""16:20"""; ; ; ; ; ; ; ; ; ;"1,020"
"=""16:25"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""16:30""";710;0;99;809;219;710;152;"1,081"; ; 
"=""16:30"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""16:45""";739;0;75;814;82;739;144;966; ; 
"=""17:00""";408;0;430;838;0;408;139;546; ; 
"=""17:15""";552;414;923;"1,888";7;552;0;559; ; 
"=""17:15"""; ; ; ; ; ; ; ; ; ;"2,820"
