 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,755";;0;;0;; ; 
"=""00:30"""; ;0;"2,349";;0;;0;; ; 
"=""00:45"""; ;0;"2,792";;0;;0;; ; 
"=""01:00"""; ;0;"1,580";;0;;0;; ; 
"=""01:15"""; ;0;"2,511";;0;;0;; ; 
"=""01:30"""; ;0;"1,645";;0;;0;; ; 
"=""01:45"""; ;0;"1,891";;0;;0;; ; 
"=""02:00"""; ;0;"2,341";;0;;0;; ; 
"=""02:15"""; ;0;"1,555";;0;;0;; ; 
"=""02:30"""; ;0;"1,911";;0;;0;; ; 
"=""02:45"""; ;0;"1,675";;0;;0;; ; 
"=""03:00"""; ;0;"1,605";;0;;0;; ; 
"=""03:15"""; ;0;"1,615";;0;;0;; ; 
"=""03:30"""; ;0;"1,508";;0;;0;; ; 
"=""03:45"""; ;0;"1,667";;0;;0;; ; 
"=""04:00"""; ;0;"1,627";;0;;0;; ; 
"=""04:15"""; ;0;"2,467";;0;;0;; ; 
"=""04:30"""; ;0;"1,885";;0;;0;; ; 
"=""04:45"""; ;0;"1,670";;0;;0;; ; 
"=""05:00"""; ;0;"1,422";;0;;0;; ; 
"=""05:15""";0;0;"2,113";"2,113";0;0;0;; ; 
"=""05:30""";0;0;"2,201";"2,201";0;0;0;; ; 
"=""05:45""";0;0;"2,085";"2,085";0;0;0;; ; 
"=""06:00""";0;0;"1,443";"1,443";0;0;0;0; ; 
"=""06:15""";2;0;"1,588";"1,590";0;2;0;2; ; 
"=""06:30""";66;0;"1,663";"1,729";0;66;0;66; ; 
"=""06:45""";147;0;"1,624";"1,771";0;147;0;147; ; 
"=""07:00""";126;0;"1,386";"1,512";0;126;0;126; ; 
"=""07:15""";100;0;"1,395";"1,495";0;100;0;100; ; 
"=""07:30""";152;0;"1,120";"1,272";0;152;0;152; ; 
"=""07:45""";427;0;"1,524";"1,951";0;427;0;427; ; 
"=""08:00""";565;0;632;"1,197";0;565;0;565; ; 
"=""08:15""";464;0;"1,377";"1,841";0;464;0;464; ; 
"=""08:30""";710;0;806;"1,516";0;710;0;710; ; 
"=""08:45""";994;0;704;"1,697";4;994;0;997; ; 
"=""09:00""";866;0;410;"1,276";14;866;25;905; ; 
"=""09:15""";374;0;646;"1,020";0;374;1;375; ; 
"=""09:30""";746;0;465;"1,211";9;746;80;834; ; 
"=""09:45""";341;0;617;959;0;341;0;341; ; 
"=""10:00""";322;0;948;"1,270";0;322;0;322; ; 
"=""10:15""";367;0;745;"1,111";0;367;2;368; ; 
"=""10:30""";641;0;451;"1,092";3;641;14;657; ; 
"=""10:45""";859;0;515;"1,374";33;859;49;941; ; 
"=""11:00""";910;0;154;"1,064";49;910;143;"1,101"; ; 
"=""11:15""";874;0;222;"1,096";37;874;49;960; ; 
"=""11:30""";965;0;240;"1,205";30;965;117;"1,112"; ; 
"=""11:45""";894;0;98;992;25;894;314;"1,233"; ; 
"=""11:57"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""12:00""";"1,032";0;92;"1,124";18;"1,032";358;"1,408"; ; 
"=""12:02"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:12"""; ; ; ; ; ; ; ; ; ;420
"=""12:15""";"1,034";0;159;"1,193";61;"1,034";742;"1,838"; ; 
"=""12:17"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:22"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""12:27"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";"1,060";0;274;"1,334";269;"1,060";686;"2,016"; ; 
"=""12:32"""; ; ; ; ; ; ; ; ; ;930
"=""12:37"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""12:42"""; ; ; ; ; ; ; ; ; ;"2,370"
"=""12:45""";"1,547";330;241;"2,118";237;"1,547";0;"1,784"; ; 
"=""12:47"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:57"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""13:00""";"1,553";65;217;"1,835";120;"1,553";0;"1,673"; ; 
"=""13:02"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:15""";"1,445";87;143;"1,675";43;"1,445";0;"1,488"; ; 
"=""13:30""";"1,306";28;968;"2,302";11;"1,306";0;"1,317"; ; 
"=""13:45""";963;0;"2,322";"3,285";3;963;1;967; ; 
"=""14:00""";"1,273";0;"2,816";"4,089";0;"1,273";0;"1,273"; ; 
"=""14:15""";"1,570";0;"1,595";"3,165";0;"1,570";3;"1,572"; ; 
"=""14:30""";"1,332";0;"1,856";"3,188";0;"1,332";1;"1,333"; ; 
"=""14:45""";973;0;"1,648";"2,621";1;973;0;974; ; 
"=""15:00""";756;0;"2,554";"3,310";0;756;1;757; ; 
"=""15:15""";752;0;"1,549";"2,301";4;752;25;780; ; 
"=""15:30""";"1,127";0;"1,482";"2,610";7;"1,127";9;"1,143"; ; 
"=""15:45""";623;0;"2,493";"3,116";0;623;0;623; ; 
"=""16:00""";456;0;"1,238";"1,694";0;456;0;456; ; 
"=""16:15""";548;2;535;"1,085";0;548;0;548; ; 
"=""16:30""";555;2;491;"1,047";0;555;0;555; ; 
"=""16:45""";378;0;580;958;0;378;0;378; ; 
"=""17:00""";365;0;"1,393";"1,758";0;365;1;366; ; 
"=""17:15""";342;0;"1,236";"1,578";0;342;0;342; ; 
"=""17:30""";326;1;"1,685";"2,012";0;326;0;326; ; 
"=""17:45""";227;0;"1,945";"2,172";0;227;0;227; ; 
"=""18:00""";126;0;"1,506";"1,632";0;126;0;126; ; 
"=""18:15""";118;0;"2,119";"2,237";0;118;0;118; ; 
"=""18:30""";56;0;"2,472";"2,528";0;56;0;56; ; 
"=""18:45""";10;0;"2,485";"2,495";0;10;0;10; ; 
"=""19:00""";0;0;"3,025";"3,025";0;0;0;; ; 
"=""19:15""";0;0;"2,473";"2,473";0;0;0;; ; 
"=""19:30""";0;0;"2,725";"2,725";0;0;0;; ; 
"=""19:45""";0;0;"2,939";"3,310";0;0;0;; ; 
"=""20:00""";0;0;"4,171";"4,171";0;0;0;; ; 
"=""20:15""";0;0;"3,474";"3,602";0;0;0;; ; 
"=""20:30"""; ;0;"4,245";;0;;0;; ; 
"=""20:45"""; ;0;"2,762";;0;;0;; ; 
"=""21:00"""; ;0;"2,784";;0;;0;; ; 
"=""21:15"""; ;0;"2,516";;0;;0;; ; 
"=""21:30"""; ;0;"2,401";;0;;0;; ; 
"=""21:45"""; ;0;"2,437";;0;;0;; ; 
"=""22:00"""; ;0;"2,472";;0;;0;; ; 
"=""22:15"""; ;0;"1,986";;0;;0;; ; 
"=""22:30"""; ;0;"2,229";;0;;0;; ; 
"=""22:45"""; ;0;"2,135";;0;;0;; ; 
"=""23:00"""; ;0;"1,832";;0;;0;; ; 
"=""23:15"""; ;0;"1,952";;0;;0;; ; 
"=""23:30"""; ;0;"1,862";;0;;0;; ; 
"=""23:45"""; ;0;"1,698";;0;;0;; ; 
"=""00:00"""; ;0;"1,944";;0;;0;;300;"3,000"
