 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,695";;0;;0;; ; 
"=""00:30"""; ;0;"1,686";;0;;0;; ; 
"=""00:45"""; ;0;"1,700";;0;;0;; ; 
"=""01:00"""; ;0;"1,822";;0;;0;; ; 
"=""01:15"""; ;0;"1,650";;0;;0;; ; 
"=""01:30"""; ;0;"1,568";;0;;0;; ; 
"=""01:45"""; ;0;"1,551";;0;;0;; ; 
"=""02:00"""; ;0;"1,390";;0;;0;; ; 
"=""02:15"""; ;0;"1,517";;0;;0;; ; 
"=""02:30"""; ;0;"1,553";;0;;0;; ; 
"=""02:45"""; ;0;"1,292";;0;;0;; ; 
"=""03:00""";0;0;"1,486";"1,486";0;0;0;; ; 
"=""03:15""";0;0;"1,380";"1,380";0;0;0;; ; 
"=""03:30""";0;0;"1,245";"1,245";0;0;0;; ; 
"=""03:45""";0;0;"1,262";"1,262";0;0;0;; ; 
"=""04:00""";0;0;"1,283";"1,283";0;0;0;; ; 
"=""04:15""";0;0;"1,271";"1,271";0;0;0;; ; 
"=""04:30""";0;0;"1,142";"1,142";0;0;0;; ; 
"=""04:45""";0;0;"1,131";"1,131";0;0;0;; ; 
"=""05:00""";0;0;"1,420";"1,420";0;0;0;; ; 
"=""05:15""";0;0;"2,502";"2,502";0;0;0;; ; 
"=""05:30""";0;0;"2,341";"2,341";0;0;0;; ; 
"=""05:45""";0;0;"1,331";"1,331";0;0;0;; ; 
"=""06:00""";0;0;"1,455";"1,455";0;0;0;0; ; 
"=""06:15""";14;0;"1,257";"1,271";0;14;0;14; ; 
"=""06:30""";74;0;"2,331";"2,405";0;74;0;74; ; 
"=""06:45""";150;0;"1,176";"1,326";0;150;0;150; ; 
"=""07:00""";242;0;929;"1,171";0;242;0;242; ; 
"=""07:15""";356;0;702;"1,058";0;356;0;356; ; 
"=""07:30""";505;0;574;"1,079";0;505;0;505; ; 
"=""07:45""";719;0;289;"1,008";30;719;78;826; ; 
"=""08:00""";936;0;117;"1,053";28;936;484;"1,448"; ; 
"=""08:11"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""08:15""";"1,385";0;510;"1,895";55;"1,385";357;"1,796"; ; 
"=""08:16"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:21"""; ; ; ; ; ; ; ; ; ;"1,650"
"=""08:26"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:30""";"1,158";0;35;"1,193";34;"1,158";839;"2,031"; ; 
"=""08:45""";"1,128";0;46;"1,174";47;"1,128";917;"2,092"; ; 
"=""08:46"""; ; ; ; ; ; ; ; ; ;840
"=""08:51"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""08:56"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:00""";"1,424";0;122;"1,546";112;"1,424";437;"1,972"; ; 
"=""09:15""";872;0;14;886;17;872;"1,088";"1,978"; ; 
"=""09:30""";834;0;26;860;23;834;"1,149";"2,006"; ; 
"=""09:45""";752;0;39;790;36;752;657;"1,444"; ; 
"=""10:00""";798;0;15;813;15;798;402;"1,215"; ; 
"=""10:15""";"1,157";0;56;"1,213";59;"1,157";45;"1,261"; ; 
"=""10:26"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""10:30""";732;0;43;775;43;732;"1,024";"1,799"; ; 
"=""10:31"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:41"""; ; ; ; ; ; ; ; ; ;900
"=""10:45""";939;0;69;"1,008";72;939;"1,462";"2,473"; ; 
"=""10:46"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:00""";"1,262";0;167;"1,429";162;"1,262";527;"1,951"; ; 
"=""11:15""";"1,092";0;90;"1,182";96;"1,092";669;"1,857"; ; 
"=""11:21"""; ; ; ; ; ; ; ; ; ;"2,700"
"=""11:26"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:30""";"1,025";0;101;"1,126";146;"1,025";801;"1,972"; ; 
"=""11:31"""; ; ; ; ; ; ; ; ; ;840
"=""11:36"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";931;0;123;"1,055";202;931;558;"1,691"; ; 
"=""11:51"""; ; ; ; ; ; ; ; ; ;"2,040"
"=""11:56"""; ; ; ; ; ; ; ; ; ;"1,500"
"=""12:00""";"1,018";0;88;"1,105";318;"1,018";628;"1,963"; ; 
"=""12:02"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:15""";917;0;14;931;70;917;241;"1,227"; ; 
"=""12:30""";"1,291";"1,048";27;"2,366";20;"1,291";0;"1,311"; ; 
"=""12:45""";"1,634";"1,425";64;"3,122";77;"1,634";0;"1,711"; ; 
"=""12:56"""; ; ; ; ; ; ; ; ; ;0
"=""13:00""";"2,768";0;75;"2,843";68;"2,768";100;"2,936"; ; 
"=""13:02"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:15""";"1,681";704;159;"2,544";157;"1,681";0;"1,838"; ; 
"=""13:30""";"1,776";585;103;"2,464";98;"1,776";0;"1,874"; ; 
"=""13:45""";"2,193";209;126;"2,528";128;"2,193";0;"2,321"; ; 
"=""13:52"""; ; ; ; ; ; ; ; ; ;"1,470"
"=""13:57"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:00""";"1,425";994;41;"2,460";33;"1,425";0;"1,458"; ; 
"=""14:15""";684;"1,981";63;"2,728";69;684;0;753; ; 
"=""14:27"""; ; ; ; ; ; ; ; ; ;"2,610"
"=""14:30""";457;"1,569";249;"2,275";30;457;0;487; ; 
"=""14:32"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:45""";394;"1,004";779;"2,177";34;394;0;428; ; 
"=""14:47"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""14:52"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""15:00""";286;726;"2,055";"3,067";36;286;0;321; ; 
"=""15:15""";315;112;"1,655";"2,082";5;315;0;320; ; 
"=""15:30""";"1,039";0;852;"1,891";16;"1,039";338;"1,393"; ; 
"=""15:45""";"1,017";176;35;"1,227";29;"1,017";0;"1,046"; ; 
"=""16:00""";409;90;442;941;2;409;0;411; ; 
"=""16:15""";302;0;623;925;0;302;1;303; ; 
"=""16:30""";214;0;663;877;0;214;0;214; ; 
"=""16:45""";168;0;665;832;0;168;1;168; ; 
"=""17:00""";147;0;"1,425";"1,572";0;147;2;149; ; 
"=""17:15""";144;0;"1,666";"1,810";0;144;0;144; ; 
"=""17:30""";363;0;"1,213";"1,576";0;363;0;363; ; 
