 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,726";;0;;0;; ; 
"=""00:30"""; ;0;"1,769";;0;;0;; ; 
"=""00:45"""; ;0;"1,888";;0;;0;; ; 
"=""01:00"""; ;0;"1,489";;0;;0;; ; 
"=""01:15"""; ;0;"1,576";;0;;0;; ; 
"=""01:30"""; ;0;"1,568";;0;;0;; ; 
"=""01:45"""; ;0;"1,376";;0;;0;; ; 
"=""02:00"""; ;0;"1,370";;0;;0;; ; 
"=""02:15"""; ;0;"1,334";;0;;0;; ; 
"=""02:30"""; ;0;"1,322";;0;;0;; ; 
"=""02:45"""; ;0;"1,337";;0;;0;; ; 
"=""03:00"""; ;0;"1,357";;0;;0;; ; 
"=""03:15"""; ;0;"1,134";;0;;0;; ; 
"=""03:30"""; ;0;"1,325";;0;;0;; ; 
"=""03:45"""; ;0;"1,375";;0;;0;; ; 
"=""04:00"""; ;0;"1,333";;0;;0;; ; 
"=""04:15"""; ;0;"1,173";;0;;0;; ; 
"=""04:30"""; ;0;"1,238";;0;;0;; ; 
"=""04:45"""; ;0;"1,342";;0;;0;; ; 
"=""05:00"""; ;0;"1,372";;0;;0;; ; 
"=""05:15""";0;0;"1,348";"1,348";0;0;0;; ; 
"=""05:30""";0;0;"1,798";"1,798";0;0;0;; ; 
"=""05:45""";0;0;"2,221";"2,221";0;0;0;; ; 
"=""06:00""";0;0;"1,899";"1,899";0;0;0;; ; 
"=""06:15""";2;0;"1,459";"1,461";0;2;0;2; ; 
"=""06:30""";40;0;"1,997";"2,037";0;40;0;40; ; 
"=""06:45""";92;0;"1,016";"1,108";0;92;0;92; ; 
"=""07:00""";202;0;"1,023";"1,225";0;202;0;202; ; 
"=""07:15""";338;0;"1,031";"1,369";0;338;0;338; ; 
"=""07:30""";397;0;957;"1,354";0;397;0;397; ; 
"=""07:45""";501;0;"1,279";"1,780";0;501;0;501; ; 
"=""08:00""";682;0;"1,290";"1,972";5;682;1;687; ; 
"=""08:15""";851;0;19;869;16;851;153;"1,019"; ; 
"=""08:27"""; ; ; ; ; ; ; ; ; ;"1,770"
"=""08:30""";816;0;36;852;35;816;844;"1,695"; ; 
"=""08:32"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""08:37"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:45""";963;0;227;"1,190";80;963;858;"1,901"; ; 
"=""09:00""";964;0;42;"1,005";41;964;989;"1,993"; ; 
"=""09:15""";838;0;60;898;56;838;223;"1,117"; ; 
"=""09:30""";"1,024";0;128;"1,151";125;"1,024";505;"1,654"; ; 
"=""09:45""";651;331;57;"1,038";45;651;0;695; ; 
"=""09:57"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""10:00""";251;640;87;978;88;251;0;339; ; 
"=""10:02"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";170;750;69;989;69;170;0;239; ; 
"=""10:30""";277;0;539;816;0;277;1;278; ; 
"=""10:45""";444;0;261;705;0;444;0;444; ; 
"=""11:00""";477;0;197;674;0;477;1;478; ; 
"=""11:15""";602;0;88;690;1;602;1;604; ; 
"=""11:30""";883;0;28;911;20;883;147;"1,049"; ; 
"=""11:42"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""11:45""";887;0;17;904;18;887;461;"1,366"; ; 
"=""11:47"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:00""";947;0;20;967;18;947;811;"1,776"; ; 
"=""12:15""";918;0;17;935;19;918;"1,634";"2,572"; ; 
"=""12:17"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""12:22"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";"1,278";0;43;"1,321";33;"1,278";"1,978";"3,289"; ; 
"=""12:37"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""12:42"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";"3,022";224;84;"3,330";72;"3,022";0;"3,093"; ; 
"=""13:00""";"1,801";"1,057";149;"3,007";145;"1,801";0;"1,946"; ; 
"=""13:15""";"1,147";"1,302";37;"2,486";41;"1,147";0;"1,188"; ; 
"=""13:30""";689;"1,021";"1,345";"3,054";32;689;0;721; ; 
