 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"3,396";;0;;0;; ; 
"=""00:30"""; ;0;"2,415";;0;;0;; ; 
"=""00:45"""; ;0;"2,567";;0;;0;; ; 
"=""01:00"""; ;0;"2,104";;0;;0;; ; 
"=""01:15"""; ;0;"2,017";;0;;0;; ; 
"=""01:30"""; ;0;"2,280";;0;;0;; ; 
"=""01:45"""; ;0;"1,851";;0;;0;; ; 
"=""02:00"""; ;0;"2,030";;0;;0;; ; 
"=""02:15"""; ;0;"1,732";;0;;0;; ; 
"=""02:30"""; ;0;"1,321";;0;;0;; ; 
"=""02:45"""; ;0;"1,673";;0;;0;; ; 
"=""03:00"""; ;0;"1,574";;0;;0;; ; 
"=""03:15"""; ;0;"1,207";;0;;0;; ; 
"=""03:30"""; ;0;"1,571";;0;;0;; ; 
"=""03:45"""; ;0;"1,592";;0;;0;; ; 
"=""04:00"""; ;0;"1,469";;0;;0;; ; 
"=""04:15"""; ;0;"1,578";;0;;0;; ; 
"=""04:30"""; ;0;"1,670";;0;;0;; ; 
"=""04:45"""; ;0;"1,680";;0;;0;; ; 
"=""05:00"""; ;0;"4,273";;0;;0;; ; 
"=""05:15"""; ;0;"2,202";;0;;0;; ; 
"=""05:30"""; ;0;"2,664";;0;;0;; ; 
"=""05:45"""; ;0;"1,195";;0;;0;; ; 
"=""06:00"""; ;0;"1,024";;0;;0;; ; 
"=""06:15""";0;0;"1,826";"1,826";0;0;0;; ; 
"=""06:30""";0;0;"1,265";"1,265";0;0;0;; ; 
"=""06:45""";0;0;724;724;0;0;0;; ; 
"=""07:00""";0;0;563;563;0;0;0;0; ; 
"=""07:15""";41;0;616;657;0;41;0;41; ; 
"=""07:30""";135;0;613;748;0;135;0;135; ; 
"=""07:45""";226;0;926;"1,152";0;226;0;226; ; 
"=""08:00""";380;0;756;"1,136";0;380;0;380; ; 
"=""08:15""";437;0;503;940;0;437;0;437; ; 
"=""08:30""";464;0;320;784;0;464;0;464; ; 
"=""08:45""";590;0;390;980;11;590;7;607; ; 
"=""09:00""";708;0;30;738;25;708;275;"1,007"; ; 
"=""09:15""";609;0;31;640;35;609;312;956; ; 
"=""09:22"""; ; ; ; ; ; ; ; ; ;"1,200"
"=""09:27"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""09:30""";568;0;31;598;182;568;314;"1,063"; ; 
"=""09:37"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""09:42"""; ; ; ; ; ; ; ; ; ;"1,080"
"=""09:45""";743;0;49;792;288;743;374;"1,405"; ; 
"=""09:47"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""09:52"""; ; ; ; ; ; ; ; ; ;"1,200"
"=""09:57"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:00""";772;0;56;828;296;772;284;"1,351"; ; 
"=""10:02"""; ; ; ; ; ; ; ; ; ;"1,440"
"=""10:07"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";961;139;149;"1,249";199;961;0;"1,160"; ; 
"=""10:22"""; ; ; ; ; ; ; ; ; ;"1,680"
"=""10:27"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""10:30""";"1,426";0;116;"1,542";192;"1,426";189;"1,807"; ; 
"=""10:32"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:37"""; ; ; ; ; ; ; ; ; ;"2,640"
"=""10:42"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";767;0;40;807;88;767;43;898; ; 
"=""11:00""";762;0;20;781;45;762;77;883; ; 
"=""11:12"""; ; ; ; ; ; ; ; ; ;810
"=""11:15""";796;0;22;818;80;796;125;"1,001"; ; 
"=""11:17"""; ; ; ; ; ; ; ; ; ;"1,020"
