 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,146";;0;;2;; ; 
"=""00:30"""; ;0;"3,659";;0;;3;; ; 
"=""00:45"""; ;0;"1,651";;0;;0;; ; 
"=""01:00"""; ;0;"1,513";;0;;1;; ; 
"=""01:15"""; ;1;"1,774";;0;;0;; ; 
"=""01:30"""; ;1;"1,245";;0;;0;; ; 
"=""01:45"""; ;0;"1,644";;0;;2;; ; 
"=""02:00"""; ;0;"1,309";;0;;0;; ; 
"=""02:15"""; ;0;"1,537";;0;;0;; ; 
"=""02:30"""; ;0;"1,325";;0;;2;; ; 
"=""02:45"""; ;1;"1,208";;0;;0;; ; 
"=""03:00"""; ;0;"1,710";;0;;1;; ; 
"=""03:15"""; ;0;"1,089";;0;;1;; ; 
"=""03:30"""; ;0;"1,509";;0;;1;; ; 
"=""03:45"""; ;0;994;;0;;1;; ; 
"=""04:00"""; ;0;"1,621";;0;;2;; ; 
"=""04:15"""; ;1;"1,061";;0;;0;; ; 
"=""04:30"""; ;0;"1,473";;0;;1;; ; 
"=""04:45"""; ;0;"1,207";;0;;1;; ; 
"=""05:00"""; ;0;"1,415";;0;;0;; ; 
"=""05:15"""; ;0;"1,210";;0;;1;; ; 
"=""05:30"""; ;1;"2,055";;0;;0;; ; 
"=""05:45""";0;3;"2,287";"2,290";0;0;0;; ; 
"=""06:00""";0;0;"1,196";"1,194";0;0;2;; ; 
"=""06:15""";0;0;"1,326";"1,326";0;0;0;0; ; 
"=""06:30""";8;0;"1,785";"1,793";0;8;3;11; ; 
"=""06:45""";92;3;"1,191";"1,285";0;92;0;92; ; 
"=""07:00""";165;0;"1,185";"1,350";0;165;1;166; ; 
"=""07:15""";255;0;943;"1,198";0;255;2;257; ; 
"=""07:30""";561;1;"2,194";"2,756";0;561;0;561; ; 
"=""07:45""";468;0;"1,134";"1,602";0;468;1;469; ; 
"=""08:00""";699;0;"1,779";"2,477";0;699;3;701; ; 
"=""08:15""";552;1;583;"1,136";0;552;0;552; ; 
"=""08:30""";856;0;178;"1,033";11;856;31;897; ; 
"=""08:45""";751;1;741;"1,493";0;751;0;751; ; 
"=""08:59"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""09:00""";888;0;"1,121";"2,009";11;888;17;916; ; 
"=""09:04"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:15""";"1,081";0;380;"1,461";39;"1,081";322;"1,441"; ; 
"=""09:30""";"1,158";0;342;"1,500";32;"1,158";343;"1,532"; ; 
"=""09:45""";"1,513";0;348;"1,861";24;"1,513";184;"1,721"; ; 
