 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,453";;0;;0;; ; 
"=""00:30"""; ;0;"1,970";;0;;1;; ; 
"=""00:45"""; ;2;"1,875";;0;;0;; ; 
"=""01:00"""; ;0;"1,350";;0;;1;; ; 
"=""01:15"""; ;0;"1,285";;0;;3;; ; 
"=""01:30"""; ;1;"1,422";;0;;0;; ; 
"=""01:45"""; ;0;"1,641";;0;;1;; ; 
"=""02:00"""; ;0;"1,112";;0;;1;; ; 
"=""02:15"""; ;0;957;;0;;0;; ; 
"=""02:30"""; ;1;"1,769";;0;;0;; ; 
"=""02:45"""; ;0;988;;0;;3;; ; 
"=""03:00"""; ;4;875;;0;;0;; ; 
"=""03:15"""; ;0;"1,524";;0;;4;; ; 
"=""03:30"""; ;1;"1,128";;0;;0;; ; 
"=""03:45"""; ;0;918;;0;;1;; ; 
"=""04:00"""; ;0;928;;0;;2;; ; 
"=""04:15"""; ;1;"1,406";;0;;0;; ; 
"=""04:30"""; ;0;"1,344";;0;;1;; ; 
"=""04:45"""; ;0;809;;0;;2;; ; 
"=""05:00"""; ;0;"1,205";;0;;1;; ; 
"=""05:15"""; ;0;"2,360";;0;;0;; ; 
"=""05:30""";0;0;"2,492";"2,489";0;0;3;; ; 
"=""05:45""";0;0;"2,318";"2,315";0;0;3;; ; 
"=""06:00""";0;1;"1,083";"1,084";0;0;0;; ; 
"=""06:15""";0;0;"1,003";"1,002";0;0;1;0; ; 
"=""06:30""";46;0;"1,567";"1,612";0;46;2;48; ; 
"=""06:45""";209;0;"1,011";"1,220";0;209;1;209; ; 
"=""07:00""";279;0;679;958;0;279;1;280; ; 
