 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,141";;0;;0;; ; 
"=""00:30"""; ;0;"2,014";;0;;0;; ; 
"=""00:45"""; ;0;"1,959";;0;;0;; ; 
"=""01:00"""; ;0;"1,926";;0;;0;; ; 
"=""01:15"""; ;0;"1,718";;0;;0;; ; 
"=""01:30"""; ;0;"1,806";;0;;0;; ; 
"=""01:45"""; ;0;"1,583";;0;;0;; ; 
"=""02:00"""; ;0;"1,889";;0;;0;; ; 
"=""02:15"""; ;0;"1,475";;0;;0;; ; 
"=""02:30"""; ;0;"1,513";;0;;0;; ; 
"=""02:45"""; ;0;"1,740";;0;;0;; ; 
"=""03:00"""; ;0;"1,419";;0;;0;; ; 
"=""03:15"""; ;0;"1,715";;0;;0;; ; 
"=""03:30"""; ;0;"1,499";;0;;0;; ; 
"=""03:45"""; ;0;"1,597";;0;;0;; ; 
"=""04:00"""; ;0;"1,618";;0;;0;; ; 
"=""04:15"""; ;0;"1,548";;0;;0;; ; 
"=""04:30"""; ;0;"1,541";;0;;0;; ; 
"=""04:45"""; ;0;"1,547";;0;;0;; ; 
"=""05:00"""; ;0;"1,424";;0;;0;; ; 
"=""05:15"""; ;0;"2,488";;0;;0;; ; 
"=""05:30"""; ;0;"2,284";;0;;0;; ; 
"=""05:45""";0;0;"2,340";"2,340";0;0;0;; ; 
"=""06:00""";0;0;"1,335";"1,335";0;0;0;; ; 
"=""06:15""";0;0;849;849;0;0;0;0; ; 
"=""06:30""";49;0;"1,188";"1,237";0;49;0;49; ; 
"=""06:45""";91;0;766;857;0;91;0;91; ; 
"=""07:00""";162;0;758;920;0;162;0;162; ; 
"=""07:15""";228;0;650;878;0;228;0;228; ; 
"=""07:30""";314;0;522;836;0;314;0;314; ; 
"=""07:45""";534;0;"1,279";"1,813";0;534;0;534; ; 
"=""08:00""";549;0;283;832;0;549;0;549; ; 
"=""08:15""";621;0;511;"1,132";0;621;0;621; ; 
"=""08:30""";787;0;43;830;15;787;108;910; ; 
"=""08:45""";690;0;25;715;23;690;517;"1,229"; ; 
"=""09:00""";706;0;31;737;31;706;535;"1,272"; ; 
"=""09:14"""; ; ; ; ; ; ; ; ; ;240
"=""09:15""";994;0;57;"1,051";56;994;350;"1,400"; ; 
"=""09:19"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";"1,179";0;70;"1,249";83;"1,179";40;"1,301"; ; 
"=""09:45""";675;0;29;704;29;675;"1,028";"1,732"; ; 
"=""10:00""";642;0;44;686;46;642;"1,089";"1,777"; ; 
"=""10:15""";503;0;159;662;156;503;"1,703";"2,361"; ; 
"=""10:30""";"1,080";0;61;"1,142";66;"1,080";"1,429";"2,575"; ; 
"=""10:39"""; ; ; ; ; ; ; ; ; ;"2,370"
"=""10:44"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";"1,154";0;34;"1,188";120;"1,154";"1,747";"3,021"; ; 
"=""10:59"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""11:00""";"1,087";0;151;"1,238";229;"1,087";954;"2,269"; ; 
"=""11:04"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:15""";"1,179";0;177;"1,356";222;"1,179";325;"1,726"; ; 
"=""11:19"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""11:24"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:29"""; ; ; ; ; ; ; ; ; ;"2,160"
"=""11:30""";"1,176";0;190;"1,366";224;"1,176";203;"1,603"; ; 
"=""11:34"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""11:39"""; ; ; ; ; ; ; ; ; ;"2,550"
"=""11:44"""; ; ; ; ; ; ; ; ; ;"2,280"
"=""11:45""";"1,635";0;211;"1,846";287;"1,635";239;"2,161"; ; 
"=""11:49"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:59"""; ; ; ; ; ; ; ; ; ;900
"=""12:00""";"1,222";0;249;"1,471";273;"1,222";443;"1,937"; ; 
"=""12:04"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:09"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""12:14"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:15""";"1,326";0;338;"1,665";401;"1,326";680;"2,407"; ; 
"=""12:19"""; ; ; ; ; ; ; ; ; ;0
"=""12:24"""; ; ; ; ; ; ; ; ; ;"1,830"
"=""12:29"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";"1,267";0;237;"1,504";321;"1,267";357;"1,945"; ; 
"=""12:39"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""12:44"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";"1,275";143;149;"1,566";157;"1,275";0;"1,432"; ; 
"=""12:49"""; ; ; ; ; ; ; ; ; ;"1,890"
"=""12:54"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:00""";"1,394";84;141;"1,619";155;"1,394";0;"1,549"; ; 
"=""13:04"""; ; ; ; ; ; ; ; ; ;0
"=""13:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:15""";"1,382";898;154;"2,434";153;"1,382";0;"1,535"; ; 
"=""13:19"""; ; ; ; ; ; ; ; ; ;"2,220"
"=""13:24"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"1,734";520;82;"2,336";76;"1,734";0;"1,810"; ; 
"=""13:45""";"1,725";704;75;"2,504";83;"1,725";0;"1,808"; ; 
"=""13:54"""; ; ; ; ; ; ; ; ; ;"1,890"
"=""13:59"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:00""";"1,626";769;62;"2,457";58;"1,626";0;"1,684"; ; 
"=""14:15""";993;"1,484";17;"2,494";22;993;0;"1,015"; ; 
"=""14:29"""; ; ; ; ; ; ; ; ; ;"1,950"
"=""14:30""";"1,898";332;102;"2,333";103;"1,898";0;"2,001"; ; 
"=""14:34"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:45""";942;"1,272";32;"2,246";30;942;0;972; ; 
"=""15:00""";"1,756";709;52;"2,517";54;"1,756";0;"1,810"; ; 
"=""15:04"""; ; ; ; ; ; ; ; ; ;"1,200"
"=""15:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""15:15""";"1,413";999;759;"3,172";69;"1,413";0;"1,482"; ; 
"=""15:30""";"1,060";597;404;"2,061";24;"1,060";0;"1,084"; ; 
"=""15:45""";788;0;895;"1,683";0;788;0;788; ; 
"=""16:00""";981;0;436;"1,418";3;981;3;987; ; 
"=""16:15""";"1,135";0;276;"1,411";25;"1,135";154;"1,314"; ; 
"=""16:30""";791;1;562;"1,353";1;791;0;791; ; 
"=""16:45""";802;0;579;"1,381";5;802;14;821; ; 
"=""17:00""";847;0;997;"1,844";1;847;1;849; ; 
"=""17:15""";441;0;"2,739";"3,180";0;441;0;441; ; 
"=""17:30""";551;0;"2,397";"2,947";0;551;0;551; ; 
"=""17:45""";212;2;"2,540";"2,753";0;212;0;212; ; 
"=""18:00""";167;0;"1,865";"2,032";0;167;0;167; ; 
"=""18:15""";149;0;"2,240";"2,389";0;149;1;150; ; 
"=""18:30""";52;0;"3,613";"3,665";0;52;1;53; ; 
"=""18:45""";2;0;"3,636";"3,638";0;2;1;3; ; 
"=""19:00""";0;1;"3,551";"3,551";0;0;0;; ; 
"=""19:15""";0;1;"4,286";"4,287";0;0;0;; ; 
"=""19:30""";0;0;"3,424";"3,424";0;0;0;; ; 
"=""19:45""";0;0;"3,257";"3,066";0;0;0;; ; 
"=""20:00""";0;0;"3,409";"3,407";0;0;2;; ; 
"=""20:15""";0;0;"3,691";"2,911";0;0;0;; ; 
"=""20:30"""; ;0;"3,103";;0;;1;; ; 
"=""20:45"""; ;1;"2,787";;0;;0;; ; 
"=""21:00"""; ;0;"2,932";;0;;1;; ; 
"=""21:15"""; ;1;"2,594";;0;;0;; ; 
"=""21:30"""; ;0;"2,606";;0;;1;; ; 
"=""21:45"""; ;0;"2,612";;0;;1;; ; 
"=""22:00"""; ;1;"2,310";;0;;0;; ; 
"=""22:15"""; ;0;"2,217";;0;;1;; ; 
"=""22:30"""; ;0;"2,366";;0;;0;; ; 
"=""22:45"""; ;0;"2,252";;0;;2;; ; 
"=""23:00"""; ;0;"2,245";;0;;2;; ; 
"=""23:15"""; ;1;"2,516";;0;;0;; ; 
"=""23:30"""; ;0;"2,232";;0;;2;; ; 
"=""23:45"""; ;0;"2,168";;0;;1;; ; 
"=""00:00"""; ;2;"2,316";;0;;0;;300;"3,000"
