 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"3,224";;0;;0;; ; 
"=""00:30"""; ;0;"3,226";;0;;0;; ; 
"=""00:45"""; ;0;"2,471";;0;;0;; ; 
"=""01:00"""; ;0;"2,744";;0;;0;; ; 
"=""01:15"""; ;0;"2,570";;0;;0;; ; 
"=""01:30"""; ;0;"2,566";;0;;0;; ; 
"=""01:45"""; ;0;"2,241";;0;;0;; ; 
"=""02:00"""; ;0;"2,777";;0;;0;; ; 
"=""02:15"""; ;0;"2,422";;0;;0;; ; 
"=""02:30"""; ;0;"2,230";;0;;0;; ; 
"=""02:45"""; ;0;"2,262";;0;;0;; ; 
"=""03:00"""; ;0;"2,271";;0;;0;; ; 
"=""03:15"""; ;0;"1,895";;0;;0;; ; 
"=""03:30"""; ;0;"2,383";;0;;0;; ; 
"=""03:45"""; ;0;"2,258";;0;;0;; ; 
"=""04:00"""; ;0;"1,885";;0;;0;; ; 
"=""04:15"""; ;0;"1,707";;0;;0;; ; 
"=""04:30"""; ;0;"2,061";;0;;0;; ; 
"=""04:45"""; ;0;"2,350";;0;;0;; ; 
"=""05:00"""; ;0;"2,399";;0;;0;; ; 
"=""05:15"""; ;0;"2,685";;0;;0;; ; 
"=""05:30""";0;0;"3,009";"3,009";0;0;0;; ; 
"=""05:45""";0;0;"3,439";"3,439";0;0;0;; ; 
"=""06:00""";0;0;"1,617";"1,617";0;0;0;; ; 
"=""06:15""";0;0;"1,488";"1,488";0;0;0;0; ; 
"=""06:30""";14;0;"2,413";"2,427";0;14;0;14; ; 
"=""06:45""";87;0;"1,232";"1,319";0;87;0;87; ; 
"=""07:00""";154;0;892;"1,046";0;154;0;154; ; 
"=""07:15""";486;0;652;"1,138";0;486;0;486; ; 
"=""07:30""";681;0;349;"1,029";10;681;24;715; ; 
"=""07:45""";824;0;320;"1,144";16;824;144;983; ; 
"=""08:00""";817;0;137;955;35;817;380;"1,232"; ; 
"=""08:05"""; ; ; ; ; ; ; ; ; ;"2,610"
"=""08:10"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:15""";"1,062";0;282;"1,344";90;"1,062";295;"1,448"; ; 
"=""08:30""";963;0;59;"1,022";56;963;663;"1,682"; ; 
"=""08:40"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""08:45""";826;0;62;888;63;826;950;"1,839"; ; 
"=""08:45"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:00""";828;0;75;903;73;828;"1,195";"2,095"; ; 
"=""09:15""";"1,042";0;56;"1,098";56;"1,042";"1,114";"2,212"; ; 
"=""09:30""";742;0;11;752;9;742;"1,617";"2,367"; ; 
"=""09:45""";696;0;11;707;12;696;"1,786";"2,494"; ; 
"=""10:00""";940;0;52;992;45;940;"1,600";"2,584"; ; 
"=""10:15""";982;0;50;"1,032";55;982;"1,677";"2,713"; ; 
"=""10:15"""; ; ; ; ; ; ; ; ; ;900
"=""10:20"""; ; ; ; ; ; ; ; ; ;"2,730"
"=""10:25"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";881;0;157;"1,039";287;881;"1,337";"2,506"; ; 
"=""10:30"""; ; ; ; ; ; ; ; ; ;"1,920"
"=""10:35"""; ; ; ; ; ; ; ; ; ;"1,740"
