 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,799";;0;;0;; ; 
"=""00:30"""; ;1;"2,621";;0;;0;; ; 
"=""00:45"""; ;0;"2,490";;0;;0;; ; 
"=""01:00"""; ;0;"2,496";;0;;1;; ; 
"=""01:15"""; ;1;"2,148";;0;;0;; ; 
"=""01:30"""; ;0;"2,356";;0;;1;; ; 
"=""01:45"""; ;0;"1,861";;0;;2;; ; 
"=""02:00"""; ;0;"2,048";;0;;2;; ; 
"=""02:15"""; ;0;"2,084";;0;;0;; ; 
"=""02:30"""; ;0;"1,920";;0;;0;; ; 
"=""02:45"""; ;1;"1,636";;0;;0;; ; 
"=""03:00"""; ;0;"2,007";;0;;1;; ; 
"=""03:15"""; ;0;"1,879";;0;;0;; ; 
"=""03:30"""; ;1;"1,780";;0;;0;; ; 
"=""03:45"""; ;0;"1,836";;0;;0;; ; 
"=""04:00"""; ;0;"1,753";;0;;3;; ; 
"=""04:15"""; ;1;"1,989";;0;;0;; ; 
"=""04:30"""; ;0;"1,502";;0;;0;; ; 
"=""04:45"""; ;2;"1,803";;0;;0;; ; 
"=""05:00"""; ;0;"1,696";;0;;0;; ; 
"=""05:15"""; ;0;"2,099";;0;;2;; ; 
"=""05:30"""; ;2;"2,707";;0;;0;; ; 
"=""05:45"""; ;0;"2,201";;0;;2;; ; 
"=""06:00""";0;0;"1,986";"1,984";0;0;2;; ; 
"=""06:15""";0;0;"1,815";"1,814";0;0;0;; ; 
"=""06:30""";0;0;"2,003";"2,001";0;0;1;0; ; 
"=""06:45""";0;0;"1,801";"1,799";0;0;2;0; ; 
"=""07:00""";49;0;"1,353";"1,402";0;49;0;49; ; 
"=""07:15""";158;1;"1,116";"1,275";0;158;0;158; ; 
"=""07:30""";282;0;989;"1,270";0;282;3;285; ; 
"=""07:45""";418;0;"1,028";"1,446";0;418;2;419; ; 
"=""08:00""";628;0;677;"1,305";4;628;4;635; ; 
"=""08:15""";785;1;548;"1,333";6;785;0;791; ; 
"=""08:30""";789;0;337;"1,126";36;789;78;902; ; 
"=""08:45""";985;0;85;"1,070";32;985;116;"1,132"; ; 
"=""09:00""";"1,038";0;52;"1,090";16;"1,038";27;"1,081"; ; 
"=""09:15""";828;0;306;"1,134";0;828;1;829; ; 
"=""09:30""";879;0;205;"1,084";0;879;1;880; ; 
"=""09:45""";981;0;868;"1,850";9;981;12;"1,002"; ; 
"=""10:00""";"1,073";0;"1,037";"2,109";12;"1,073";82;"1,166"; ; 
"=""10:01"""; ; ; ; ; ; ; ; ; ;"2,730"
"=""10:06"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";"1,046";0;24;"1,070";22;"1,046";498;"1,567"; ; 
"=""10:21"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""10:26"""; ; ; ; ; ; ; ; ; ;510
"=""10:30""";"1,352";0;627;"1,979";29;"1,352";96;"1,477"; ; 
"=""10:31"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:36"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""10:41"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";"1,099";0;308;"1,407";117;"1,099";521;"1,737"; ; 
"=""10:56"""; ; ; ; ; ; ; ; ; ;990
"=""11:00""";"1,016";0;63;"1,078";62;"1,016";910;"1,987"; ; 
"=""11:01"""; ; ; ; ; ; ; ; ; ;420
"=""11:06"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:11"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""11:15""";"1,600";606;712;"2,918";200;"1,600";0;"1,800"; ; 
"=""11:16"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:21"""; ; ; ; ; ; ; ; ; ;600
"=""11:26"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:30""";"1,718";0;282;"1,999";264;"1,718";27;"2,008"; ; 
"=""11:45""";"1,319";0;210;"1,529";54;"1,319";231;"1,604"; ; 
"=""12:00""";"1,611";0;115;"1,727";112;"1,611";530;"2,253"; ; 
"=""12:15""";"1,341";362;77;"1,780";73;"1,341";0;"1,414"; ; 
"=""12:30""";739;205;900;"1,843";16;739;0;754; ; 
"=""12:45""";655;0;"1,048";"1,704";0;655;0;655; ; 
"=""13:00""";516;1;"1,518";"2,035";0;516;0;516; ; 
"=""13:15""";530;0;"2,691";"3,222";0;530;0;530; ; 
"=""13:30""";347;1;"2,947";"3,295";0;347;0;347; ; 
"=""13:45""";463;0;"2,956";"3,419";0;463;1;464; ; 
"=""14:00""";809;0;"2,854";"3,662";0;809;2;810; ; 
"=""14:15""";577;0;"2,543";"3,120";0;577;0;577; ; 
"=""14:30""";290;2;"2,705";"2,997";0;290;0;290; ; 
"=""14:45""";421;0;"2,732";"3,154";0;421;1;422; ; 
"=""15:00""";683;1;"1,849";"2,534";0;683;0;683; ; 
"=""15:15""";378;1;"3,146";"3,525";0;378;0;378; ; 
"=""15:30""";244;0;"2,128";"2,372";0;244;1;245; ; 
"=""15:45""";105;1;"1,485";"1,590";0;105;0;105; ; 
"=""16:00""";100;0;"1,416";"1,516";0;100;1;101; ; 
"=""16:15""";129;0;"1,362";"1,491";0;129;2;131; ; 
"=""16:30""";137;1;"1,687";"1,825";0;137;0;137; ; 
"=""16:45""";24;0;"1,336";"1,360";0;24;3;27; ; 
"=""17:00""";26;0;"1,489";"1,515";0;26;0;26; ; 
"=""17:15""";203;0;"1,898";"2,101";0;203;1;204; ; 
"=""17:30""";100;0;"2,534";"2,633";0;100;1;101; ; 
"=""17:45""";123;1;"2,923";"3,047";0;123;0;123; ; 
"=""18:00""";158;0;"1,923";"2,081";0;158;3;160; ; 
"=""18:15""";115;0;"2,037";"2,152";0;115;2;117; ; 
"=""18:30""";60;1;"2,103";"2,165";0;60;0;60; ; 
"=""18:45""";15;0;"3,370";"3,386";0;15;1;16; ; 
"=""19:00""";7;0;"3,203";"3,210";0;7;1;8; ; 
"=""19:15""";0;0;"2,599";"2,612";0;0;2;; ; 
"=""19:30""";0;0;"2,301";"2,301";0;0;1;; ; 
"=""19:45""";0;0;"2,576";"3,094";0;0;1;; ; 
"=""20:00"""; ;0;"2,837";;0;;0;; ; 
"=""20:15"""; ;2;"2,758";;0;;0;; ; 
"=""20:30"""; ;0;"3,336";;0;;2;; ; 
"=""20:45"""; ;1;"2,670";;0;;0;; ; 
"=""21:00"""; ;1;"2,159";;0;;0;; ; 
"=""21:15"""; ;3;"2,375";;0;;0;; ; 
"=""21:30"""; ;0;"2,240";;0;;1;; ; 
"=""21:45"""; ;0;"2,314";;0;;1;; ; 
"=""22:00"""; ;1;"2,468";;0;;0;; ; 
"=""22:15"""; ;1;"1,946";;0;;0;; ; 
"=""22:30"""; ;0;"3,046";;0;;3;; ; 
"=""22:45"""; ;1;"3,964";;0;;0;; ; 
"=""23:00"""; ;0;"2,457";;0;;3;; ; 
"=""23:15"""; ;0;"3,082";;0;;0;; ; 
"=""23:30"""; ;2;"2,215";;0;;0;; ; 
"=""23:45"""; ;0;"1,746";;0;;2;; ; 
"=""00:00"""; ;0;"2,171";;0;;0;;300;"3,000"
