 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,435";;0;;0;; ; 
"=""00:30"""; ;0;"2,337";;0;;0;; ; 
"=""00:45"""; ;0;"2,283";;0;;0;; ; 
"=""01:00"""; ;0;"2,347";;0;;0;; ; 
"=""01:15"""; ;0;"2,294";;0;;0;; ; 
"=""01:30"""; ;0;"1,997";;0;;0;; ; 
"=""01:45"""; ;0;"1,951";;0;;0;; ; 
"=""02:00"""; ;0;"2,096";;0;;0;; ; 
"=""02:15"""; ;0;"2,274";;0;;0;; ; 
"=""02:30"""; ;0;"1,762";;0;;0;; ; 
"=""02:45"""; ;0;"2,108";;0;;0;; ; 
"=""03:00"""; ;0;"1,924";;0;;0;; ; 
"=""03:15"""; ;0;"1,282";;0;;0;; ; 
"=""03:30"""; ;0;"1,990";;0;;0;; ; 
"=""03:45"""; ;0;"1,798";;0;;0;; ; 
"=""04:00"""; ;0;"1,492";;0;;0;; ; 
"=""04:15"""; ;0;"1,780";;0;;0;; ; 
"=""04:30"""; ;0;"1,690";;0;;0;; ; 
"=""04:45"""; ;0;"1,442";;0;;0;; ; 
"=""05:00""";0;0;"2,232";"2,232";0;0;0;; ; 
"=""05:15""";0;0;"2,823";"2,823";0;0;0;; ; 
"=""05:30""";0;0;"2,485";"2,485";0;0;0;; ; 
"=""05:45""";0;0;"1,916";"1,916";0;0;0;; ; 
"=""06:00""";0;0;"1,424";"1,424";0;0;0;; ; 
"=""06:15""";0;0;"1,476";"1,476";0;0;0;0; ; 
"=""06:30""";37;0;"2,388";"2,425";0;37;0;37; ; 
"=""06:45""";107;0;"1,358";"1,465";0;107;0;107; ; 
"=""07:00""";149;0;"1,241";"1,390";0;149;0;149; ; 
"=""07:15""";256;0;889;"1,145";0;256;0;256; ; 
"=""07:30""";337;0;805;"1,142";0;337;0;337; ; 
"=""07:45""";536;0;644;"1,180";0;536;0;536; ; 
"=""08:00""";589;0;589;"1,178";0;589;0;589; ; 
"=""08:15""";517;0;871;"1,388";0;517;0;517; ; 
"=""08:30""";559;0;719;"1,278";0;559;0;559; ; 
"=""08:45""";726;0;119;845;11;726;0;737; ; 
"=""09:00""";784;0;135;919;32;784;26;842; ; 
"=""09:15""";791;0;41;833;33;791;225;"1,050"; ; 
"=""09:30""";607;0;14;620;15;607;714;"1,335"; ; 
"=""09:45""";718;0;26;744;25;718;950;"1,693"; ; 
"=""09:54"""; ; ; ; ; ; ; ; ; ;"2,640"
"=""09:59"""; ; ; ; ; ; ; ; ; ;"3,000"
