 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,748";;0;;0;; ; 
"=""00:30"""; ;0;"1,893";;0;;0;; ; 
"=""00:45"""; ;0;"1,766";;0;;0;; ; 
"=""01:00"""; ;0;"1,447";;0;;0;; ; 
"=""01:15"""; ;0;"1,742";;0;;0;; ; 
"=""01:30"""; ;0;"1,698";;0;;0;; ; 
"=""01:45"""; ;0;"1,745";;0;;0;; ; 
"=""02:00"""; ;0;"1,386";;0;;0;; ; 
"=""02:15"""; ;0;"1,481";;0;;0;; ; 
"=""02:30"""; ;0;"1,455";;0;;0;; ; 
"=""02:45"""; ;0;"1,415";;0;;0;; ; 
"=""03:00"""; ;0;"1,598";;0;;0;; ; 
"=""03:15"""; ;0;"1,749";;0;;0;; ; 
"=""03:30"""; ;0;"1,268";;0;;0;; ; 
"=""03:45"""; ;0;"1,578";;0;;0;; ; 
"=""04:00"""; ;0;"1,519";;0;;0;; ; 
"=""04:15"""; ;0;"1,198";;0;;0;; ; 
"=""04:30"""; ;0;"1,478";;0;;0;; ; 
"=""04:45"""; ;0;"1,535";;0;;0;; ; 
"=""05:00"""; ;0;"1,235";;0;;0;; ; 
"=""05:15"""; ;0;"1,731";;0;;0;; ; 
"=""05:30""";0;0;"3,486";"3,486";0;0;0;; ; 
"=""05:45""";0;0;"1,621";"1,621";0;0;0;; ; 
"=""06:00""";0;0;"1,790";"1,790";0;0;0;0; ; 
"=""06:15""";20;0;"1,184";"1,204";0;20;0;20; ; 
"=""06:30""";160;0;"1,634";"1,794";0;160;0;160; ; 
"=""06:45""";135;0;"1,048";"1,183";0;135;0;135; ; 
"=""07:00""";200;0;"1,291";"1,491";0;200;0;200; ; 
"=""07:15""";257;0;"1,299";"1,556";0;257;0;257; ; 
"=""07:30""";361;0;"1,037";"1,398";0;361;0;361; ; 
"=""07:45""";437;0;"1,878";"2,315";0;437;0;437; ; 
"=""08:00""";459;0;"1,096";"1,555";0;459;0;459; ; 
"=""08:15""";651;0;747;"1,398";0;651;0;651; ; 
"=""08:30""";809;0;606;"1,414";14;809;25;848; ; 
"=""08:45""";801;0;282;"1,083";13;801;205;"1,019"; ; 
"=""09:00""";849;0;205;"1,055";20;849;79;948; ; 
"=""09:15""";861;0;235;"1,097";13;861;220;"1,094"; ; 
"=""09:30""";804;0;156;960;18;804;350;"1,172"; ; 
"=""09:45""";706;0;28;734;26;706;"1,614";"2,346"; ; 
"=""09:47"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""09:52"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:00""";"1,241";0;104;"1,345";108;"1,241";"1,405";"2,754"; ; 
"=""10:12"""; ; ; ; ; ; ; ; ; ;"2,100"
"=""10:15""";"1,171";0;141;"1,311";125;"1,171";569;"1,865"; ; 
"=""10:17"""; ; ; ; ; ; ; ; ; ;"2,700"
"=""10:22"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";"1,205";0;100;"1,305";90;"1,205";103;"1,397"; ; 
"=""10:45""";"1,243";0;34;"1,277";34;"1,243";143;"1,420"; ; 
"=""11:00""";"1,531";585;35;"2,151";30;"1,531";0;"1,561"; ; 
"=""11:02"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""11:07"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:15""";"1,804";341;190;"2,335";179;"1,804";0;"1,983"; ; 
"=""11:30""";"1,649";858;203;"2,710";94;"1,649";0;"1,743"; ; 
"=""11:45""";"1,473";0;326;"1,799";12;"1,473";24;"1,509"; ; 
"=""12:00""";"1,738";0;308;"2,046";22;"1,738";59;"1,819"; ; 
"=""12:15""";"1,667";0;572;"2,238";15;"1,667";20;"1,702"; ; 
"=""12:30""";"1,275";0;"1,100";"2,375";3;"1,275";0;"1,278"; ; 
"=""12:45""";"1,338";0;"2,184";"3,522";0;"1,338";0;"1,338"; ; 
"=""13:00""";"1,651";0;"1,792";"3,443";0;"1,651";1;"1,652"; ; 
"=""13:15""";"1,754";0;"2,073";"3,827";0;"1,754";0;"1,754"; ; 
"=""13:30""";"2,047";1;"1,754";"3,802";0;"2,047";0;"2,047"; ; 
"=""13:45""";"2,300";0;"1,642";"3,942";7;"2,300";4;"2,310"; ; 
"=""14:00""";"1,890";0;"1,542";"3,433";25;"1,890";227;"2,142"; ; 
"=""14:15""";"2,282";0;"1,408";"3,689";5;"2,282";66;"2,353"; ; 
"=""14:30""";"1,475";0;"2,852";"4,327";6;"1,475";17;"1,498"; ; 
"=""14:45""";"1,145";0;"3,272";"4,417";0;"1,145";0;"1,145"; ; 
"=""15:00""";"1,234";0;"2,517";"3,751";5;"1,234";4;"1,243"; ; 
"=""15:15""";649;0;"2,428";"3,077";0;649;0;649; ; 
"=""15:30""";258;0;"2,779";"3,037";0;258;2;260; ; 
"=""15:45""";212;1;"1,162";"1,375";0;212;0;212; ; 
"=""16:00""";224;0;"1,161";"1,385";0;224;0;224; ; 
"=""16:15""";306;0;"1,099";"1,405";0;306;1;307; ; 
