 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,472";;0;;0;; ; 
"=""00:30"""; ;0;"1,623";;0;;0;; ; 
"=""00:45"""; ;0;"1,246";;0;;0;; ; 
"=""01:00"""; ;0;"1,483";;0;;0;; ; 
"=""01:15"""; ;0;"1,254";;0;;0;; ; 
"=""01:30"""; ;0;"1,640";;0;;0;; ; 
"=""01:45"""; ;0;"1,167";;0;;0;; ; 
"=""02:00"""; ;0;"1,517";;0;;0;; ; 
"=""02:15"""; ;0;"1,482";;0;;0;; ; 
"=""02:30"""; ;0;"1,464";;0;;0;; ; 
"=""02:45"""; ;0;"1,133";;0;;0;; ; 
"=""03:00"""; ;0;969;;0;;0;; ; 
"=""03:15"""; ;0;"1,300";;0;;0;; ; 
"=""03:30"""; ;0;"1,031";;0;;0;; ; 
"=""03:45"""; ;0;756;;0;;0;; ; 
"=""04:00"""; ;0;"1,298";;0;;0;; ; 
"=""04:15"""; ;0;946;;0;;0;; ; 
"=""04:30"""; ;0;953;;0;;0;; ; 
"=""04:45"""; ;0;"1,054";;0;;0;; ; 
"=""05:00"""; ;0;988;;0;;0;; ; 
"=""05:15"""; ;0;"2,331";;0;;0;; ; 
"=""05:30"""; ;0;"2,492";;0;;0;; ; 
"=""05:45""";0;0;"1,550";"1,550";0;0;0;; ; 
"=""06:00""";0;0;"2,046";"2,046";0;0;0;; ; 
"=""06:15""";0;0;"1,218";"1,218";0;0;0;0; ; 
"=""06:30""";50;0;990;"1,040";0;50;0;50; ; 
"=""06:45""";146;0;"1,909";"2,055";0;146;0;146; ; 
"=""07:00""";225;0;736;961;0;225;0;225; ; 
"=""07:15""";370;0;759;"1,129";0;370;0;370; ; 
"=""07:30""";471;0;658;"1,129";0;471;0;471; ; 
"=""07:45""";503;0;578;"1,081";0;503;0;503; ; 
"=""08:00""";707;0;351;"1,058";14;707;37;758; ; 
"=""08:15""";721;0;440;"1,161";5;721;57;782; ; 
"=""08:30""";839;0;617;"1,456";12;839;20;872; ; 
"=""08:45""";946;0;239;"1,184";37;946;281;"1,264"; ; 
"=""09:00""";"1,395";0;"1,122";"2,517";21;"1,395";90;"1,506"; ; 
"=""09:06"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""09:11"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""09:15""";863;0;87;950;86;863;804;"1,753"; ; 
"=""09:16"""; ; ; ; ; ; ; ; ; ;"3,000"
