 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;"3,000"
"=""00:15"""; ;0;"2,821";;0;;0;; 
"=""00:30"""; ;0;"2,227";;0;;0;; 
"=""00:45"""; ;0;"2,046";;0;;0;; 
"=""01:00"""; ;0;"2,295";;0;;0;; 
"=""01:15"""; ;0;"1,702";;0;;0;; 
"=""01:30"""; ;0;"1,324";;0;;0;; 
"=""01:45"""; ;0;"1,715";;0;;0;; 
"=""02:00"""; ;0;"1,351";;0;;0;; 
"=""02:15"""; ;0;"1,648";;0;;0;; 
"=""02:30"""; ;0;"1,628";;0;;0;; 
"=""02:45"""; ;0;"1,314";;0;;0;; 
"=""03:00"""; ;0;"1,298";;0;;0;; 
"=""03:15"""; ;0;"1,556";;0;;0;; 
"=""03:30"""; ;0;"1,385";;0;;0;; 
"=""03:45"""; ;0;"1,191";;0;;0;; 
"=""04:00"""; ;0;"1,455";;0;;0;; 
"=""04:15"""; ;0;"1,383";;0;;0;; 
"=""04:30"""; ;0;925;;0;;0;; 
"=""04:45"""; ;0;"1,431";;0;;0;; 
"=""05:00"""; ;0;"2,794";;0;;0;; 
"=""05:15"""; ;0;"2,319";;0;;0;; 
"=""05:30"""; ;0;"2,717";;0;;0;; 
"=""05:45""";0;0;"2,024";"2,024";0;0;0;; 
"=""06:00""";0;0;"1,098";"1,098";0;0;0;; 
"=""06:15""";0;0;"1,079";"1,079";0;0;0;; 
"=""06:30""";3;0;"1,680";"1,683";0;3;0;3; 
"=""06:45""";78;0;"1,073";"1,151";0;78;0;78; 
"=""07:00""";192;0;737;929;0;192;0;192; 
"=""07:15""";451;0;449;900;0;451;0;451; 
"=""07:30""";581;0;377;958;0;581;0;581; 
"=""07:45""";709;0;166;875;21;709;82;811; 
"=""07:48"""; ; ; ; ; ; ; ; ;"2,910"
"=""07:53"""; ; ; ; ; ; ; ; ;"3,000"
"=""08:00""";787;0;162;949;36;787;191;"1,014"; 
"=""08:15""";760;0;54;815;19;760;392;"1,171"; 
"=""08:30""";699;0;17;716;15;699;919;"1,632"; 
"=""08:45""";"1,286";11;109;"1,406";96;"1,286";0;"1,382"; 
"=""09:00""";"1,493";165;130;"1,788";54;"1,493";0;"1,547"; 
"=""09:08"""; ; ; ; ; ; ; ; ;"2,820"
"=""09:13"""; ; ; ; ; ; ; ; ;"3,000"
"=""09:15""";"1,333";108;518;"1,959";53;"1,333";0;"1,386"; 
"=""09:30""";"1,470";0;163;"1,633";52;"1,470";115;"1,637"; 
"=""09:45""";733;0;40;773;36;733;"1,467";"2,236"; 
"=""09:58"""; ; ; ; ; ; ; ; ;630
"=""10:00""";729;0;17;746;14;729;781;"1,524"; 
"=""10:03"""; ; ; ; ; ; ; ; ;"3,000"
"=""10:13"""; ; ; ; ; ; ; ; ;"2,040"
"=""10:15""";"1,457";0;98;"1,555";94;"1,457";231;"1,783"; 
"=""10:18"""; ; ; ; ; ; ; ; ;"2,880"
"=""10:23"""; ; ; ; ; ; ; ; ;"2,940"
"=""10:28"""; ; ; ; ; ; ; ; ;720
"=""10:30""";"1,274";0;334;"1,608";352;"1,274";241;"1,866"; 
"=""10:33"""; ; ; ; ; ; ; ; ;0
"=""10:38"""; ; ; ; ; ; ; ; ;"2,010"
"=""10:43"""; ; ; ; ; ; ; ; ;"2,820"
"=""10:45""";"1,103";0;347;"1,451";344;"1,103";585;"2,032"; 
"=""10:48"""; ; ; ; ; ; ; ; ;"1,350"
"=""10:53"""; ; ; ; ; ; ; ; ;"3,000"
"=""11:00""";"1,206";0;236;"1,442";237;"1,206";239;"1,683"; 
"=""11:15""";835;427;278;"1,540";265;835;0;"1,099"; 
"=""11:18"""; ; ; ; ; ; ; ; ;390
"=""11:23"""; ; ; ; ; ; ; ; ;"3,000"
"=""11:30""";"1,267";0;267;"1,534";279;"1,267";93;"1,639"; 
"=""11:45""";791;0;42;833;39;791;636;"1,466"; 
"=""12:00""";747;0;16;763;13;747;624;"1,384"; 
"=""12:15""";846;0;12;858;16;846;793;"1,655"; 
"=""12:28"""; ; ; ; ; ; ; ; ;"2,850"
"=""12:30""";915;0;40;955;37;915;"1,196";"2,148"; 
"=""12:33"""; ; ; ; ; ; ; ; ;"2,730"
"=""12:38"""; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";"1,928";49;43;"2,020";38;"1,928";0;"1,966"; 
"=""13:00""";"1,714";881;72;"2,666";69;"1,714";0;"1,783"; 
"=""13:15""";"1,223";"1,505";48;"2,776";49;"1,223";0;"1,272"; 
"=""13:23"""; ; ; ; ; ; ; ; ;300
"=""13:28"""; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";657;"1,582";839;"3,078";56;657;0;712; 
"=""13:45""";"1,209";565;401;"2,176";43;"1,209";0;"1,252"; 
"=""14:00""";"1,214";632;463;"2,309";30;"1,214";0;"1,244"; 
"=""14:15""";"1,623";0;526;"2,149";52;"1,623";1;"1,675"; 
"=""14:30""";"1,097";0;885;"1,981";20;"1,097";112;"1,228"; 
"=""14:45""";664;0;"1,479";"2,144";0;664;9;674; 
"=""15:00""";887;0;"1,279";"2,166";1;887;1;889; 
"=""15:15""";"1,317";1;"1,148";"2,466";1;"1,317";0;"1,318"; 
"=""15:30""";"1,139";0;"1,178";"2,317";16;"1,139";76;"1,231"; 
"=""15:45""";893;0;19;912;16;893;178;"1,086"; 
"=""16:00""";822;65;15;902;12;822;0;834; 
"=""16:15""";471;33;415;919;1;471;0;472; 
"=""16:30""";582;0;345;927;0;582;0;582; 
"=""16:45""";550;0;344;894;0;550;0;550; 
"=""17:00""";485;0;302;787;0;485;2;487; 
"=""17:15""";447;0;"1,243";"1,690";0;447;1;448; 
"=""17:30""";312;1;"1,438";"1,751";0;312;0;312; 
"=""17:45""";247;0;"1,309";"1,556";0;247;1;248; 
"=""18:00""";127;0;"3,181";"3,308";0;127;1;128; 
"=""18:15""";56;0;"2,356";"2,413";0;56;1;57; 
"=""18:30""";18;0;"1,890";"1,908";0;18;0;18; 
"=""18:45""";0;0;"2,670";"2,670";0;0;0;; 
"=""19:00""";0;0;"2,995";"2,995";0;0;0;; 
"=""19:15""";0;0;"3,466";"3,118";0;0;0;; 
"=""19:30""";0;0;"4,106";"4,106";0;0;0;; 
"=""19:45""";0;0;"4,198";"5,839";0;0;0;; 
"=""20:00"""; ;0;"3,399";;0;;0;; 
"=""20:15"""; ;0;"2,488";;0;;0;; 
"=""20:30"""; ;0;"2,330";;0;;0;; 
"=""20:45"""; ;0;"2,496";;0;;0;; 
"=""21:00"""; ;0;"2,028";;0;;0;; 
"=""21:15"""; ;0;"2,399";;0;;0;; 
"=""21:30"""; ;0;"2,117";;0;;0;; 
"=""21:45"""; ;0;"2,238";;0;;0;; 
"=""22:00"""; ;0;"2,179";;0;;0;; 
"=""22:15"""; ;0;"2,056";;0;;0;; 
"=""22:30"""; ;0;"2,479";;0;;0;; 
"=""22:45"""; ;0;"2,087";;0;;0;; 
"=""23:00"""; ;0;"2,192";;0;;0;; 
"=""23:15"""; ;0;"2,026";;0;;0;; 
"=""23:30"""; ;0;"1,958";;0;;0;; 
"=""23:45"""; ;0;"3,936";;0;;0;; 
"=""00:00"""; ;0;"2,849";;0;;0;;"3,000"
