 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,254";;0;;0;; ; 
"=""00:30"""; ;0;"1,945";;0;;0;; ; 
"=""00:45"""; ;0;"1,562";;0;;1;; ; 
"=""01:00"""; ;1;"1,854";;0;;0;; ; 
"=""01:15"""; ;0;"1,858";;0;;2;; ; 
"=""01:30"""; ;0;"1,294";;0;;0;; ; 
"=""01:45"""; ;0;"1,809";;0;;1;; ; 
"=""02:00"""; ;0;"1,326";;0;;2;; ; 
"=""02:15"""; ;1;"1,884";;0;;0;; ; 
"=""02:30"""; ;0;"1,259";;0;;1;; ; 
"=""02:45"""; ;1;"1,175";;0;;0;; ; 
"=""03:00"""; ;0;"1,808";;0;;1;; ; 
"=""03:15"""; ;1;"1,216";;0;;0;; ; 
"=""03:30"""; ;0;"1,551";;0;;1;; ; 
"=""03:45"""; ;1;"1,198";;0;;0;; ; 
"=""04:00"""; ;0;"1,478";;0;;0;; ; 
"=""04:15"""; ;2;"1,179";;0;;0;; ; 
"=""04:30"""; ;0;"1,649";;0;;1;; ; 
"=""04:45"""; ;1;"1,107";;0;;0;; ; 
"=""05:00""";0;0;"1,230";"1,229";0;0;1;; ; 
"=""05:15""";0;0;"1,437";"1,435";0;0;2;; ; 
"=""05:30""";0;0;"1,608";"1,607";0;0;1;; ; 
"=""05:45""";0;0;"2,799";"2,799";0;0;0;; ; 
"=""06:00""";0;0;"1,405";"1,405";0;0;0;; ; 
"=""06:15""";0;1;"1,489";"1,489";0;0;0;0; ; 
"=""06:30""";23;0;"1,687";"1,710";0;23;2;25; ; 
"=""06:45""";89;0;"2,415";"2,504";0;89;1;90; ; 
"=""07:00""";138;0;"1,068";"1,206";0;138;1;138; ; 
"=""07:15""";186;0;"1,145";"1,331";0;186;1;187; ; 
"=""07:30""";353;0;963;"1,315";0;353;1;353; ; 
"=""07:45""";552;1;695;"1,249";0;552;0;552; ; 
"=""08:00""";817;0;260;"1,077";14;817;160;991; ; 
"=""08:15""";926;0;153;"1,079";36;926;425;"1,387"; ; 
"=""08:18"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""08:22"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:30""";839;0;115;954;86;839;130;"1,055"; ; 
"=""08:45""";"1,196";0;718;"1,914";81;"1,196";196;"1,473"; ; 
"=""09:00""";"1,049";0;882;"1,931";24;"1,049";21;"1,093"; ; 
"=""09:15""";990;0;254;"1,244";65;990;59;"1,114"; ; 
