 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,062";;0;;1;; ; 
"=""00:30"""; ;0;"2,273";;0;;1;; ; 
"=""00:45"""; ;0;"2,271";;0;;0;; ; 
"=""01:00"""; ;1;"2,270";;0;;0;; ; 
"=""01:15"""; ;0;"2,135";;0;;1;; ; 
"=""01:30"""; ;2;"1,597";;0;;0;; ; 
"=""01:45"""; ;0;"2,087";;0;;1;; ; 
"=""02:00"""; ;1;"1,719";;0;;0;; ; 
"=""02:15"""; ;0;"1,408";;0;;3;; ; 
"=""02:30"""; ;0;"1,695";;0;;3;; ; 
"=""02:45"""; ;1;"1,467";;0;;0;; ; 
"=""03:00"""; ;0;"1,608";;0;;1;; ; 
"=""03:15"""; ;0;"1,911";;0;;1;; ; 
"=""03:30"""; ;0;"1,478";;0;;3;; ; 
"=""03:45"""; ;0;"1,471";;0;;1;; ; 
"=""04:00"""; ;1;"1,599";;0;;0;; ; 
"=""04:15"""; ;0;"1,395";;0;;1;; ; 
"=""04:30"""; ;0;"1,710";;0;;0;; ; 
"=""04:45"""; ;0;"1,544";;0;;1;; ; 
"=""05:00"""; ;1;"1,560";;0;;0;; ; 
"=""05:15"""; ;0;"2,456";;0;;2;; ; 
"=""05:30"""; ;0;"2,181";;0;;3;; ; 
"=""05:45""";0;0;"1,045";"1,044";0;0;2;; ; 
"=""06:00""";0;0;"2,006";"2,004";0;0;2;; ; 
"=""06:15""";0;0;"1,248";"1,245";0;0;3;; ; 
"=""06:30""";0;0;"2,371";"2,370";0;0;1;0; ; 
"=""06:45""";47;0;"1,323";"1,370";0;47;2;49; ; 
"=""07:00""";109;0;"1,546";"1,655";0;109;1;110; ; 
"=""07:15""";173;0;"1,284";"1,456";0;173;1;174; ; 
"=""07:30""";352;1;"1,245";"1,598";0;352;0;352; ; 
"=""07:45""";556;0;"1,107";"1,663";0;556;1;557; ; 
"=""08:00""";993;3;"2,087";"3,082";0;993;0;993; ; 
"=""08:15""";968;0;"1,148";"2,116";1;968;2;970; ; 
"=""08:30""";867;0;662;"1,529";16;867;182;"1,065"; ; 
"=""08:45""";"1,020";0;861;"1,881";11;"1,020";13;"1,043"; ; 
"=""09:00""";933;0;399;"1,332";21;933;95;"1,049"; ; 
"=""09:15""";848;0;135;982;10;848;138;995; ; 
"=""09:30""";"1,011";0;558;"1,570";18;"1,011";251;"1,280"; ; 
"=""09:45""";"1,053";0;517;"1,569";52;"1,053";154;"1,258"; ; 
"=""10:00""";"1,055";0;"1,583";"2,638";14;"1,055";4;"1,073"; ; 
"=""10:15""";"1,034";0;"1,691";"2,725";13;"1,034";11;"1,058"; ; 
