 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"3,198";;0;;0;; ; 
"=""00:30"""; ;0;"2,571";;0;;0;; ; 
"=""00:45"""; ;0;"1,946";;0;;0;; ; 
"=""01:00"""; ;0;"1,820";;0;;0;; ; 
"=""01:15"""; ;0;"1,551";;0;;0;; ; 
"=""01:30"""; ;0;"1,396";;0;;0;; ; 
"=""01:45"""; ;0;"1,771";;0;;0;; ; 
"=""02:00"""; ;0;"1,527";;0;;0;; ; 
"=""02:15"""; ;0;"1,618";;0;;0;; ; 
"=""02:30"""; ;0;"1,356";;0;;0;; ; 
"=""02:45"""; ;0;"1,689";;0;;0;; ; 
"=""03:00"""; ;0;"1,366";;0;;0;; ; 
"=""03:15"""; ;0;965;;0;;0;; ; 
"=""03:30"""; ;0;"1,547";;0;;0;; ; 
"=""03:45"""; ;0;"1,182";;0;;0;; ; 
"=""04:00"""; ;0;"1,153";;0;;0;; ; 
"=""04:15"""; ;0;"1,235";;0;;0;; ; 
"=""04:30"""; ;0;"1,171";;0;;0;; ; 
"=""04:45"""; ;0;"1,491";;0;;0;; ; 
"=""05:00"""; ;0;"1,044";;0;;0;; ; 
"=""05:15"""; ;0;"2,666";;0;;0;; ; 
"=""05:30""";0;0;"2,317";"2,317";0;0;0;; ; 
"=""05:45""";0;0;"1,498";"1,498";0;0;0;; ; 
"=""06:00""";0;0;"1,427";"1,427";0;0;0;; ; 
"=""06:15""";0;0;"1,275";"1,275";0;0;0;0; ; 
"=""06:30""";26;0;"2,091";"2,117";0;26;0;26; ; 
"=""06:45""";123;0;"1,466";"1,589";0;123;0;123; ; 
"=""07:00""";235;0;"1,112";"1,347";0;235;0;235; ; 
"=""07:15""";317;0;912;"1,229";0;317;0;317; ; 
"=""07:30""";315;0;918;"1,233";0;315;0;315; ; 
"=""07:45""";398;0;782;"1,180";0;398;0;398; ; 
"=""08:00""";418;0;"1,326";"1,744";0;418;0;418; ; 
"=""08:15""";699;0;728;"1,427";10;699;7;717; ; 
"=""08:30""";902;0;667;"1,569";39;902;30;970; ; 
"=""08:45""";991;0;261;"1,252";63;991;827;"1,881"; ; 
"=""08:54"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""08:59"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:00""";706;0;71;777;50;706;560;"1,316"; ; 
"=""09:15""";821;0;36;856;39;821;595;"1,454"; ; 
"=""09:19"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""09:24"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";"1,047";0;57;"1,104";55;"1,047";732;"1,834"; ; 
"=""09:45""";756;0;23;779;23;756;"1,150";"1,928"; ; 
