 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,954";;0;;1;; ; 
"=""00:30"""; ;0;"2,302";;0;;2;; ; 
"=""00:45"""; ;0;"2,178";;0;;0;; ; 
"=""01:00"""; ;0;"2,255";;0;;2;; ; 
"=""01:15"""; ;1;"1,999";;0;;0;; ; 
"=""01:30"""; ;0;"2,028";;0;;0;; ; 
"=""01:45"""; ;0;"2,179";;0;;1;; ; 
"=""02:00"""; ;1;"2,215";;0;;0;; ; 
"=""02:15"""; ;0;"1,914";;0;;0;; ; 
"=""02:30"""; ;0;"1,771";;0;;0;; ; 
"=""02:45"""; ;0;"1,949";;0;;0;; ; 
"=""03:00"""; ;0;"1,760";;0;;0;; ; 
"=""03:15"""; ;0;"1,861";;0;;0;; ; 
"=""03:30"""; ;0;"1,771";;0;;0;; ; 
"=""03:45"""; ;0;"2,100";;0;;0;; ; 
"=""04:00"""; ;0;"1,849";;0;;0;; ; 
"=""04:15"""; ;0;"1,546";;0;;0;; ; 
"=""04:30"""; ;0;"1,423";;0;;0;; ; 
"=""04:45"""; ;0;"1,513";;0;;0;; ; 
"=""05:00"""; ;0;"1,645";;0;;0;; ; 
"=""05:15"""; ;0;"1,855";;0;;0;; ; 
"=""05:30"""; ;0;"3,101";;0;;0;; ; 
"=""05:45""";0;0;"1,911";"1,911";0;0;0;; ; 
"=""06:00""";0;0;"1,558";"1,558";0;0;0;; ; 
"=""06:15""";0;0;"1,760";"1,760";0;0;0;; ; 
"=""06:30""";17;0;"2,262";"2,279";0;17;0;17; ; 
"=""06:45""";120;0;"1,273";"1,393";0;120;0;120; ; 
"=""07:00""";246;0;"1,036";"1,282";0;246;0;246; ; 
"=""07:15""";315;0;"1,002";"1,317";0;315;0;315; ; 
"=""07:30""";782;0;810;"1,592";1;782;0;783; ; 
"=""07:45""";"1,111";0;826;"1,937";15;"1,111";19;"1,146"; ; 
"=""08:00""";988;0;179;"1,167";36;988;349;"1,373"; ; 
"=""08:15""";"1,049";0;117;"1,166";29;"1,049";499;"1,576"; ; 
"=""08:30""";"1,462";0;869;"2,332";50;"1,462";260;"1,773"; ; 
"=""08:45""";"1,178";0;356;"1,533";41;"1,178";463;"1,681"; ; 
"=""09:00""";"1,492";0;32;"1,524";30;"1,492";788;"2,310"; ; 
"=""09:15""";621;0;37;658;39;621;"1,529";"2,188"; ; 
"=""09:26"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""09:30""";722;0;19;741;16;722;"1,845";"2,584"; ; 
"=""09:31"""; ; ; ; ; ; ; ; ; ;"2,280"
"=""09:36"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""09:41"""; ; ; ; ; ; ; ; ; ;900
"=""09:45""";"1,177";0;115;"1,292";113;"1,177";"1,267";"2,556"; ; 
"=""09:46"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:51"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""09:56"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:00""";887;0;81;967;78;887;185;"1,149"; ; 
