 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,736";;0;;0;; ; 
"=""00:30"""; ;0;"2,633";;0;;0;; ; 
"=""00:45"""; ;0;"2,809";;0;;0;; ; 
"=""01:00"""; ;0;"2,158";;0;;0;; ; 
"=""01:15"""; ;0;"2,011";;0;;0;; ; 
"=""01:30"""; ;0;"2,378";;0;;0;; ; 
"=""01:45"""; ;0;"1,733";;0;;0;; ; 
"=""02:00"""; ;0;"2,151";;0;;0;; ; 
"=""02:15"""; ;0;"1,993";;0;;0;; ; 
"=""02:30"""; ;0;"1,826";;0;;0;; ; 
"=""02:45"""; ;0;"2,355";;0;;0;; ; 
"=""03:00"""; ;0;"1,573";;0;;0;; ; 
"=""03:15"""; ;0;"1,447";;0;;0;; ; 
"=""03:30"""; ;0;"1,865";;0;;0;; ; 
"=""03:45"""; ;0;"1,741";;0;;0;; ; 
"=""04:00"""; ;0;"1,132";;0;;0;; ; 
"=""04:15"""; ;0;"1,825";;0;;0;; ; 
"=""04:30"""; ;0;"1,377";;0;;0;; ; 
"=""04:45"""; ;0;"1,751";;0;;0;; ; 
"=""05:00""";0;0;"1,493";"1,493";0;0;0;; ; 
"=""05:15""";0;0;"2,307";"2,307";0;0;0;; ; 
"=""05:30""";0;0;"2,409";"2,409";0;0;0;; ; 
"=""05:45""";0;0;"2,059";"2,059";0;0;0;; ; 
"=""06:00""";0;0;"1,237";"1,237";0;0;0;; ; 
"=""06:15""";0;0;"1,358";"1,358";0;0;0;0; ; 
"=""06:30""";60;0;"1,483";"1,543";0;60;0;60; ; 
"=""06:45""";165;0;"1,152";"1,317";0;165;0;165; ; 
"=""07:00""";256;0;"1,507";"1,763";0;256;0;256; ; 
"=""07:15""";402;0;"1,088";"1,490";0;402;0;402; ; 
"=""07:30""";532;0;"1,466";"1,998";0;532;0;532; ; 
"=""07:45""";705;0;602;"1,307";16;705;71;792; ; 
"=""08:00""";918;0;554;"1,472";13;918;141;"1,072"; ; 
"=""08:15""";856;0;309;"1,165";19;856;169;"1,044"; ; 
"=""08:30""";952;0;253;"1,205";37;952;168;"1,157"; ; 
"=""08:45""";926;0;59;985;53;926;655;"1,634"; ; 
"=""08:45"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""08:50"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:55"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""09:00""";969;0;69;"1,038";64;969;607;"1,640"; ; 
"=""09:00"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:10"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""09:15""";999;0;77;"1,077";79;999;598;"1,677"; ; 
"=""09:15"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";"1,018";77;64;"1,159";61;"1,018";0;"1,079"; ; 
"=""09:45""";986;0;44;"1,030";40;986;807;"1,833"; ; 
"=""10:00""";731;0;34;765;33;731;202;966; ; 
"=""10:15""";565;0;15;580;14;565;221;800; ; 
"=""10:15"""; ; ; ; ; ; ; ; ; ;"2,640"
"=""10:20"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";806;0;91;897;99;806;718;"1,622"; ; 
"=""10:45""";827;0;43;871;50;827;113;990; ; 
"=""11:00""";824;0;30;854;22;824;605;"1,451"; ; 
"=""11:00"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""11:05"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:15""";735;109;63;907;62;735;0;797; ; 
"=""11:30""";769;126;11;905;10;769;0;778; ; 
"=""11:45""";662;393;37;"1,093";35;662;0;697; ; 
"=""12:00""";597;263;29;889;28;597;0;625; ; 
"=""12:15""";569;190;27;785;25;569;0;594; ; 
"=""12:30""";463;425;15;903;15;463;0;478; ; 
"=""12:45""";387;461;10;857;10;387;0;396; ; 
"=""13:00""";697;584;494;"1,775";6;697;0;703; ; 
"=""13:15""";893;0;"1,013";"1,906";0;893;1;894; ; 
"=""13:30""";842;0;809;"1,651";5;842;4;851; ; 
"=""13:45""";928;0;896;"1,823";3;928;3;934; ; 
"=""14:00""";"1,014";0;824;"1,838";4;"1,014";16;"1,034"; ; 
"=""14:15""";"1,010";0;965;"1,974";6;"1,010";29;"1,044"; ; 
"=""14:30""";"1,068";0;833;"1,901";15;"1,068";42;"1,125"; ; 
"=""14:45""";"1,108";0;821;"1,929";16;"1,108";69;"1,193"; ; 
"=""15:00""";"1,591";0;268;"1,858";169;"1,591";217;"1,976"; ; 
"=""15:15""";"2,219";0;41;"2,260";42;"2,219";354;"2,615"; ; 
"=""15:25"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""15:30""";"1,948";0;37;"1,985";42;"1,948";226;"2,216"; ; 
"=""15:30"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""15:35"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""15:45""";"1,797";0;110;"1,906";105;"1,797";266;"2,168"; ; 
"=""16:00""";939;0;21;960;18;939;627;"1,584"; ; 
"=""16:15""";980;0;29;"1,009";25;980;314;"1,318"; ; 
"=""16:30""";971;0;14;985;13;971;129;"1,113"; ; 
"=""16:45""";880;0;27;906;25;880;3;907; ; 
"=""17:00""";650;658;32;"1,340";27;650;0;677; ; 
"=""17:15""";441;605;"1,082";"2,128";4;441;0;444; ; 
"=""17:30""";322;0;"1,335";"1,658";0;322;0;322; ; 
"=""17:45""";220;0;"1,489";"1,709";0;220;0;220; ; 
"=""18:00""";141;0;"1,425";"1,566";0;141;1;142; ; 
"=""18:15""";84;0;"2,164";"2,249";0;84;0;84; ; 
"=""18:30""";26;1;"2,160";"2,186";0;26;0;26; ; 
"=""18:45""";3;0;"2,943";"2,945";0;3;1;4; ; 
"=""19:00""";0;1;"3,434";"3,435";0;0;0;; ; 
"=""19:15""";0;0;"3,204";"3,202";0;0;2;; ; 
"=""19:30""";0;0;"3,334";"3,394";0;0;0;; ; 
"=""19:45""";0;0;"3,307";"3,307";0;0;0;; ; 
"=""20:00""";0;0;"3,866";"4,690";0;0;0;; ; 
"=""20:15"""; ;0;"2,954";;0;;0;; ; 
"=""20:30"""; ;0;"4,023";;0;;0;; ; 
"=""20:45"""; ;0;"3,089";;0;;0;; ; 
"=""21:00"""; ;0;"2,705";;0;;0;; ; 
"=""21:15"""; ;0;"2,457";;0;;0;; ; 
"=""21:30"""; ;0;"2,343";;0;;0;; ; 
"=""21:45"""; ;0;"2,547";;0;;0;; ; 
"=""22:00"""; ;0;"2,174";;0;;0;; ; 
"=""22:15"""; ;0;"2,486";;0;;0;; ; 
"=""22:30"""; ;0;"2,089";;0;;0;; ; 
"=""22:45"""; ;0;"2,941";;0;;0;; ; 
"=""23:00"""; ;0;"3,094";;0;;0;; ; 
"=""23:15"""; ;0;"2,652";;0;;0;; ; 
"=""23:30"""; ;0;"3,305";;0;;0;; ; 
"=""23:45"""; ;0;"2,246";;0;;0;; ; 
"=""00:00"""; ;0;"2,314";;0;;0;;300;"3,000"
