 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,945";;0;;0;; ; 
"=""00:30"""; ;0;"2,145";;0;;0;; ; 
"=""00:45"""; ;0;"2,034";;0;;0;; ; 
"=""01:00"""; ;0;"1,912";;0;;0;; ; 
"=""01:15"""; ;0;"1,883";;0;;0;; ; 
"=""01:30"""; ;0;"1,576";;0;;0;; ; 
"=""01:45"""; ;0;"1,837";;0;;0;; ; 
"=""02:00"""; ;0;"1,529";;0;;0;; ; 
"=""02:15"""; ;0;"1,840";;0;;0;; ; 
"=""02:30"""; ;0;"1,394";;0;;0;; ; 
"=""02:45"""; ;0;"1,879";;0;;0;; ; 
"=""03:00"""; ;0;"1,196";;0;;0;; ; 
"=""03:15"""; ;0;"1,662";;0;;0;; ; 
"=""03:30"""; ;0;"1,342";;0;;0;; ; 
"=""03:45"""; ;0;"1,469";;0;;0;; ; 
"=""04:00"""; ;0;"1,418";;0;;0;; ; 
"=""04:15"""; ;0;"1,094";;0;;0;; ; 
"=""04:30"""; ;0;"1,666";;0;;0;; ; 
"=""04:45"""; ;0;"1,152";;0;;0;; ; 
"=""05:00"""; ;0;"1,620";;0;;0;; ; 
"=""05:15""";0;0;"1,278";"1,278";0;0;0;; ; 
"=""05:30""";0;0;"2,773";"2,773";0;0;0;; ; 
"=""05:45""";0;0;"2,192";"2,192";0;0;0;; ; 
"=""06:00""";0;0;"1,283";"1,283";0;0;0;; ; 
"=""06:15""";27;0;"1,375";"1,402";0;27;0;27; ; 
"=""06:30""";115;0;"2,084";"2,199";0;115;0;115; ; 
"=""06:45""";363;0;"1,097";"1,460";0;363;0;363; ; 
"=""07:00""";363;0;690;"1,053";0;363;0;363; ; 
"=""07:15""";386;0;732;"1,118";0;386;0;386; ; 
"=""07:30""";474;0;587;"1,060";11;474;34;518; ; 
"=""07:45""";680;0;370;"1,051";15;680;158;853; ; 
"=""08:00""";861;0;193;"1,054";47;861;546;"1,453"; ; 
"=""08:15""";864;0;28;892;29;864;757;"1,650"; ; 
"=""08:30""";886;0;30;916;29;886;711;"1,626"; ; 
"=""08:45""";802;0;16;818;16;802;"1,212";"2,030"; ; 
"=""09:00""";798;0;11;809;10;798;"1,455";"2,263"; ; 
"=""09:15""";"1,043";0;73;"1,116";77;"1,043";"1,259";"2,378"; ; 
"=""09:24"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""09:29"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""09:30""";817;0;38;855;32;817;"1,683";"2,532"; ; 
"=""09:34"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:45""";989;0;46;"1,035";51;989;"1,602";"2,642"; ; 
"=""09:49"""; ; ; ; ; ; ; ; ; ;"2,340"
"=""09:54"""; ; ; ; ; ; ; ; ; ;"2,280"
"=""09:59"""; ; ; ; ; ; ; ; ; ;"1,320"
"=""10:00""";"1,098";0;6;"1,104";271;"1,098";"1,358";"2,727"; ; 
"=""10:04"""; ; ; ; ; ; ; ; ; ;0
"=""10:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";"1,165";0;156;"1,321";319;"1,165";626;"2,110"; ; 
"=""10:24"""; ; ; ; ; ; ; ; ; ;0
"=""10:29"""; ; ; ; ; ; ; ; ; ;"1,860"
"=""10:30""";"1,668";0;161;"1,829";178;"1,668";5;"1,851"; ; 
"=""10:34"""; ; ; ; ; ; ; ; ; ;"1,590"
"=""10:39"""; ; ; ; ; ; ; ; ; ;"1,500"
"=""10:44"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";805;0;126;931;334;805;852;"1,992"; ; 
"=""10:59"""; ; ; ; ; ; ; ; ; ;"1,470"
"=""11:00""";928;0;15;942;35;928;450;"1,412"; ; 
"=""11:04"""; ; ; ; ; ; ; ; ; ;"1,380"
"=""11:09"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""11:14"""; ; ; ; ; ; ; ; ; ;"1,380"
"=""11:15""";867;0;50;917;323;867;527;"1,717"; ; 
"=""11:19"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:29"""; ; ; ; ; ; ; ; ; ;"1,320"
"=""11:30""";877;0;45;922;238;877;466;"1,581"; ; 
"=""11:34"""; ; ; ; ; ; ; ; ; ;"1,290"
"=""11:39"""; ; ; ; ; ; ; ; ; ;"1,320"
"=""11:44"""; ; ; ; ; ; ; ; ; ;"2,280"
"=""11:45""";893;0;13;905;298;893;418;"1,608"; ; 
"=""11:49"""; ; ; ; ; ; ; ; ; ;"2,160"
"=""11:54"""; ; ; ; ; ; ; ; ; ;"1,200"
"=""11:59"""; ; ; ; ; ; ; ; ; ;"1,770"
"=""12:00""";986;0;75;"1,061";331;986;351;"1,668"; ; 
"=""12:04"""; ; ; ; ; ; ; ; ; ;"1,290"
"=""12:09"""; ; ; ; ; ; ; ; ; ;"2,130"
"=""12:14"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""12:15""";"1,061";0;65;"1,126";354;"1,061";335;"1,749"; ; 
"=""12:19"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";"1,854";200;214;"2,267";228;"1,854";0;"2,081"; ; 
"=""12:45""";"1,550";622;75;"2,247";73;"1,550";0;"1,623"; ; 
"=""12:49"""; ; ; ; ; ; ; ; ; ;870
"=""12:54"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:00""";"3,090";0;86;"3,176";89;"3,090";26;"3,204"; ; 
"=""13:15""";"2,478";666;53;"3,197";45;"2,478";0;"2,523"; ; 
"=""13:24"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""13:29"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"2,072";988;86;"3,146";93;"2,072";0;"2,165"; ; 
"=""13:44"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""13:45""";"2,563";0;67;"2,629";64;"2,563";312;"2,939"; ; 
"=""13:49"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:00""";"2,658";0;124;"2,782";114;"2,658";31;"2,802"; ; 
"=""14:15""";"1,886";"1,219";76;"3,181";69;"1,886";0;"1,955"; ; 
"=""14:30""";"1,666";"1,402";37;"3,105";40;"1,666";0;"1,706"; ; 
"=""14:45""";"1,409";"1,537";23;"2,968";22;"1,409";0;"1,431"; ; 
"=""15:00""";"2,669";0;56;"2,726";60;"2,669";21;"2,750"; ; 
"=""15:15""";"1,791";"1,520";42;"3,353";35;"1,791";0;"1,826"; ; 
"=""15:30""";"1,639";677;85;"2,401";89;"1,639";0;"1,728"; ; 
"=""15:45""";807;635;22;"1,464";20;807;0;827; ; 
"=""16:00""";194;681;34;909;30;194;0;224; ; 
"=""16:15""";72;345;645;"1,062";10;72;0;82; ; 
"=""16:30""";75;0;"1,120";"1,195";0;75;0;75; ; 
"=""16:45""";10;0;907;917;0;10;2;12; ; 
"=""17:00""";11;0;736;748;0;11;0;11; ; 
"=""17:15""";9;0;"1,076";"1,085";0;9;1;10; ; 
"=""17:30""";0;0;"2,027";"2,027";0;0;0;0; ; 
"=""17:45""";0;1;"1,747";"1,748";0;0;0;0; ; 
"=""18:00""";0;0;"1,576";"1,576";0;0;0;0; ; 
"=""18:15""";0;0;"2,435";"2,119";0;0;1;; ; 
"=""18:30""";0;0;"3,091";"3,091";0;0;0;; ; 
"=""18:45""";0;0;"2,222";"1,934";0;0;0;; ; 
"=""19:00"""; ;0;"2,999";;0;;0;; ; 
"=""19:15"""; ;0;"3,401";;0;;0;; ; 
"=""19:30"""; ;0;"3,033";;0;;0;; ; 
"=""19:45"""; ;0;"3,263";;0;;0;; ; 
"=""20:00"""; ;0;"2,761";;0;;0;; ; 
"=""20:15"""; ;0;"3,220";;0;;0;; ; 
"=""20:30"""; ;0;"2,922";;0;;0;; ; 
"=""20:45"""; ;0;"2,522";;0;;0;; ; 
"=""21:00"""; ;0;"2,842";;0;;0;; ; 
"=""21:15"""; ;0;"3,251";;0;;0;; ; 
"=""21:30"""; ;0;"2,662";;0;;0;; ; 
"=""21:45"""; ;0;"2,310";;0;;0;; ; 
"=""22:00"""; ;0;"2,585";;0;;0;; ; 
"=""22:15"""; ;0;"2,391";;0;;0;; ; 
"=""22:30"""; ;0;"2,331";;0;;0;; ; 
"=""22:45"""; ;0;"2,185";;0;;0;; ; 
"=""23:00"""; ;0;"2,642";;0;;0;; ; 
"=""23:15"""; ;0;"3,225";;0;;0;; ; 
"=""23:30"""; ;0;"2,595";;0;;0;; ; 
"=""23:45"""; ;0;"3,689";;0;;0;; ; 
"=""00:00"""; ;0;"2,380";;0;;0;;300;"3,000"
