 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,074";;0;;0;; ; 
"=""00:30"""; ;0;"2,241";;0;;0;; ; 
"=""00:45"""; ;0;"2,129";;0;;0;; ; 
"=""01:00"""; ;0;"2,072";;0;;0;; ; 
"=""01:15"""; ;0;"1,529";;0;;0;; ; 
"=""01:30"""; ;0;"1,840";;0;;0;; ; 
"=""01:45"""; ;0;"1,487";;0;;0;; ; 
"=""02:00"""; ;0;"1,514";;0;;0;; ; 
"=""02:15"""; ;0;"1,477";;0;;0;; ; 
"=""02:30"""; ;0;"1,717";;0;;0;; ; 
"=""02:45"""; ;0;"1,424";;0;;0;; ; 
"=""03:00"""; ;0;"1,505";;0;;0;; ; 
"=""03:15"""; ;0;"1,425";;0;;0;; ; 
"=""03:30"""; ;0;"1,277";;0;;0;; ; 
"=""03:45"""; ;0;"1,668";;0;;0;; ; 
"=""04:00"""; ;0;"1,382";;0;;0;; ; 
"=""04:15"""; ;0;"1,579";;0;;0;; ; 
"=""04:30"""; ;0;"1,351";;0;;0;; ; 
"=""04:45"""; ;0;"1,522";;0;;0;; ; 
"=""05:00"""; ;0;"1,244";;0;;0;; ; 
"=""05:15"""; ;0;"2,048";;0;;0;; ; 
"=""05:30"""; ;0;"2,751";;0;;0;; ; 
"=""05:45""";0;0;"1,208";"1,208";0;0;0;; ; 
"=""06:00""";0;0;"2,087";"2,087";0;0;0;; ; 
"=""06:15""";0;0;"1,465";"1,465";0;0;0;0; ; 
"=""06:30""";11;0;"2,104";"2,115";0;11;0;11; ; 
"=""06:45""";67;0;"1,160";"1,227";0;67;0;67; ; 
"=""07:00""";134;0;"1,036";"1,170";0;134;0;134; ; 
"=""07:15""";229;0;"1,655";"1,884";0;229;0;229; ; 
"=""07:30""";391;0;794;"1,185";0;391;0;391; ; 
"=""07:45""";353;0;859;"1,212";0;353;0;353; ; 
"=""08:00""";502;0;665;"1,167";0;502;0;502; ; 
"=""08:15""";653;0;562;"1,215";0;653;0;653; ; 
"=""08:30""";819;0;16;835;20;819;183;"1,022"; ; 
"=""08:45""";827;0;79;906;24;827;377;"1,228"; ; 
"=""09:00""";829;0;21;850;21;829;"1,356";"2,205"; ; 
"=""09:15""";"1,321";0;100;"1,421";86;"1,321";599;"2,006"; ; 
"=""09:30""";"1,388";404;98;"1,891";105;"1,388";0;"1,493"; ; 
"=""09:45""";"1,309";0;30;"1,339";23;"1,309";175;"1,506"; ; 
"=""09:55"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""10:00""";"1,355";0;48;"1,403";51;"1,355";75;"1,480"; ; 
"=""10:00"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";"1,316";0;76;"1,392";77;"1,316";771;"2,163"; ; 
"=""10:30""";"1,406";0;35;"1,441";28;"1,406";106;"1,539"; ; 
"=""10:45""";"1,439";133;81;"1,652";84;"1,439";0;"1,523"; ; 
"=""10:45"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""10:50"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:00""";"1,231";0;80;"1,311";79;"1,231";461;"1,771"; ; 
"=""11:15""";"1,566";184;104;"1,854";101;"1,566";0;"1,667"; ; 
"=""11:15"""; ; ; ; ; ; ; ; ; ;"2,760"
