 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,131";;0;;0;; ; 
"=""00:30"""; ;0;"2,785";;0;;0;; ; 
"=""00:45"""; ;0;"1,802";;0;;0;; ; 
"=""01:00"""; ;0;"1,788";;0;;0;; ; 
"=""01:15"""; ;0;"1,707";;0;;0;; ; 
"=""01:30"""; ;0;"1,290";;0;;0;; ; 
"=""01:45"""; ;0;"1,683";;0;;0;; ; 
"=""02:00"""; ;0;"1,839";;0;;0;; ; 
"=""02:15"""; ;0;"1,584";;0;;0;; ; 
"=""02:30"""; ;0;"1,465";;0;;0;; ; 
"=""02:45"""; ;0;"1,599";;0;;0;; ; 
"=""03:00"""; ;0;"1,319";;0;;0;; ; 
"=""03:15"""; ;0;"1,384";;0;;0;; ; 
"=""03:30"""; ;0;"1,511";;0;;0;; ; 
"=""03:45"""; ;0;"1,222";;0;;0;; ; 
"=""04:00"""; ;0;"1,476";;0;;0;; ; 
"=""04:15"""; ;0;"1,385";;0;;0;; ; 
"=""04:30"""; ;0;"1,151";;0;;0;; ; 
"=""04:45"""; ;0;"1,278";;0;;0;; ; 
"=""05:00"""; ;0;"1,616";;0;;0;; ; 
"=""05:15"""; ;0;"2,752";;0;;0;; ; 
"=""05:30""";0;0;"3,847";"3,847";0;0;0;; ; 
"=""05:45""";0;0;"2,034";"2,034";0;0;0;; ; 
"=""06:00""";0;0;"1,254";"1,254";0;0;0;0; ; 
"=""06:15""";21;0;"1,182";"1,203";0;21;0;21; ; 
"=""06:30""";71;0;"2,659";"2,730";0;71;0;71; ; 
"=""06:45""";140;0;"1,277";"1,417";0;140;0;140; ; 
"=""07:00""";243;0;"1,089";"1,332";0;243;0;243; ; 
"=""07:15""";324;0;695;"1,019";0;324;0;324; ; 
"=""07:30""";334;0;695;"1,029";0;334;0;334; ; 
"=""07:45""";364;0;765;"1,129";0;364;0;364; ; 
"=""08:00""";544;0;582;"1,126";0;544;0;544; ; 
"=""08:15""";484;0;779;"1,263";0;484;0;484; ; 
"=""08:30""";638;0;674;"1,312";4;638;3;645; ; 
"=""08:45""";985;0;325;"1,311";62;985;289;"1,336"; ; 
"=""09:00""";867;0;75;942;69;867;664;"1,600"; ; 
"=""09:15""";795;0;116;911;34;795;30;858; ; 
"=""09:30""";728;0;34;762;30;728;207;966; ; 
"=""09:45""";940;0;77;"1,017";35;940;359;"1,334"; ; 
"=""10:00""";579;0;19;597;15;579;720;"1,313"; ; 
"=""10:03"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""10:08"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";"1,013";121;77;"1,212";77;"1,013";0;"1,090"; ; 
"=""10:30""";836;0;51;887;53;836;510;"1,399"; ; 
"=""10:45""";895;0;17;912;14;895;30;938; ; 
"=""11:00""";534;420;12;965;10;534;0;544; ; 
"=""11:15""";"1,055";0;61;"1,116";62;"1,055";27;"1,144"; ; 
"=""11:30""";987;0;35;"1,022";36;987;567;"1,590"; ; 
"=""11:38"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""11:43"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";"1,022";0;63;"1,084";63;"1,022";893;"1,977"; ; 
"=""12:00""";957;0;29;986;31;957;"2,010";"2,998"; ; 
"=""12:08"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""12:13"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""12:15""";779;0;111;890;103;779;"1,084";"1,966"; ; 
"=""12:18"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";845;0;111;956;114;845;"1,310";"2,269"; ; 
