 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,669";;0;;1;; ; 
"=""00:30"""; ;0;"1,860";;0;;2;; ; 
"=""00:45"""; ;0;"1,198";;0;;1;; ; 
"=""01:00"""; ;0;"1,120";;0;;0;; ; 
"=""01:15"""; ;2;"1,434";;0;;0;; ; 
"=""01:30"""; ;0;"1,060";;0;;2;; ; 
"=""01:45"""; ;0;"1,315";;0;;1;; ; 
"=""02:00"""; ;0;863;;0;;2;; ; 
"=""02:15"""; ;0;979;;0;;1;; ; 
"=""02:30"""; ;0;918;;0;;1;; ; 
"=""02:45"""; ;0;"1,055";;0;;2;; ; 
"=""03:00"""; ;0;868;;0;;1;; ; 
"=""03:15"""; ;2;944;;0;;0;; ; 
"=""03:30"""; ;0;"1,014";;0;;0;; ; 
"=""03:45"""; ;0;682;;0;;0;; ; 
"=""04:00"""; ;1;"1,188";;0;;0;; ; 
"=""04:15"""; ;0;"1,073";;0;;0;; ; 
"=""04:30"""; ;0;644;;0;;0;; ; 
"=""04:45"""; ;2;"1,075";;0;;0;; ; 
"=""05:00"""; ;1;798;;0;;0;; ; 
"=""05:15"""; ;2;"2,302";;0;;0;; ; 
"=""05:30""";0;0;"2,525";"2,524";0;0;2;; ; 
"=""05:45""";0;0;"2,082";"2,081";0;0;1;; ; 
"=""06:00""";0;0;"1,452";"1,451";0;0;1;; ; 
"=""06:15""";0;0;888;887;0;0;1;0; ; 
"=""06:30""";0;0;"2,306";"2,306";0;0;0;0; ; 
"=""06:45""";0;0;"1,090";"1,090";0;0;1;0; ; 
"=""07:00""";33;0;894;927;0;33;0;33; ; 
"=""07:15""";83;0;891;974;0;83;2;85; ; 
"=""07:30""";206;3;649;857;0;206;0;206; ; 
"=""07:45""";278;0;651;929;0;278;0;278; ; 
"=""08:00""";288;0;610;898;0;288;4;291; ; 
"=""08:15""";428;0;523;952;0;428;2;430; ; 
"=""08:30""";484;0;953;"1,437";0;484;1;485; ; 
"=""08:45""";587;0;88;675;16;587;100;703; ; 
"=""09:00""";658;0;14;673;12;658;302;972; ; 
"=""09:15""";682;0;186;868;14;682;136;832; ; 
"=""09:30""";892;0;572;"1,465";11;892;110;"1,013"; ; 
"=""09:45""";811;0;673;"1,483";4;811;33;847; ; 
"=""10:00""";"1,145";0;406;"1,551";32;"1,145";29;"1,206"; ; 
"=""10:15""";651;0;54;705;53;651;907;"1,611"; ; 
"=""10:26"""; ; ; ; ; ; ; ; ; ;"2,610"
"=""10:30""";748;0;53;801;51;748;635;"1,433"; ; 
"=""10:31"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";738;0;94;832;93;738;786;"1,617"; ; 
"=""11:00""";635;0;90;725;97;635;"1,206";"1,938"; ; 
"=""11:15""";"1,243";0;55;"1,298";67;"1,243";180;"1,489"; ; 
"=""11:30""";807;0;22;829;18;807;370;"1,195"; ; 
"=""11:45""";785;0;12;797;14;785;567;"1,366"; ; 
"=""11:46"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""11:51"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:00""";815;0;30;845;30;815;842;"1,686"; ; 
"=""12:15""";633;0;14;646;12;633;481;"1,125"; ; 
"=""12:30""";646;57;22;725;20;646;0;666; ; 
"=""12:45""";730;0;11;741;11;730;58;799; ; 
"=""13:00""";713;0;35;748;36;713;311;"1,060"; ; 
"=""13:15""";"1,203";0;28;"1,231";35;"1,203";996;"2,234"; ; 
"=""13:16"""; ; ; ; ; ; ; ; ; ;"2,670"
"=""13:21"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"1,026";0;54;"1,080";95;"1,026";807;"1,927"; ; 
"=""13:45""";"1,088";0;21;"1,109";87;"1,088";698;"1,873"; ; 
"=""14:00""";"2,130";46;38;"2,214";45;"2,130";0;"2,175"; ; 
"=""14:15""";"1,990";176;33;"2,199";30;"1,990";0;"2,020"; ; 
"=""14:30""";"1,912";0;43;"1,956";41;"1,912";89;"2,042"; ; 
"=""14:45""";"1,299";660;39;"1,997";27;"1,299";0;"1,325"; ; 
"=""15:00""";629;"1,291";34;"1,954";33;629;0;662; ; 
"=""15:15""";587;"1,007";38;"1,632";35;587;0;622; ; 
"=""15:30""";680;"1,275";533;"2,488";66;680;0;746; ; 
"=""15:41"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""15:45""";630;520;33;"1,183";26;630;0;656; ; 
"=""15:46"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""16:00""";0;760;582;"1,340";29;0;0;27; ; 
"=""16:15""";0;0;693;692;0;0;1;0; ; 
"=""16:30""";0;0;795;795;0;0;0;0; ; 
"=""16:45""";0;0;765;764;0;0;1;0; ; 
"=""17:00""";0;0;954;952;0;0;1;0; ; 
"=""17:15""";0;0;"1,554";"1,554";0;0;0;0; ; 
"=""17:30""";0;0;"1,369";"1,370";0;0;0;0; ; 
"=""17:45""";0;0;"1,296";"1,297";0;0;0;0; ; 
"=""18:00""";0;0;"1,193";"1,193";0;0;0;0; ; 
"=""18:15""";0;0;"2,174";"2,174";0;0;0;0; ; 
"=""18:30""";0;0;"2,336";"2,545";0;0;0;; ; 
"=""18:45""";0;0;"2,224";"2,224";0;0;0;; ; 
