 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,051";;0;;0;; ; 
"=""00:30"""; ;0;"2,295";;0;;0;; ; 
"=""00:45"""; ;0;"2,046";;0;;0;; ; 
"=""01:00"""; ;0;"1,826";;0;;0;; ; 
"=""01:15"""; ;0;"1,812";;0;;0;; ; 
"=""01:30"""; ;0;"2,309";;0;;0;; ; 
"=""01:45"""; ;0;"1,822";;0;;0;; ; 
"=""02:00"""; ;0;"1,291";;0;;0;; ; 
"=""02:15"""; ;0;"1,845";;0;;0;; ; 
"=""02:30"""; ;0;"1,979";;0;;0;; ; 
"=""02:45"""; ;0;"1,287";;0;;0;; ; 
"=""03:00"""; ;0;"1,836";;0;;0;; ; 
"=""03:15"""; ;0;"1,608";;0;;0;; ; 
"=""03:30"""; ;0;"1,604";;0;;0;; ; 
"=""03:45"""; ;0;"1,812";;0;;0;; ; 
"=""04:00"""; ;0;"1,349";;0;;0;; ; 
"=""04:15"""; ;0;"1,274";;0;;0;; ; 
"=""04:30"""; ;0;"1,647";;0;;0;; ; 
"=""04:45"""; ;0;"1,395";;0;;0;; ; 
"=""05:00"""; ;0;"1,651";;0;;0;; ; 
"=""05:15"""; ;0;"2,951";;0;;0;; ; 
"=""05:30"""; ;0;"3,376";;0;;0;; ; 
"=""05:45"""; ;0;"1,974";;0;;0;; ; 
"=""06:00""";0;0;"1,476";"1,476";0;0;0;; ; 
"=""06:15""";0;0;"1,473";"1,473";0;0;0;; ; 
"=""06:30""";2;0;"2,341";"2,343";0;2;0;2; ; 
"=""06:45""";72;0;"1,122";"1,194";0;72;0;72; ; 
"=""07:00""";127;0;930;"1,057";0;127;0;127; ; 
"=""07:15""";234;0;777;"1,011";0;234;0;234; ; 
"=""07:30""";296;0;737;"1,033";0;296;0;296; ; 
"=""07:45""";389;0;682;"1,071";0;389;0;389; ; 
"=""08:00""";555;0;590;"1,145";0;555;0;555; ; 
"=""08:15""";636;0;401;"1,037";0;636;0;636; ; 
"=""08:30""";744;0;327;"1,071";31;744;5;780; ; 
"=""08:45""";857;0;719;"1,576";29;857;21;907; ; 
"=""09:00""";832;0;45;876;25;832;137;993; ; 
"=""09:15""";789;0;119;908;84;789;394;"1,267"; ; 
"=""09:23"""; ; ; ; ; ; ; ; ; ;"2,250"
"=""09:28"""; ; ; ; ; ; ; ; ; ;"2,430"
"=""09:30""";"1,519";0;775;"2,294";114;"1,519";229;"1,863"; ; 
"=""09:33"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:43"""; ; ; ; ; ; ; ; ; ;"2,040"
"=""09:45""";"1,308";0;393;"1,700";290;"1,308";598;"2,196"; ; 
"=""09:48"""; ; ; ; ; ; ; ; ; ;"2,700"
"=""09:53"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:00""";"1,437";0;441;"1,878";289;"1,437";130;"1,856"; ; 
"=""10:08"""; ; ; ; ; ; ; ; ; ;"1,560"
"=""10:13"""; ; ; ; ; ; ; ; ; ;"2,700"
"=""10:15""";"1,229";0;757;"1,986";133;"1,229";9;"1,370"; ; 
"=""10:18"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";"1,295";0;996;"2,291";69;"1,295";15;"1,379"; ; 
"=""10:45""";931;0;36;967;37;931;455;"1,423"; ; 
"=""11:00""";860;0;69;929;69;860;239;"1,167"; ; 
"=""11:15""";771;0;42;813;40;771;563;"1,374"; ; 
"=""11:30""";878;0;55;933;57;878;240;"1,174"; ; 
"=""11:45""";718;0;25;743;23;718;663;"1,404"; ; 
"=""12:00""";853;0;43;896;44;853;750;"1,647"; ; 
"=""12:15""";710;0;13;723;13;710;974;"1,696"; ; 
"=""12:30""";750;0;38;788;36;750;891;"1,677"; ; 
"=""12:45""";821;0;24;845;23;821;413;"1,257"; ; 
"=""13:00""";852;0;28;880;27;852;499;"1,379"; ; 
"=""13:15""";800;0;45;845;44;800;616;"1,460"; ; 
"=""13:30""";781;0;12;793;16;781;"1,084";"1,881"; ; 
"=""13:33"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""13:38"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:45""";"1,022";215;111;"1,348";106;"1,022";0;"1,128"; ; 
"=""14:00""";"1,265";0;18;"1,283";15;"1,265";445;"1,725"; ; 
"=""14:03"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""14:08"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:15""";"1,684";365;25;"2,074";18;"1,684";0;"1,702"; ; 
"=""14:30""";"1,149";"1,902";31;"3,082";31;"1,149";0;"1,180"; ; 
"=""14:45""";"1,247";"1,935";547;"3,729";24;"1,247";0;"1,271"; ; 
"=""15:00""";"1,110";954;"1,447";"3,511";41;"1,110";0;"1,151"; ; 
"=""15:15""";840;931;"1,369";"3,140";46;840;0;886; ; 
"=""15:30""";"1,026";125;"3,437";"4,587";13;"1,026";0;"1,038"; ; 
"=""15:45""";888;0;"1,555";"2,443";2;888;1;890; ; 
"=""16:00""";597;0;356;953;0;597;0;597; ; 
"=""16:15""";680;0;217;897;2;680;0;682; ; 
"=""16:30""";731;0;109;840;0;731;1;732; ; 
"=""16:45""";428;0;381;809;0;428;1;428; ; 
"=""17:00""";370;0;546;916;0;370;1;371; ; 
"=""17:15""";394;0;"1,480";"1,873";0;394;0;394; ; 
"=""17:30""";169;83;"1,447";"1,699";2;169;0;171; ; 
"=""17:45""";177;0;"3,111";"3,289";0;177;1;178; ; 
"=""18:00""";205;0;"1,594";"1,799";0;205;2;206; ; 
"=""18:15""";124;0;"1,904";"2,029";0;124;1;125; ; 
"=""18:30""";35;0;"2,336";"2,371";0;35;1;36; ; 
"=""18:45""";1;0;"2,885";"2,886";0;1;1;2; ; 
"=""19:00""";0;0;"3,391";"3,224";0;0;1;; ; 
"=""19:15""";0;0;"2,977";"2,977";0;0;1;; ; 
"=""19:30"""; ;0;"3,292";;0;;1;; ; 
"=""19:45"""; ;0;"4,199";;0;;1;; ; 
"=""20:00"""; ;0;"3,420";;0;;1;; ; 
"=""20:15"""; ;0;"3,148";;0;;0;; ; 
"=""20:30"""; ;1;"2,571";;0;;0;; ; 
"=""20:45"""; ;0;"2,430";;0;;0;; ; 
"=""21:00"""; ;0;"3,608";;0;;0;; ; 
"=""21:15"""; ;0;"3,079";;0;;0;; ; 
"=""21:30"""; ;0;"2,450";;0;;0;; ; 
"=""21:45"""; ;0;"2,883";;0;;0;; ; 
"=""22:00"""; ;0;"3,718";;0;;0;; ; 
"=""22:15"""; ;0;"3,527";;0;;0;; ; 
"=""22:30"""; ;0;"2,994";;0;;0;; ; 
"=""22:45"""; ;0;"3,159";;0;;0;; ; 
"=""23:00"""; ;0;"2,527";;0;;0;; ; 
"=""23:15"""; ;0;"3,247";;0;;0;; ; 
"=""23:30"""; ;0;"2,305";;0;;0;; ; 
