 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;"3,000"
"=""00:15"""; ;0;"1,997";;0;;0;; 
"=""00:30"""; ;0;"2,205";;0;;0;; 
"=""00:45"""; ;0;"2,129";;0;;0;; 
"=""01:00"""; ;0;"1,983";;0;;0;; 
"=""01:15"""; ;0;"2,033";;0;;0;; 
"=""01:30"""; ;0;"2,070";;0;;0;; 
"=""01:45"""; ;0;"1,572";;0;;0;; 
"=""02:00"""; ;0;"1,954";;0;;0;; 
"=""02:15"""; ;0;"1,845";;0;;0;; 
"=""02:30"""; ;0;"1,767";;0;;0;; 
"=""02:45"""; ;0;"1,579";;0;;0;; 
"=""03:00"""; ;0;"1,454";;0;;0;; 
"=""03:15"""; ;0;"1,701";;0;;0;; 
"=""03:30"""; ;0;"1,389";;0;;0;; 
"=""03:45"""; ;0;"1,618";;0;;0;; 
"=""04:00"""; ;0;"1,332";;0;;0;; 
"=""04:15"""; ;0;"1,629";;0;;0;; 
"=""04:30"""; ;0;"1,132";;0;;0;; 
"=""04:45"""; ;0;"1,621";;0;;0;; 
"=""05:00"""; ;0;"1,363";;0;;0;; 
"=""05:15""";0;0;"2,622";"2,622";0;0;0;; 
"=""05:30""";0;0;"2,957";"2,957";0;0;0;; 
"=""05:45""";0;0;"2,281";"2,281";0;0;0;; 
"=""06:00""";0;0;"1,614";"1,614";0;0;0;; 
"=""06:15""";20;0;"1,278";"1,298";0;20;0;20; 
"=""06:30""";86;0;"1,950";"2,036";0;86;0;86; 
"=""06:45""";176;0;"1,476";"1,652";0;176;0;176; 
"=""07:00""";343;0;"1,214";"1,557";0;343;0;343; 
"=""07:15""";660;0;792;"1,452";0;660;0;660; 
"=""07:30""";694;0;718;"1,412";12;694;21;727; 
"=""07:45""";894;0;237;"1,130";15;894;228;"1,136"; 
"=""07:57"""; ; ; ; ; ; ; ; ;"2,940"
"=""08:00""";"1,019";0;255;"1,274";23;"1,019";256;"1,299"; 
"=""08:02"""; ; ; ; ; ; ; ; ;"3,000"
"=""08:15""";960;0;90;"1,050";55;960;545;"1,559"; 
"=""08:30""";906;0;84;990;82;906;714;"1,702"; 
"=""08:45""";857;0;50;907;53;857;973;"1,882"; 
"=""09:00""";835;0;68;903;60;835;"1,028";"1,923"; 
"=""09:15""";981;0;44;"1,025";48;981;966;"1,995"; 
"=""09:17"""; ; ; ; ; ; ; ; ;"2,850"
"=""09:22"""; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";"1,014";0;56;"1,070";54;"1,014";"1,115";"2,182"; 
"=""09:45""";727;0;35;762;30;727;"1,703";"2,460"; 
"=""09:47"""; ; ; ; ; ; ; ; ;"2,250"
"=""09:52"""; ; ; ; ; ; ; ; ;"3,000"
"=""10:00""";667;0;57;725;58;667;"1,542";"2,267"; 
"=""10:15""";727;0;81;808;83;727;"1,830";"2,640"; 
"=""10:17"""; ; ; ; ; ; ; ; ;660
"=""10:22"""; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";"1,353";0;229;"1,582";220;"1,353";568;"2,141"; 
"=""10:37"""; ; ; ; ; ; ; ; ;"2,820"
"=""10:42"""; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";982;0;202;"1,183";207;982;247;"1,435"; 
"=""10:47"""; ; ; ; ; ; ; ; ;0
"=""10:52"""; ; ; ; ; ; ; ; ;"3,000"
"=""10:57"""; ; ; ; ; ; ; ; ;"2,220"
"=""11:00""";883;0;188;"1,072";201;883;535;"1,619"; 
"=""11:02"""; ; ; ; ; ; ; ; ;240
"=""11:07"""; ; ; ; ; ; ; ; ;"2,070"
"=""11:12"""; ; ; ; ; ; ; ; ;"1,320"
"=""11:15""";820;0;174;994;299;820;"1,097";"2,216"; 
"=""11:17"""; ; ; ; ; ; ; ; ;"3,000"
"=""11:30""";787;0;76;863;113;787;642;"1,542"; 
"=""11:32"""; ; ; ; ; ; ; ; ;"2,100"
"=""11:37"""; ; ; ; ; ; ; ; ;"1,680"
"=""11:45""";785;0;107;892;284;785;741;"1,810"; 
"=""11:47"""; ; ; ; ; ; ; ; ;"1,620"
"=""11:52"""; ; ; ; ; ; ; ; ;"1,560"
"=""11:57"""; ; ; ; ; ; ; ; ;"1,500"
"=""12:00""";827;0;71;898;283;827;659;"1,770"; 
"=""12:02"""; ; ; ; ; ; ; ; ;"1,410"
"=""12:07"""; ; ; ; ; ; ; ; ;120
"=""12:12"""; ; ; ; ; ; ; ; ;"3,000"
"=""12:15""";846;0;38;885;331;846;565;"1,743"; 
"=""12:30""";784;0;17;801;41;784;93;917; 
"=""12:42"""; ; ; ; ; ; ; ; ;"2,310"
"=""12:45""";965;349;51;"1,366";57;965;0;"1,022"; 
"=""12:47"""; ; ; ; ; ; ; ; ;"3,000"
"=""12:57"""; ; ; ; ; ; ; ; ;"2,940"
"=""13:00""";"1,566";456;170;"2,191";175;"1,566";0;"1,741"; 
"=""13:02"""; ; ; ; ; ; ; ; ;"3,000"
"=""13:07"""; ; ; ; ; ; ; ; ;"2,970"
"=""13:12"""; ; ; ; ; ; ; ; ;"1,050"
"=""13:15""";"1,024";"2,089";93;"3,207";83;"1,024";0;"1,107"; 
"=""13:17"""; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"2,228";973;123;"3,324";118;"2,228";0;"2,346"; 
"=""13:45""";"1,190";"1,565";53;"2,808";63;"1,190";0;"1,252"; 
