 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Output value / Mean values [W]  
"=""14:00""";"1,545";"1,331";77;"2,953";76;"1,545";0;"1,621"; 
"=""14:15""";"2,304";641;44;"2,989";37;"2,304";0;"2,341"; 
"=""14:22"""; ; ; ; ; ; ; ; ;600
"=""14:27"""; ; ; ; ; ; ; ; ;"3,000"
"=""14:30""";"2,791";181;27;"2,999";35;"2,791";0;"2,826"; 
"=""14:45""";"2,255";876;25;"3,155";19;"2,255";0;"2,274"; 
"=""15:00""";"1,782";"1,159";38;"2,979";36;"1,782";0;"1,818"; 
"=""15:15""";"1,823";982;198;"3,003";71;"1,823";0;"1,894"; 
"=""15:30""";"2,169";0;31;"2,200";33;"2,169";48;"2,249"; 
"=""15:45""";"1,464";58;77;"1,599";77;"1,464";0;"1,541"; 
"=""16:00""";921;0;46;968;41;921;832;"1,795"; 
"=""16:15""";894;0;28;922;29;894;361;"1,284"; 
"=""16:22"""; ; ; ; ; ; ; ; ;"2,850"
"=""16:27"""; ; ; ; ; ; ; ; ;"3,000"
"=""16:30""";950;0;19;969;19;950;479;"1,448"; 
"=""16:42"""; ; ; ; ; ; ; ; ;"2,910"
"=""16:45""";811;0;20;831;16;811;425;"1,252"; 
"=""16:47"""; ; ; ; ; ; ; ; ;"3,000"
"=""17:00""";779;92;18;888;13;779;0;791; 
"=""17:15""";574;"1,249";24;"1,847";18;574;0;592; 
"=""17:30""";495;764;971;"2,230";15;495;0;510; 
"=""17:45""";282;0;"1,518";"1,800";0;282;0;282; 
"=""18:00""";223;0;"2,930";"3,153";0;223;1;224; 
"=""18:15""";122;1;"2,702";"2,825";0;122;0;122; 
"=""18:30""";72;0;"3,210";"3,282";0;72;1;73; 
"=""18:45""";26;0;"2,414";"2,440";0;26;0;26; 
"=""19:00""";0;0;"2,870";"2,870";0;0;0;0; 
"=""19:15""";0;0;"3,299";"3,067";0;0;1;; 
"=""19:30""";0;0;"4,418";"4,417";0;0;0;; 
"=""19:45"""; ;0;"3,582";;0;;0;; 
"=""20:00"""; ;0;"3,738";;0;;0;; 
"=""20:15"""; ;0;"4,468";;0;;0;; 
"=""20:30"""; ;0;"3,083";;0;;0;; 
"=""20:45"""; ;0;"2,968";;0;;0;; 
"=""21:00"""; ;0;"3,136";;0;;0;; 
"=""21:15"""; ;0;"3,259";;0;;0;; 
"=""21:30"""; ;0;"2,795";;0;;0;; 
"=""21:45"""; ;0;"2,881";;0;;0;; 
"=""22:00"""; ;0;"2,740";;0;;0;; 
"=""22:15"""; ;0;"2,746";;0;;0;; 
"=""22:30"""; ;0;"2,794";;0;;0;; 
"=""22:45"""; ;0;"2,380";;0;;0;; 
"=""23:00"""; ;0;"2,489";;0;;0;; 
"=""23:15"""; ;0;"2,456";;0;;0;; 
"=""23:30"""; ;0;"2,195";;0;;0;; 
"=""23:45"""; ;0;"2,302";;0;;0;; 
"=""00:00"""; ;0;"2,309";;0;;0;;"3,000"
