 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,043";;0;;0;; ; 
"=""00:30"""; ;0;"2,022";;0;;0;; ; 
"=""00:45"""; ;0;"1,809";;0;;0;; ; 
"=""01:00"""; ;0;"1,711";;0;;0;; ; 
"=""01:15"""; ;0;"1,827";;0;;0;; ; 
"=""01:30"""; ;0;"2,120";;0;;0;; ; 
"=""01:45"""; ;0;"1,690";;0;;0;; ; 
"=""02:00"""; ;0;"1,690";;0;;0;; ; 
"=""02:15"""; ;0;"1,696";;0;;0;; ; 
"=""02:30"""; ;0;"1,352";;0;;0;; ; 
"=""02:45"""; ;0;"1,673";;0;;0;; ; 
"=""03:00"""; ;0;"1,640";;0;;0;; ; 
"=""03:15"""; ;0;"1,528";;0;;0;; ; 
"=""03:30"""; ;0;"1,490";;0;;0;; ; 
"=""03:45"""; ;0;"1,548";;0;;0;; ; 
"=""04:00"""; ;0;"1,510";;0;;0;; ; 
"=""04:15"""; ;0;"1,582";;0;;0;; ; 
"=""04:30"""; ;0;"1,675";;0;;0;; ; 
"=""04:45"""; ;0;"1,606";;0;;0;; ; 
"=""05:00"""; ;0;"1,597";;0;;0;; ; 
"=""05:15""";0;0;"1,623";"1,623";0;0;0;; ; 
"=""05:30""";0;0;"1,889";"1,889";0;0;0;; ; 
"=""05:45""";0;0;"2,797";"2,797";0;0;0;; ; 
"=""06:00""";0;0;"1,308";"1,308";0;0;0;0; ; 
"=""06:15""";21;0;"1,150";"1,171";0;21;0;21; ; 
"=""06:30""";103;0;"1,538";"1,641";0;103;0;103; ; 
"=""06:45""";246;0;"1,018";"1,264";0;246;0;246; ; 
"=""07:00""";533;0;854;"1,387";0;533;0;533; ; 
"=""07:15""";638;0;854;"1,492";0;638;0;638; ; 
"=""07:30""";931;0;698;"1,629";12;931;31;973; ; 
"=""07:45""";"1,034";0;"1,229";"2,263";11;"1,034";22;"1,067"; ; 
"=""07:53"""; ; ; ; ; ; ; ; ; ;"2,670"
"=""07:58"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:00""";"1,134";0;318;"1,452";18;"1,134";216;"1,367"; ; 
"=""08:03"""; ; ; ; ; ; ; ; ; ;"1,590"
"=""08:08"""; ; ; ; ; ; ; ; ; ;"2,730"
"=""08:13"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:15""";"1,364";0;192;"1,556";40;"1,364";382;"1,786"; ; 
"=""08:30""";"1,124";0;"1,107";"2,231";40;"1,124";28;"1,191"; ; 
"=""08:45""";"1,100";0;524;"1,625";31;"1,100";30;"1,161"; ; 
"=""08:58"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""09:00""";943;0;347;"1,290";56;943;67;"1,066"; ; 
"=""09:03"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""09:08"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:15""";"1,187";0;468;"1,655";324;"1,187";626;"2,136"; ; 
"=""09:18"""; ; ; ; ; ; ; ; ; ;"2,040"
"=""09:23"""; ; ; ; ; ; ; ; ; ;570
"=""09:28"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";"1,265";0;445;"1,711";264;"1,265";481;"2,010"; ; 
"=""09:45""";"1,155";0;114;"1,269";110;"1,155";173;"1,438"; ; 
"=""09:58"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""10:00""";"1,102";131;86;"1,318";85;"1,102";0;"1,186"; ; 
"=""10:03"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";"1,184";0;87;"1,271";87;"1,184";366;"1,637"; ; 
"=""10:28"""; ; ; ; ; ; ; ; ; ;"2,010"
"=""10:30""";976;0;80;"1,056";81;976;957;"2,014"; ; 
"=""10:33"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";811;0;49;860;52;811;"1,990";"2,853"; ; 
"=""10:48"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""10:53"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:58"""; ; ; ; ; ; ; ; ; ;660
"=""11:00""";"1,004";0;141;"1,145";138;"1,004";"1,867";"3,008"; ; 
"=""11:03"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:15""";762;0;265;"1,027";262;762;"1,431";"2,455"; ; 
"=""11:18"""; ; ; ; ; ; ; ; ; ;"1,920"
"=""11:23"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:28"""; ; ; ; ; ; ; ; ; ;690
"=""11:30""";958;0;116;"1,074";210;958;"1,786";"2,954"; ; 
"=""11:33"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:43"""; ; ; ; ; ; ; ; ; ;"2,700"
"=""11:45""";"1,845";0;114;"1,960";131;"1,845";"1,005";"2,981"; ; 
"=""11:48"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:58"""; ; ; ; ; ; ; ; ; ;"2,730"
"=""12:00""";"2,438";262;273;"2,972";277;"2,438";0;"2,714"; ; 
"=""12:03"""; ; ; ; ; ; ; ; ; ;"1,320"
"=""12:08"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""12:13"""; ; ; ; ; ; ; ; ; ;"2,370"
"=""12:15""";"1,986";386;433;"2,805";434;"1,986";0;"2,420"; ; 
"=""12:18"""; ; ; ; ; ; ; ; ; ;"2,160"
"=""12:23"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:28"""; ; ; ; ; ; ; ; ; ;"2,280"
"=""12:30""";"1,901";625;251;"2,777";249;"1,901";0;"2,150"; ; 
"=""12:33"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";"2,571";926;108;"3,605";100;"2,571";0;"2,671"; ; 
"=""13:00""";"1,717";"1,801";56;"3,574";53;"1,717";0;"1,769"; ; 
"=""13:15""";"1,595";"1,790";"1,052";"4,437";29;"1,595";0;"1,624"; ; 
"=""13:18"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""13:23"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"1,360";944;"2,017";"4,321";35;"1,360";0;"1,395"; ; 
"=""13:45""";"1,177";873;"1,627";"3,677";40;"1,177";0;"1,217"; ; 
"=""14:00""";"1,161";0;"2,463";"3,623";0;"1,161";2;"1,162"; ; 
"=""14:15""";959;1;"2,533";"3,493";0;959;0;959; ; 
"=""14:30""";950;1;"2,385";"3,336";0;950;0;950; ; 
"=""14:45""";970;0;"2,430";"3,400";1;970;0;971; ; 
"=""15:00""";"1,212";2;"2,184";"3,398";0;"1,212";0;"1,212"; ; 
"=""15:15""";"1,333";0;"2,999";"4,332";0;"1,333";2;"1,335"; ; 
"=""15:30""";"1,189";1;"1,445";"2,635";19;"1,189";0;"1,208"; ; 
"=""15:45""";986;0;"1,706";"2,693";20;986;14;"1,021"; ; 
"=""16:00""";"1,792";0;783;"2,575";19;"1,792";156;"1,967"; ; 
"=""16:15""";"1,607";0;69;"1,676";22;"1,607";67;"1,695"; ; 
"=""16:30""";"1,278";0;290;"1,568";33;"1,278";41;"1,352"; ; 
