 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,985";;0;;0;; ; 
"=""00:30"""; ;0;"2,090";;0;;0;; ; 
"=""00:45"""; ;0;"1,866";;0;;0;; ; 
"=""01:00"""; ;0;"1,868";;0;;0;; ; 
"=""01:15"""; ;0;"1,992";;0;;0;; ; 
"=""01:30"""; ;0;"1,773";;0;;0;; ; 
"=""01:45"""; ;0;"1,761";;0;;0;; ; 
"=""02:00"""; ;0;"1,615";;0;;0;; ; 
"=""02:15"""; ;0;"1,833";;0;;0;; ; 
"=""02:30"""; ;0;"1,749";;0;;0;; ; 
"=""02:45"""; ;0;"1,563";;0;;0;; ; 
"=""03:00"""; ;0;"1,676";;0;;0;; ; 
"=""03:15"""; ;0;"1,617";;0;;0;; ; 
"=""03:30"""; ;0;"1,686";;0;;0;; ; 
"=""03:45"""; ;0;"1,556";;0;;0;; ; 
"=""04:00"""; ;0;"1,743";;0;;0;; ; 
"=""04:15"""; ;0;"1,711";;0;;0;; ; 
"=""04:30"""; ;0;"1,562";;0;;0;; ; 
"=""04:45"""; ;0;"1,725";;0;;0;; ; 
"=""05:00"""; ;0;"2,015";;0;;0;; ; 
"=""05:15"""; ;0;"1,943";;0;;0;; ; 
"=""05:30"""; ;0;"2,531";;0;;0;; ; 
"=""05:45""";0;0;"1,527";"1,527";0;0;0;; ; 
"=""06:00""";0;0;"1,481";"1,481";0;0;0;; ; 
"=""06:15""";0;0;"1,592";"1,592";0;0;0;0; ; 
"=""06:30""";16;0;"1,434";"1,450";0;16;0;16; ; 
"=""06:45""";32;0;"1,462";"1,494";0;32;0;32; ; 
"=""07:00""";34;0;"1,133";"1,167";0;34;0;34; ; 
"=""07:15""";90;0;"1,246";"1,336";0;90;0;90; ; 
"=""07:30""";146;0;"1,690";"1,836";0;146;0;146; ; 
"=""07:45""";262;0;596;858;0;262;0;262; ; 
"=""08:00""";319;0;672;991;0;319;0;319; ; 
"=""08:15""";356;0;809;"1,165";0;356;0;356; ; 
"=""08:30""";418;0;"1,065";"1,483";0;418;0;418; ; 
"=""08:45""";535;0;345;880;0;535;0;535; ; 
"=""09:00""";745;0;246;991;9;745;1;754; ; 
"=""09:15""";920;0;39;959;41;920;336;"1,297"; ; 
"=""09:30""";992;0;108;"1,100";34;992;154;"1,180"; ; 
"=""09:45""";889;0;54;943;24;889;79;992; ; 
"=""10:00""";946;0;116;"1,062";18;946;296;"1,259"; ; 
"=""10:15""";987;0;445;"1,432";10;987;168;"1,165"; ; 
"=""10:25"""; ; ; ; ; ; ; ; ; ;690
"=""10:30""";"1,244";0;569;"1,813";33;"1,244";70;"1,347"; ; 
"=""10:30"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";"1,478";5;633;"2,116";136;"1,478";0;"1,614"; ; 
