 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,188";;0;;0;; ; 
"=""00:30"""; ;0;"1,856";;0;;2;; ; 
"=""00:45"""; ;0;"2,344";;0;;1;; ; 
"=""01:00"""; ;1;"1,796";;0;;0;; ; 
"=""01:15"""; ;0;"2,004";;0;;1;; ; 
"=""01:30"""; ;0;"1,702";;0;;1;; ; 
"=""01:45"""; ;0;"2,036";;0;;1;; ; 
"=""02:00"""; ;1;"1,908";;0;;0;; ; 
"=""02:15"""; ;0;"1,815";;0;;3;; ; 
"=""02:30"""; ;0;"1,887";;0;;1;; ; 
"=""02:45"""; ;0;"1,980";;0;;3;; ; 
"=""03:00"""; ;0;"1,471";;0;;0;; ; 
"=""03:15"""; ;1;"1,594";;0;;0;; ; 
"=""03:30"""; ;0;"1,627";;0;;1;; ; 
"=""03:45"""; ;0;"1,700";;0;;3;; ; 
"=""04:00"""; ;1;"1,460";;0;;0;; ; 
"=""04:15"""; ;0;"1,628";;0;;2;; ; 
"=""04:30"""; ;1;"1,281";;0;;0;; ; 
"=""04:45"""; ;1;"1,250";;0;;0;; ; 
"=""05:00"""; ;0;"1,660";;0;;1;; ; 
"=""05:15"""; ;2;"2,089";;0;;0;; ; 
"=""05:30""";0;1;"2,373";"2,374";0;0;0;; ; 
"=""05:45""";0;0;"2,495";"2,492";0;0;3;; ; 
"=""06:00""";0;1;"1,321";"1,322";0;0;0;0; ; 
"=""06:15""";14;0;"1,307";"1,320";0;14;0;14; ; 
"=""06:30""";86;0;"2,472";"2,557";0;86;3;88; ; 
"=""06:45""";126;0;"1,315";"1,441";0;126;3;129; ; 
"=""07:00""";143;3;"1,247";"1,392";0;143;0;143; ; 
"=""07:15""";476;1;873;"1,349";5;476;0;481; ; 
"=""07:30""";709;0;681;"1,390";7;709;77;793; ; 
"=""07:44"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""07:45""";721;0;304;"1,025";17;721;215;953; ; 
"=""07:49"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""07:54"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:00""";987;0;278;"1,265";29;987;249;"1,265"; ; 
"=""08:15""";"1,038";0;161;"1,199";21;"1,038";350;"1,409"; ; 
"=""08:30""";"1,067";0;43;"1,110";26;"1,067";568;"1,660"; ; 
"=""08:45""";684;0;35;719;29;684;"1,057";"1,770"; ; 
"=""09:00""";721;0;19;740;18;721;"1,344";"2,083"; ; 
"=""09:15""";733;0;22;754;24;733;"1,546";"2,302"; ; 
"=""09:19"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""09:24"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";788;0;57;845;57;788;"1,442";"2,287"; ; 
"=""09:45""";"1,492";0;149;"1,641";151;"1,492";529;"2,172"; ; 
"=""09:54"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""09:59"""; ; ; ; ; ; ; ; ; ;990
"=""10:00""";"1,120";0;169;"1,289";173;"1,120";"1,274";"2,566"; ; 
"=""10:04"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";"1,105";0;103;"1,209";103;"1,105";964;"2,172"; ; 
"=""10:30""";860;0;101;961;112;860;610;"1,582"; ; 
"=""10:34"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""10:39"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""10:44"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";926;0;141;"1,067";203;926;888;"2,017"; ; 
"=""10:59"""; ; ; ; ; ; ; ; ; ;"2,250"
"=""11:00""";949;0;26;975;25;949;411;"1,385"; ; 
"=""11:04"""; ; ; ; ; ; ; ; ; ;"1,680"
"=""11:09"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""11:14"""; ; ; ; ; ; ; ; ; ;"2,580"
"=""11:15""";894;0;36;930;229;894;773;"1,896"; ; 
"=""11:19"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""11:24"""; ; ; ; ; ; ; ; ; ;"1,530"
"=""11:30""";910;0;29;939;258;910;721;"1,889"; ; 
"=""11:34"""; ; ; ; ; ; ; ; ; ;"1,560"
"=""11:39"""; ; ; ; ; ; ; ; ; ;"1,530"
"=""11:44"""; ; ; ; ; ; ; ; ; ;"1,500"
"=""11:45""";966;0;2;969;301;966;634;"1,902"; ; 
"=""11:49"""; ; ; ; ; ; ; ; ; ;"2,400"
"=""11:54"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:59"""; ; ; ; ; ; ; ; ; ;"1,200"
"=""12:00""";775;0;75;850;289;775;467;"1,530"; ; 
"=""12:04"""; ; ; ; ; ; ; ; ; ;"2,040"
"=""12:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:14"""; ; ; ; ; ; ; ; ; ;"1,980"
"=""12:15""";"1,122";0;159;"1,281";252;"1,122";245;"1,620"; ; 
"=""12:19"""; ; ; ; ; ; ; ; ; ;"2,400"
"=""12:24"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";853;0;25;878;102;853;327;"1,282"; ; 
"=""12:34"""; ; ; ; ; ; ; ; ; ;"1,650"
"=""12:39"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";971;0;40;"1,010";164;971;295;"1,429"; ; 
"=""12:49"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""12:54"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:00""";"1,957";0;232;"2,189";296;"1,957";197;"2,450"; ; 
"=""13:04"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""13:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:14"""; ; ; ; ; ; ; ; ; ;"2,040"
"=""13:15""";"2,425";695;130;"3,250";119;"2,425";0;"2,544"; ; 
"=""13:19"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""13:24"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"1,918";929;136;"2,982";123;"1,918";0;"2,041"; ; 
"=""13:34"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""13:39"""; ; ; ; ; ; ; ; ; ;660
"=""13:44"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""13:45""";960;"2,388";98;"3,446";97;960;0;"1,057"; ; 
"=""13:49"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""13:54"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:59"""; ; ; ; ; ; ; ; ; ;"2,520"
"=""14:00""";"1,694";"1,534";133;"3,361";132;"1,694";0;"1,826"; ; 
"=""14:04"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:15""";"1,409";"1,441";129;"2,979";126;"1,409";0;"1,535"; ; 
"=""14:30""";"1,754";838;75;"2,667";84;"1,754";0;"1,838"; ; 
"=""14:45""";"1,521";"1,323";"1,073";"3,917";52;"1,521";0;"1,573"; ; 
"=""15:00""";"1,203";816;949;"2,967";61;"1,203";0;"1,264"; ; 
"=""15:09"""; ; ; ; ; ; ; ; ; ;"2,280"
"=""15:14"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""15:15""";838;243;"1,766";"2,847";44;838;0;882; ; 
"=""15:30""";"1,667";0;64;"1,731";53;"1,667";228;"1,948"; ; 
"=""15:45""";925;114;285;"1,325";65;925;0;990; ; 
"=""16:00""";945;0;38;982;29;945;246;"1,219"; ; 
"=""16:15""";939;0;21;960;19;939;439;"1,397"; ; 
"=""16:30""";824;0;24;847;22;824;191;"1,036"; ; 
"=""16:45""";690;61;20;771;14;690;0;704; ; 
"=""17:00""";509;667;224;"1,401";27;509;0;536; ; 
"=""17:15""";545;0;"1,528";"2,073";0;545;0;545; ; 
"=""17:30""";422;2;"1,415";"1,839";0;422;0;422; ; 
"=""17:45""";422;0;"2,058";"2,479";0;422;0;422; ; 
"=""18:00""";306;0;"1,372";"1,677";0;306;1;307; ; 
"=""18:15""";92;1;"1,401";"1,493";0;92;0;92; ; 
"=""18:30""";14;0;"1,463";"1,478";0;14;3;17; ; 
"=""18:45""";1;0;"1,352";"1,353";0;1;1;2; ; 
"=""19:00""";0;0;"1,861";"1,859";0;0;2;; ; 
"=""19:15""";0;0;"2,745";"2,744";0;0;1;; ; 
"=""19:30""";0;0;"3,346";"3,346";0;0;0;; ; 
"=""19:45""";0;0;"2,250";"2,210";0;0;1;; ; 
"=""20:00""";0;0;"2,682";"2,679";0;0;2;; ; 
"=""20:15""";0;0;"2,338";"2,026";0;0;1;; ; 
"=""20:30"""; ;1;"4,038";;0;;0;; ; 
"=""20:45"""; ;0;"3,163";;0;;1;; ; 
"=""21:00"""; ;0;"2,991";;0;;0;; ; 
"=""21:15"""; ;0;"2,243";;0;;1;; ; 
"=""21:30"""; ;0;"2,923";;0;;1;; ; 
"=""21:45"""; ;1;"2,175";;0;;0;; ; 
"=""22:00"""; ;0;"2,165";;0;;1;; ; 
"=""22:15"""; ;1;"2,121";;0;;0;; ; 
"=""22:30"""; ;0;"1,926";;0;;0;; ; 
"=""22:45"""; ;1;"2,104";;0;;0;; ; 
"=""23:00"""; ;0;"2,640";;0;;1;; ; 
"=""23:15"""; ;1;"2,363";;0;;0;; ; 
"=""23:30"""; ;1;"3,200";;0;;0;; ; 
"=""23:45"""; ;0;"3,157";;0;;0;; ; 
"=""00:00"""; ;0;"2,324";;0;;0;;300;"3,000"
