 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,057";;0;;1;; ; 
"=""00:30"""; ;0;"1,997";;0;;1;; ; 
"=""00:45"""; ;0;"2,154";;0;;0;; ; 
"=""01:00"""; ;0;"1,881";;0;;2;; ; 
"=""01:15"""; ;0;"1,880";;0;;1;; ; 
"=""01:30"""; ;0;"1,656";;0;;0;; ; 
"=""01:45"""; ;0;"1,901";;0;;1;; ; 
"=""02:00"""; ;0;"1,793";;0;;0;; ; 
"=""02:15"""; ;2;"1,634";;0;;0;; ; 
"=""02:30"""; ;1;"1,689";;0;;0;; ; 
"=""02:45"""; ;0;"1,518";;0;;1;; ; 
"=""03:00"""; ;0;"1,546";;0;;1;; ; 
"=""03:15"""; ;0;"1,366";;0;;1;; ; 
"=""03:30"""; ;0;"1,376";;0;;0;; ; 
"=""03:45"""; ;0;"1,528";;0;;0;; ; 
"=""04:00"""; ;0;"1,365";;0;;0;; ; 
"=""04:15"""; ;0;"1,285";;0;;2;; ; 
"=""04:30"""; ;3;"1,812";;0;;0;; ; 
"=""04:45"""; ;0;"1,548";;0;;2;; ; 
"=""05:00"""; ;0;"2,112";;0;;0;; ; 
"=""05:15""";0;0;"1,740";"1,739";0;0;1;; ; 
"=""05:30""";0;0;"2,065";"2,064";0;0;1;; ; 
"=""05:45""";0;0;"1,311";"1,310";0;0;1;; ; 
"=""06:00""";0;0;"1,480";"1,478";0;0;2;0; ; 
"=""06:15""";25;0;995;"1,020";0;25;2;26; ; 
"=""06:30""";90;2;"1,400";"1,493";0;90;0;90; ; 
