 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;2;"2,184";;0;;0;; ; 
"=""00:30"""; ;0;"1,639";;0;;2;; ; 
"=""00:45"""; ;4;"1,793";;0;;0;; ; 
"=""01:00"""; ;0;"1,910";;0;;3;; ; 
"=""01:15"""; ;1;"1,397";;0;;0;; ; 
"=""01:30"""; ;0;"1,753";;0;;1;; ; 
"=""01:45"""; ;0;"1,185";;0;;0;; ; 
"=""02:00"""; ;0;"1,446";;0;;2;; ; 
"=""02:15"""; ;0;"1,784";;0;;1;; ; 
"=""02:30"""; ;0;"1,351";;0;;2;; ; 
"=""02:45"""; ;0;"1,232";;0;;2;; ; 
"=""03:00"""; ;0;"1,361";;0;;1;; ; 
"=""03:15"""; ;0;"1,670";;0;;1;; ; 
"=""03:30"""; ;0;"1,338";;0;;0;; ; 
"=""03:45"""; ;0;"1,760";;0;;0;; ; 
"=""04:00"""; ;1;"1,085";;0;;0;; ; 
"=""04:15"""; ;0;"1,588";;0;;0;; ; 
"=""04:30"""; ;0;"1,218";;0;;0;; ; 
"=""04:45"""; ;0;"1,520";;0;;2;; ; 
"=""05:00"""; ;0;"1,242";;0;;1;; ; 
"=""05:15"""; ;0;"2,229";;0;;2;; ; 
"=""05:30"""; ;0;"3,020";;0;;1;; ; 
"=""05:45""";0;0;"2,112";"2,111";0;0;1;; ; 
"=""06:00""";0;1;"1,930";"1,931";0;0;0;; ; 
"=""06:15""";0;0;"1,534";"1,533";0;0;1;; ; 
"=""06:30""";0;0;"1,893";"1,890";0;0;3;0; ; 
"=""06:45""";44;0;"1,595";"1,640";0;44;2;46; ; 
"=""07:00""";135;2;942;"1,078";0;135;0;135; ; 
"=""07:15""";218;0;763;981;0;218;0;218; ; 
"=""07:30""";327;1;611;939;0;327;0;327; ; 
"=""07:45""";406;0;661;"1,067";0;406;0;406; ; 
