 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,415";;0;;0;; ; 
"=""00:30"""; ;0;"2,217";;0;;3;; ; 
"=""00:45"""; ;1;"2,355";;0;;0;; ; 
"=""01:00"""; ;1;"2,137";;0;;0;; ; 
"=""01:15"""; ;0;"2,225";;0;;1;; ; 
"=""01:30"""; ;0;"2,010";;0;;2;; ; 
"=""01:45"""; ;0;"1,993";;0;;2;; ; 
"=""02:00"""; ;0;"1,899";;0;;0;; ; 
"=""02:15"""; ;0;"1,993";;0;;1;; ; 
"=""02:30"""; ;1;"1,788";;0;;0;; ; 
"=""02:45"""; ;0;"1,794";;0;;2;; ; 
"=""03:00"""; ;0;"1,956";;0;;1;; ; 
"=""03:15"""; ;0;"1,474";;0;;0;; ; 
"=""03:30"""; ;0;"1,736";;0;;0;; ; 
"=""03:45"""; ;0;"1,683";;0;;2;; ; 
"=""04:00"""; ;0;"1,555";;0;;1;; ; 
"=""04:15"""; ;1;"1,836";;0;;0;; ; 
"=""04:30"""; ;0;"1,755";;0;;1;; ; 
"=""04:45"""; ;0;"1,973";;0;;1;; ; 
"=""05:00"""; ;0;"2,417";;0;;1;; ; 
"=""05:15"""; ;0;"2,207";;0;;0;; ; 
"=""05:30"""; ;0;"2,094";;0;;3;; ; 
"=""05:45""";0;0;"1,570";"1,568";0;0;2;; ; 
"=""06:00""";0;1;"2,474";"2,475";0;0;0;; ; 
"=""06:15""";0;0;"1,776";"1,776";0;0;0;0; ; 
"=""06:30""";25;0;"1,566";"1,591";0;25;1;26; ; 
"=""06:45""";116;0;"1,224";"1,340";0;116;0;116; ; 
"=""07:00""";214;0;"1,376";"1,590";0;214;1;214; ; 
"=""07:15""";299;1;"1,134";"1,434";0;299;0;299; ; 
"=""07:30""";489;0;452;940;0;489;2;490; ; 
"=""07:45""";577;0;396;974;10;577;11;598; ; 
"=""08:00""";"1,085";0;721;"1,806";19;"1,085";262;"1,366"; ; 
"=""08:15""";"1,133";0;325;"1,458";81;"1,133";528;"1,741"; ; 
"=""08:30""";"1,013";0;452;"1,464";39;"1,013";203;"1,255"; ; 
"=""08:45""";841;0;137;978;14;841;124;978; ; 
"=""09:00""";"1,023";0;79;"1,102";58;"1,023";215;"1,296"; ; 
"=""09:15""";939;0;20;959;18;939;451;"1,407"; ; 
"=""09:30""";868;0;26;894;21;868;546;"1,434"; ; 
"=""09:45""";948;0;37;985;37;948;364;"1,350"; ; 
"=""10:00""";839;0;46;884;37;839;734;"1,609"; ; 
"=""10:15""";"1,042";0;37;"1,079";45;"1,042";608;"1,695"; ; 
"=""10:30""";833;0;28;860;23;833;"1,026";"1,881"; ; 
"=""10:45""";"1,375";0;32;"1,407";28;"1,375";96;"1,499"; ; 
"=""11:00""";"1,366";0;25;"1,391";27;"1,366";398;"1,791"; ; 
"=""11:06"""; ; ; ; ; ; ; ; ; ;"1,980"
"=""11:11"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:15""";"1,204";0;26;"1,229";25;"1,204";610;"1,839"; ; 
"=""11:30""";"1,291";0;23;"1,314";20;"1,291";723;"2,034"; ; 
"=""11:31"""; ; ; ; ; ; ; ; ; ;780
"=""11:36"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:41"""; ; ; ; ; ; ; ; ; ;"2,550"
"=""11:45""";"1,338";0;79;"1,417";95;"1,338";"1,124";"2,557"; ; 
"=""11:46"""; ; ; ; ; ; ; ; ; ;"2,880"
