 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,924";;0;;0;; ; 
"=""00:30"""; ;0;"2,201";;0;;0;; ; 
"=""00:45"""; ;0;"1,823";;0;;0;; ; 
"=""01:00"""; ;0;"2,042";;0;;0;; ; 
"=""01:15"""; ;0;"1,841";;0;;0;; ; 
"=""01:30"""; ;0;"1,469";;0;;0;; ; 
"=""01:45"""; ;0;"1,849";;0;;0;; ; 
"=""02:00"""; ;0;"1,652";;0;;0;; ; 
"=""02:15"""; ;0;"1,902";;0;;0;; ; 
"=""02:30"""; ;0;"1,517";;0;;0;; ; 
"=""02:45"""; ;0;"1,282";;0;;0;; ; 
"=""03:00"""; ;0;"1,724";;0;;0;; ; 
"=""03:15"""; ;0;"1,725";;0;;0;; ; 
"=""03:30"""; ;0;"1,220";;0;;0;; ; 
"=""03:45"""; ;0;"1,180";;0;;0;; ; 
"=""04:00"""; ;0;"1,799";;0;;0;; ; 
"=""04:15"""; ;0;"1,616";;0;;0;; ; 
"=""04:30"""; ;0;"1,052";;0;;0;; ; 
"=""04:45"""; ;0;"1,824";;0;;0;; ; 
"=""05:00"""; ;0;"1,455";;0;;0;; ; 
"=""05:15""";0;0;"1,723";"1,723";0;0;0;; ; 
"=""05:30""";0;0;"3,054";"3,054";0;0;0;; ; 
"=""05:45""";0;0;"1,545";"1,545";0;0;0;; ; 
"=""06:00""";0;0;"1,202";"1,202";0;0;0;; ; 
"=""06:15""";0;0;"1,285";"1,285";0;0;0;0; ; 
"=""06:30""";17;0;"2,083";"2,100";0;17;0;17; ; 
"=""06:45""";89;0;"1,267";"1,356";0;89;0;89; ; 
"=""07:00""";154;0;"1,335";"1,489";0;154;0;154; ; 
"=""07:15""";241;0;"1,001";"1,242";0;241;0;241; ; 
"=""07:30""";298;0;"1,397";"1,695";0;298;0;298; ; 
"=""07:45""";387;0;743;"1,130";0;387;0;387; ; 
"=""08:00""";439;0;573;"1,012";0;439;0;439; ; 
"=""08:15""";689;0;"1,193";"1,882";0;689;0;689; ; 
"=""08:30""";685;0;"1,124";"1,809";0;685;0;685; ; 
"=""08:45""";722;0;438;"1,160";0;722;0;722; ; 
"=""09:00""";750;0;523;"1,273";9;750;4;763; ; 
"=""09:15""";"1,137";0;238;"1,375";45;"1,137";62;"1,244"; ; 
"=""09:30""";"1,063";0;778;"1,841";26;"1,063";115;"1,203"; ; 
"=""09:45""";"1,051";0;746;"1,797";34;"1,051";40;"1,125"; ; 
"=""10:00""";"1,158";0;970;"2,128";9;"1,158";25;"1,192"; ; 
"=""10:15""";"1,056";0;705;"1,761";5;"1,056";74;"1,135"; ; 
"=""10:30""";696;0;748;"1,444";4;696;76;777; ; 
"=""10:45""";879;0;64;943;15;879;479;"1,373"; ; 
"=""11:00""";864;0;63;927;19;864;635;"1,518"; ; 
"=""11:15""";974;0;45;"1,019";24;974;482;"1,480"; ; 
"=""11:30""";971;0;20;992;24;971;870;"1,865"; ; 
"=""11:45""";923;0;22;946;19;923;674;"1,616"; ; 
"=""12:00""";"1,432";4;36;"1,471";33;"1,432";0;"1,465"; ; 
"=""12:15""";"1,449";296;31;"1,775";37;"1,449";0;"1,485"; ; 
"=""12:18"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""12:23"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";"1,434";390;38;"1,862";33;"1,434";0;"1,467"; ; 
"=""12:45""";"1,130";773;23;"1,926";32;"1,130";0;"1,162"; ; 
"=""13:00""";"1,619";79;51;"1,749";38;"1,619";0;"1,657"; ; 
"=""13:15""";"1,364";0;423;"1,787";40;"1,364";43;"1,446"; ; 
"=""13:18"""; ; ; ; ; ; ; ; ; ;"1,590"
"=""13:23"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"1,456";0;718;"2,174";43;"1,456";67;"1,566"; ; 
"=""13:45""";"1,035";0;"1,741";"2,776";0;"1,035";2;"1,037"; ; 
"=""14:00""";"2,070";0;403;"2,473";84;"2,070";189;"2,343"; ; 
"=""14:15""";"1,327";0;"1,035";"2,362";33;"1,327";40;"1,399"; ; 
"=""14:30""";814;1;"1,884";"2,699";0;814;0;814; ; 
"=""14:45""";653;1;"1,766";"2,420";0;653;0;653; ; 
"=""15:00""";"1,188";0;"1,986";"3,174";24;"1,188";112;"1,324"; ; 
"=""15:15""";84;0;"2,683";"2,767";0;84;0;84; ; 
"=""15:30""";341;0;"2,605";"2,946";0;341;1;341; ; 
"=""15:45""";803;0;516;"1,319";3;803;1;807; ; 
"=""16:00""";"1,183";0;45;"1,227";38;"1,183";183;"1,404"; ; 
"=""16:15""";809;58;843;"1,710";0;809;0;809; ; 
"=""16:30""";674;2;"1,115";"1,790";0;674;0;674; ; 
"=""16:45""";512;0;"1,139";"1,651";0;512;0;512; ; 
"=""17:00""";394;0;"1,563";"1,957";0;394;1;395; ; 
"=""17:15""";348;1;"3,173";"3,522";0;348;0;348; ; 
"=""17:30""";315;0;"3,360";"3,675";0;315;0;315; ; 
"=""17:45""";282;0;"2,552";"2,833";0;282;2;283; ; 
"=""18:00""";202;0;"2,623";"2,826";0;202;1;203; ; 
"=""18:15""";138;0;"2,432";"2,571";0;138;1;139; ; 
"=""18:30""";82;2;"2,553";"2,637";0;82;0;82; ; 
"=""18:45""";28;0;"2,640";"2,668";0;28;2;30; ; 
"=""19:00""";0;0;"2,888";"2,887";0;0;0;; ; 
"=""19:15""";0;0;"3,363";"3,361";0;0;3;; ; 
"=""19:30""";0;0;"3,011";"3,011";0;0;0;; ; 
"=""19:45""";0;0;"2,919";"2,778";0;0;3;; ; 
"=""20:00""";0;1;"2,756";"2,756";0;0;0;; ; 
"=""20:15""";0;0;"3,129";"2,768";0;0;1;; ; 
"=""20:30"""; ;0;"3,373";;0;;0;; ; 
"=""20:45"""; ;2;"2,421";;0;;0;; ; 
"=""21:00"""; ;0;"2,128";;0;;1;; ; 
"=""21:15"""; ;2;"2,311";;0;;0;; ; 
"=""21:30"""; ;0;"2,412";;0;;0;; ; 
"=""21:45"""; ;1;"2,261";;0;;0;; ; 
"=""22:00"""; ;1;"3,812";;0;;0;; ; 
"=""22:15"""; ;0;"2,931";;0;;0;; ; 
"=""22:30"""; ;0;"2,281";;0;;1;; ; 
"=""22:45"""; ;0;"2,846";;0;;0;; ; 
"=""23:00"""; ;0;"2,164";;0;;2;; ; 
"=""23:15"""; ;1;"2,589";;0;;0;; ; 
"=""23:30"""; ;1;"2,418";;0;;0;; ; 
"=""23:45"""; ;0;"1,830";;0;;1;; ; 
"=""00:00"""; ;1;"2,043";;0;;0;;300;"3,000"
