 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,342";;0;;0;; ; 
"=""00:30"""; ;0;"1,426";;0;;0;; ; 
"=""00:45"""; ;0;"1,568";;0;;0;; ; 
"=""01:00"""; ;0;"1,516";;0;;0;; ; 
"=""01:15"""; ;0;"1,216";;0;;0;; ; 
"=""01:30"""; ;0;"1,405";;0;;0;; ; 
"=""01:45"""; ;0;"1,422";;0;;0;; ; 
"=""02:00"""; ;0;"1,230";;0;;0;; ; 
"=""02:15"""; ;0;"1,092";;0;;0;; ; 
"=""02:30"""; ;0;"1,516";;0;;0;; ; 
"=""02:45"""; ;0;"1,110";;0;;0;; ; 
"=""03:00"""; ;0;"1,352";;0;;0;; ; 
"=""03:15"""; ;0;"1,132";;0;;0;; ; 
"=""03:30"""; ;0;"1,366";;0;;0;; ; 
"=""03:45"""; ;0;898;;0;;0;; ; 
"=""04:00"""; ;0;"1,484";;0;;0;; ; 
"=""04:15"""; ;0;882;;0;;0;; ; 
"=""04:30"""; ;0;"1,421";;0;;0;; ; 
"=""04:45"""; ;0;"1,193";;0;;0;; ; 
"=""05:00""";0;0;985;985;0;0;0;; ; 
"=""05:15""";0;0;"1,253";"1,253";0;0;0;; ; 
"=""05:30""";0;0;"1,838";"1,838";0;0;0;; ; 
"=""05:45""";0;0;"2,460";"2,460";0;0;0;; ; 
"=""06:00""";0;0;"1,616";"1,616";0;0;0;; ; 
"=""06:15""";0;0;930;930;0;0;0;0; ; 
"=""06:30""";62;0;"1,925";"1,987";0;62;0;62; ; 
"=""06:45""";158;0;"1,063";"1,221";0;158;0;158; ; 
"=""07:00""";297;0;993;"1,290";0;297;0;297; ; 
"=""07:15""";429;0;781;"1,210";0;429;0;429; ; 
"=""07:30""";603;0;962;"1,565";0;603;0;603; ; 
"=""07:45""";801;0;"1,447";"2,248";0;801;0;801; ; 
"=""08:00""";"1,076";0;741;"1,816";27;"1,076";8;"1,110"; ; 
"=""08:15""";"1,123";0;442;"1,565";58;"1,123";145;"1,326"; ; 
"=""08:30""";"1,058";0;207;"1,265";88;"1,058";315;"1,461"; ; 
"=""08:45""";921;0;23;943;20;921;700;"1,640"; ; 
"=""09:00""";"1,020";0;83;"1,103";81;"1,020";575;"1,677"; ; 
"=""09:15""";839;0;22;861;22;839;957;"1,818"; ; 
