 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"3,416";;0;;2;; ; 
"=""00:30"""; ;1;"2,087";;0;;0;; ; 
"=""00:45"""; ;0;"2,107";;0;;2;; ; 
"=""01:00"""; ;0;"2,241";;0;;1;; ; 
"=""01:15"""; ;0;"1,625";;0;;1;; ; 
"=""01:30"""; ;0;"1,737";;0;;2;; ; 
"=""01:45"""; ;0;"1,750";;0;;1;; ; 
"=""02:00"""; ;1;"1,621";;0;;0;; ; 
"=""02:15"""; ;0;"1,770";;0;;2;; ; 
"=""02:30"""; ;0;"1,460";;0;;1;; ; 
"=""02:45"""; ;1;"1,587";;0;;0;; ; 
"=""03:00"""; ;0;"1,260";;0;;1;; ; 
"=""03:15"""; ;0;"1,539";;0;;2;; ; 
"=""03:30"""; ;1;"1,439";;0;;0;; ; 
"=""03:45"""; ;0;"1,521";;0;;0;; ; 
"=""04:00"""; ;1;"1,758";;0;;0;; ; 
"=""04:15"""; ;0;"1,259";;0;;1;; ; 
"=""04:30"""; ;0;"1,442";;0;;0;; ; 
"=""04:45"""; ;0;"1,297";;0;;2;; ; 
"=""05:00""";0;0;"1,682";"1,680";0;0;2;; ; 
"=""05:15""";0;2;"1,309";"1,311";0;0;0;; ; 
"=""05:30""";0;0;"1,977";"1,975";0;0;2;; ; 
"=""05:45""";0;0;"1,841";"1,840";0;0;2;; ; 
"=""06:00""";0;1;"1,611";"1,612";0;0;0;0; ; 
"=""06:15""";66;0;"1,340";"1,406";0;66;2;67; ; 
"=""06:30""";177;0;"1,472";"1,650";0;177;0;177; ; 
"=""06:45""";354;0;"1,983";"2,337";0;354;0;354; ; 
"=""07:00""";499;0;"1,325";"1,824";2;499;1;502; ; 
"=""07:15""";767;5;986;"1,757";9;767;0;775; ; 
"=""07:30""";776;0;931;"1,707";14;776;63;853; ; 
"=""07:45""";"1,015";0;747;"1,762";7;"1,015";15;"1,037"; ; 
"=""08:00""";"1,251";0;461;"1,712";23;"1,251";91;"1,365"; ; 
"=""08:15""";"1,465";0;239;"1,704";26;"1,465";215;"1,706"; ; 
"=""08:30""";"1,498";0;328;"1,826";67;"1,498";309;"1,873"; ; 
"=""08:45""";997;0;101;"1,098";40;997;796;"1,833"; ; 
"=""09:00""";"1,153";0;46;"1,199";43;"1,153";721;"1,916"; ; 
"=""09:15""";704;0;23;727;24;704;"1,712";"2,439"; ; 
"=""09:30""";"1,447";0;172;"1,619";173;"1,447";541;"2,161"; ; 
"=""09:32"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""09:37"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:45""";"1,110";0;138;"1,248";130;"1,110";97;"1,337"; ; 
"=""09:57"""; ; ; ; ; ; ; ; ; ;"2,730"
"=""10:00""";981;165;83;"1,229";79;981;0;"1,060"; ; 
"=""10:02"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";"1,341";0;243;"1,584";252;"1,341";467;"2,060"; ; 
"=""10:30""";885;0;92;977;86;885;690;"1,661"; ; 
