 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;2;"2,044";;0;;0;; ; 
"=""00:30"""; ;0;"2,055";;0;;2;; ; 
"=""00:45"""; ;0;"2,195";;0;;3;; ; 
"=""01:00"""; ;0;"2,067";;0;;0;; ; 
"=""01:15"""; ;0;"2,015";;0;;0;; ; 
"=""01:30"""; ;0;"1,619";;0;;1;; ; 
"=""01:45"""; ;2;"1,352";;0;;0;; ; 
"=""02:00"""; ;0;"1,422";;0;;0;; ; 
"=""02:15"""; ;0;"1,567";;0;;0;; ; 
"=""02:30"""; ;0;"1,287";;0;;0;; ; 
"=""02:45"""; ;0;"1,483";;0;;0;; ; 
"=""03:00"""; ;0;"1,038";;0;;0;; ; 
"=""03:15"""; ;0;"1,408";;0;;0;; ; 
"=""03:30"""; ;0;"1,116";;0;;1;; ; 
"=""03:45"""; ;1;"1,408";;0;;0;; ; 
"=""04:00"""; ;0;"1,101";;0;;2;; ; 
"=""04:15"""; ;0;"1,258";;0;;3;; ; 
"=""04:30"""; ;0;"1,083";;0;;1;; ; 
"=""04:45"""; ;0;"1,314";;0;;2;; ; 
"=""05:00""";0;1;"1,912";"1,913";0;0;0;; ; 
"=""05:15""";0;1;"2,106";"2,107";0;0;0;; ; 
"=""05:30""";0;2;"2,936";"2,939";0;0;0;; ; 
"=""05:45""";0;1;"1,637";"1,638";0;0;0;; ; 
"=""06:00""";0;0;"1,311";"1,311";0;0;0;; ; 
"=""06:15""";0;0;"1,430";"1,430";0;0;1;0; ; 
"=""06:30""";58;0;"1,304";"1,362";0;58;1;59; ; 
"=""06:45""";123;0;"1,851";"1,974";0;123;1;124; ; 
"=""07:00""";215;0;969;"1,184";0;215;1;216; ; 
