 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,990";;0;;0;; ; 
"=""00:30"""; ;0;"2,219";;0;;0;; ; 
"=""00:45"""; ;1;"1,999";;0;;0;; ; 
"=""01:00"""; ;0;"1,957";;0;;2;; ; 
"=""01:15"""; ;1;"2,041";;0;;0;; ; 
"=""01:30"""; ;0;"1,778";;0;;0;; ; 
"=""01:45"""; ;0;"2,088";;0;;1;; ; 
"=""02:00"""; ;0;"1,805";;0;;2;; ; 
"=""02:15"""; ;0;"1,768";;0;;0;; ; 
"=""02:30"""; ;0;"1,770";;0;;0;; ; 
"=""02:45"""; ;1;"1,813";;0;;0;; ; 
"=""03:00"""; ;0;"1,801";;0;;2;; ; 
"=""03:15"""; ;0;"1,824";;0;;2;; ; 
"=""03:30"""; ;0;"1,825";;0;;0;; ; 
"=""03:45"""; ;0;"1,716";;0;;1;; ; 
"=""04:00"""; ;1;"1,677";;0;;0;; ; 
"=""04:15"""; ;1;"1,712";;0;;0;; ; 
"=""04:30"""; ;1;"1,669";;0;;0;; ; 
"=""04:45"""; ;0;"1,919";;0;;1;; ; 
"=""05:00"""; ;0;"1,698";;0;;2;; ; 
"=""05:15"""; ;0;"1,774";;0;;1;; ; 
"=""05:30""";0;0;"3,109";"3,109";0;0;0;; ; 
"=""05:45""";0;0;"2,364";"2,364";0;0;0;; ; 
"=""06:00""";0;1;"1,649";"1,650";0;0;0;; ; 
"=""06:15""";0;0;"1,321";"1,319";0;0;2;; ; 
"=""06:30""";3;0;"1,592";"1,596";0;3;1;4; ; 
"=""06:45""";51;0;"1,134";"1,184";0;51;2;52; ; 
"=""07:00""";99;0;"1,160";"1,260";0;99;2;101; ; 
"=""07:15""";217;1;"1,525";"1,743";0;217;0;217; ; 
"=""07:30""";337;1;"1,591";"1,929";0;337;0;337; ; 
"=""07:45""";429;0;"1,305";"1,734";0;429;1;430; ; 
"=""08:00""";499;0;650;"1,149";0;499;1;500; ; 
"=""08:15""";562;2;560;"1,123";0;562;0;562; ; 
"=""08:30""";567;0;397;964;0;567;2;569; ; 
"=""08:45""";618;3;382;"1,002";0;618;0;618; ; 
"=""09:00""";749;0;459;"1,209";0;749;0;749; ; 
"=""09:15""";943;0;553;"1,496";11;943;14;968; ; 
"=""09:30""";"1,055";0;544;"1,599";29;"1,055";214;"1,298"; ; 
"=""09:45""";"1,338";0;903;"2,240";33;"1,338";120;"1,490"; ; 
"=""10:00""";"1,096";2;"1,293";"2,390";1;"1,096";0;"1,097"; ; 
"=""10:15""";"1,127";0;"1,606";"2,732";4;"1,127";1;"1,131"; ; 
"=""10:30""";"1,185";0;583;"1,768";17;"1,185";153;"1,355"; ; 
"=""10:45""";"1,372";0;708;"2,080";27;"1,372";78;"1,477"; ; 
"=""11:00""";"1,159";0;796;"1,955";24;"1,159";42;"1,225"; ; 
"=""11:15""";"1,225";0;350;"1,575";28;"1,225";327;"1,579"; ; 
"=""11:30""";"1,545";0;33;"1,579";26;"1,545";509;"2,080"; ; 
"=""11:45""";"1,211";0;252;"1,464";22;"1,211";341;"1,574"; ; 
"=""12:00""";"1,309";0;88;"1,397";12;"1,309";473;"1,793"; ; 
"=""12:15""";"1,466";0;96;"1,562";14;"1,466";103;"1,583"; ; 
"=""12:30""";"1,496";0;41;"1,537";35;"1,496";652;"2,183"; ; 
"=""12:35"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""12:40"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";"1,356";0;59;"1,416";55;"1,356";928;"2,339"; ; 
"=""13:00""";"1,517";0;142;"1,659";31;"1,517";292;"1,840"; ; 
"=""13:15""";"1,353";0;314;"1,667";26;"1,353";502;"1,881"; ; 
"=""13:25"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""13:30""";"1,202";0;416;"1,618";82;"1,202";378;"1,663"; ; 
"=""13:30"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:45""";"1,387";0;386;"1,774";81;"1,387";346;"1,814"; ; 
"=""14:00""";"1,086";0;596;"1,682";20;"1,086";77;"1,183"; ; 
"=""14:15""";993;0;724;"1,717";67;993;270;"1,329"; ; 
"=""14:20"""; ; ; ; ; ; ; ; ; ;"1,830"
"=""14:25"""; ; ; ; ; ; ; ; ; ;"3,000"
