 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;1;"1,715";;0;;0;; ; 
"=""00:30"""; ;0;"1,814";;0;;0;; ; 
"=""00:45"""; ;0;"1,511";;0;;0;; ; 
"=""01:00"""; ;0;"1,649";;0;;1;; ; 
"=""01:15"""; ;1;"1,624";;0;;0;; ; 
"=""01:30"""; ;0;"1,649";;0;;0;; ; 
"=""01:45"""; ;1;"1,324";;0;;0;; ; 
"=""02:00"""; ;2;"1,321";;0;;0;; ; 
"=""02:15"""; ;0;"1,432";;0;;2;; ; 
"=""02:30"""; ;0;"1,216";;0;;1;; ; 
"=""02:45"""; ;1;"1,453";;0;;0;; ; 
"=""03:00"""; ;0;"1,172";;0;;1;; ; 
"=""03:15"""; ;0;"1,177";;0;;0;; ; 
"=""03:30"""; ;0;"1,346";;0;;2;; ; 
"=""03:45"""; ;1;"1,235";;0;;0;; ; 
"=""04:00"""; ;0;"1,033";;0;;4;; ; 
"=""04:15"""; ;0;"1,234";;0;;0;; ; 
"=""04:30"""; ;0;"1,174";;0;;1;; ; 
"=""04:45"""; ;0;"1,243";;0;;0;; ; 
"=""05:00"""; ;0;"1,287";;0;;0;; ; 
"=""05:15""";0;0;"1,222";"1,221";0;0;1;; ; 
"=""05:30""";0;0;"1,964";"1,963";0;0;1;; ; 
"=""05:45""";0;0;"2,535";"2,534";0;0;0;; ; 
"=""06:00""";0;0;"1,069";"1,069";0;0;0;; ; 
"=""06:15""";4;0;"1,302";"1,306";0;4;2;6; ; 
"=""06:30""";83;1;"2,105";"2,189";0;83;0;83; ; 
"=""06:45""";176;0;"1,259";"1,436";0;176;3;179; ; 
"=""07:00""";416;0;"1,115";"1,531";0;416;3;418; ; 
"=""07:15""";602;2;888;"1,492";0;602;0;602; ; 
"=""07:30""";841;0;708;"1,549";0;841;1;841; ; 
"=""07:45""";"1,008";0;"1,759";"2,767";5;"1,008";22;"1,036"; ; 
"=""08:00""";"1,199";0;346;"1,545";16;"1,199";181;"1,396"; ; 
"=""08:14"""; ; ; ; ; ; ; ; ; ;"2,250"
"=""08:15""";"1,166";0;141;"1,307";30;"1,166";382;"1,579"; ; 
"=""08:19"""; ; ; ; ; ; ; ; ; ;"2,670"
"=""08:24"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:30""";"1,157";0;83;"1,240";28;"1,157";622;"1,806"; ; 
"=""08:45""";"1,013";0;51;"1,064";49;"1,013";965;"2,027"; ; 
"=""08:54"""; ; ; ; ; ; ; ; ; ;"2,310"
"=""08:59"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:00""";"1,186";0;85;"1,271";84;"1,186";887;"2,156"; ; 
"=""09:04"""; ; ; ; ; ; ; ; ; ;"1,320"
"=""09:09"""; ; ; ; ; ; ; ; ; ;"1,770"
"=""09:14"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:15""";"1,736";0;129;"1,865";140;"1,736";414;"2,289"; ; 
"=""09:30""";889;0;37;927;39;889;"1,630";"2,558"; ; 
"=""09:45""";766;0;18;785;18;766;"1,908";"2,692"; ; 
"=""10:00""";"1,017";0;98;"1,114";82;"1,017";"1,058";"2,156"; ; 
"=""10:04"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""10:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";"1,463";0;97;"1,560";107;"1,463";226;"1,796"; ; 
"=""10:19"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""10:24"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:29"""; ; ; ; ; ; ; ; ; ;"2,310"
"=""10:30""";764;0;99;863;164;764;"1,895";"2,824"; ; 
"=""10:34"""; ; ; ; ; ; ; ; ; ;"1,410"
"=""10:39"""; ; ; ; ; ; ; ; ; ;"2,190"
"=""10:44"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";705;0;106;811;308;705;"1,535";"2,548"; ; 
"=""10:49"""; ; ; ; ; ; ; ; ; ;"1,830"
"=""10:54"""; ; ; ; ; ; ; ; ; ;"1,800"
"=""10:59"""; ; ; ; ; ; ; ; ; ;"1,770"
"=""11:00""";660;0;6;665;305;660;"1,231";"2,195"; ; 
"=""11:04"""; ; ; ; ; ; ; ; ; ;"1,650"
"=""11:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:14"""; ; ; ; ; ; ; ; ; ;"1,560"
"=""11:15""";722;0;7;729;280;722;"1,053";"2,055"; ; 
"=""11:19"""; ; ; ; ; ; ; ; ; ;"1,920"
"=""11:24"""; ; ; ; ; ; ; ; ; ;"1,410"
"=""11:29"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:30""";676;0;21;697;288;676;848;"1,812"; ; 
