Date,MAAPE
2018-11-01,28.86760137262298
2018-11-03,28.271282419446656
2018-11-04,18.667654536471286
2018-11-05,12.769682850361004
2018-11-06,29.17815431727417
2018-11-07,20.070027158877373
2018-11-08,20.912153286912744
2018-11-09,42.41977485620056
2018-11-10,20.866775102509173
2018-11-11,24.276572711232948
2018-11-12,21.635261291047616
2018-11-13,20.346618467808323
2018-11-14,20.41045004659889
2018-11-15,26.457467896452254
2018-11-16,23.79425161508586
2018-11-17,41.390225665290544
2018-11-18,27.957735677826665
2018-11-19,36.77780362864909
2018-11-20,31.431430422864665
2018-11-21,22.495201865463752
2018-11-22,19.59867341492477
2018-11-23,15.356876859060149
2018-11-24,11.889150669521108
2018-11-25,18.606947336659054
2018-11-26,15.5744819525563
2018-11-27,24.353847214398847
2018-11-28,18.90680446069509
2018-11-29,21.11919036448025
2018-11-30,14.691440700616441
