 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,881";;0;;1;; ; 
"=""00:30"""; ;0;"1,499";;0;;2;; ; 
"=""00:45"""; ;0;"1,866";;0;;0;; ; 
"=""01:00"""; ;0;"1,776";;0;;1;; ; 
"=""01:15"""; ;0;"1,272";;0;;1;; ; 
"=""01:30"""; ;0;"1,763";;0;;0;; ; 
"=""01:45"""; ;0;"1,812";;0;;0;; ; 
"=""02:00"""; ;0;977;;0;;0;; ; 
"=""02:15"""; ;0;"1,490";;0;;1;; ; 
"=""02:30"""; ;1;"1,114";;0;;0;; ; 
"=""02:45"""; ;0;"1,612";;0;;0;; ; 
"=""03:00"""; ;0;"1,107";;0;;2;; ; 
"=""03:15"""; ;2;"1,414";;0;;0;; ; 
"=""03:30"""; ;0;"1,374";;0;;1;; ; 
"=""03:45"""; ;0;909;;0;;0;; ; 
"=""04:00"""; ;0;"1,602";;0;;1;; ; 
"=""04:15"""; ;0;978;;0;;1;; ; 
"=""04:30"""; ;1;"1,645";;0;;0;; ; 
"=""04:45"""; ;0;910;;0;;2;; ; 
"=""05:00"""; ;1;"1,293";;0;;0;; ; 
"=""05:15"""; ;2;"1,208";;0;;0;; ; 
"=""05:30"""; ;0;"1,982";;0;;0;; ; 
"=""05:45""";0;0;"1,319";"1,317";0;0;3;; ; 
"=""06:00""";0;2;"1,201";"1,204";0;0;0;; ; 
"=""06:15""";0;0;"1,316";"1,314";0;0;2;0; ; 
"=""06:30""";11;1;"1,634";"1,646";0;11;0;11; ; 
"=""06:45""";54;0;"1,160";"1,214";0;54;0;54; ; 
"=""07:00""";251;1;"1,164";"1,416";0;251;0;251; ; 
"=""07:15""";450;0;"1,160";"1,611";0;450;2;452; ; 
"=""07:30""";438;1;"2,153";"2,592";0;438;0;438; ; 
"=""07:45""";414;0;"1,443";"1,857";0;414;1;415; ; 
"=""08:00""";474;0;988;"1,462";0;474;1;475; ; 
"=""08:15""";746;0;461;"1,207";5;746;3;754; ; 
"=""08:30""";639;0;467;"1,106";0;639;0;639; ; 
"=""08:45""";639;0;322;960;0;639;1;639; ; 
"=""09:00""";801;0;165;966;10;801;35;846; ; 
"=""09:15""";878;0;30;908;24;878;217;"1,119"; ; 
"=""09:30""";913;0;306;"1,219";38;913;612;"1,562"; ; 
"=""09:30"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""09:35"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:45""";"1,634";0;508;"2,142";34;"1,634";449;"2,117"; ; 
"=""10:00""";"1,228";0;680;"1,908";11;"1,228";53;"1,292"; ; 
"=""10:15""";"1,112";0;109;"1,220";19;"1,112";282;"1,412"; ; 
"=""10:30""";"1,191";0;666;"1,858";13;"1,191";183;"1,388"; ; 
"=""10:30"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""10:35"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";"1,317";0;709;"2,025";33;"1,317";66;"1,415"; ; 
"=""10:45"""; ; ; ; ; ; ; ; ; ;"2,640"
"=""10:50"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:00""";"1,247";0;79;"1,326";47;"1,247";628;"1,922"; ; 
"=""11:15""";"1,736";0;86;"1,822";91;"1,736";385;"2,211"; ; 
"=""11:30""";"1,552";0;65;"1,618";67;"1,552";649;"2,268"; ; 
"=""11:45""";"1,085";0;43;"1,128";43;"1,085";"1,645";"2,773"; ; 
"=""12:00""";890;0;35;926;30;890;"1,771";"2,691"; ; 
"=""12:10"""; ; ; ; ; ; ; ; ; ;"2,550"
"=""12:15""";"1,152";0;149;"1,300";182;"1,152";"1,320";"2,653"; ; 
"=""12:15"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""12:20"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";"1,180";0;147;"1,327";273;"1,180";"1,394";"2,847"; ; 
"=""12:30"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""12:35"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""12:40"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";"1,613";0;89;"1,702";274;"1,613";"1,156";"3,043"; ; 
"=""12:45"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""12:50"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:55"""; ; ; ; ; ; ; ; ; ;"2,730"
"=""13:00""";"2,506";0;86;"2,592";116;"2,506";635;"3,257"; ; 
"=""13:00"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:15""";"3,116";225;71;"3,411";89;"3,116";0;"3,205"; ; 
"=""13:30""";"2,945";235;70;"3,250";61;"2,945";0;"3,006"; ; 
"=""13:45""";"2,738";998;107;"3,843";108;"2,738";0;"2,846"; ; 
"=""14:00""";"2,852";627;27;"3,506";26;"2,852";0;"2,878"; ; 
"=""14:15""";"2,823";430;37;"3,290";42;"2,823";0;"2,865"; ; 
"=""14:15"""; ; ; ; ; ; ; ; ; ;0
"=""14:20"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:30""";"2,048";"1,494";101;"3,644";92;"2,048";0;"2,140"; ; 
"=""14:45""";"1,319";"2,192";100;"3,611";35;"1,319";0;"1,354"; ; 
"=""14:55"""; ; ; ; ; ; ; ; ; ;"2,040"
"=""15:00""";"1,025";979;"2,192";"4,196";38;"1,025";0;"1,063"; ; 
"=""15:00"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""15:05"""; ; ; ; ; ; ; ; ; ;540
"=""15:10"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""15:15""";"1,293";834;791;"2,918";57;"1,293";0;"1,350"; ; 
"=""15:30""";799;723;"1,532";"3,055";33;799;0;832; ; 
"=""15:45""";678;1;"1,550";"2,229";0;678;0;678; ; 
"=""16:00""";"1,022";0;515;"1,537";17;"1,022";14;"1,054"; ; 
"=""16:15""";811;0;836;"1,647";0;811;1;812; ; 
"=""16:30""";664;0;870;"1,534";0;664;0;664; ; 
"=""16:45""";434;0;"1,031";"1,465";0;434;1;435; ; 
"=""17:00""";442;0;"1,699";"2,142";0;442;0;442; ; 
"=""17:15""";536;0;"2,570";"3,105";0;536;0;536; ; 
"=""17:30""";496;1;"2,455";"2,951";0;496;0;496; ; 
"=""17:45""";167;0;"1,701";"1,867";0;167;1;167; ; 
"=""18:00""";135;0;"1,742";"1,878";0;135;2;137; ; 
"=""18:15""";35;0;"2,078";"2,113";0;35;1;36; ; 
"=""18:30""";19;0;"2,956";"2,975";0;19;0;19; ; 
"=""18:45""";0;0;"3,853";"3,853";0;0;0;0; ; 
"=""19:00""";0;0;"3,815";"3,815";0;0;0;0; ; 
"=""19:15""";0;0;"4,462";"4,462";0;0;0;; ; 
"=""19:30""";0;0;"5,505";"5,504";0;0;1;; ; 
"=""19:45""";0;0;"4,795";"4,795";0;0;1;; ; 
"=""20:00""";0;0;"3,780";"3,778";0;0;2;; ; 
"=""20:15""";0;0;"3,035";"3,396";0;0;2;; ; 
"=""20:30""";0;1;"3,345";"3,346";0;0;0;; ; 
"=""20:45"""; ;0;"2,894";;0;;0;; ; 
"=""21:00"""; ;0;"2,455";;0;;0;; ; 
"=""21:15"""; ;0;"2,517";;0;;0;; ; 
"=""21:30"""; ;0;"2,445";;0;;0;; ; 
"=""21:45"""; ;0;"2,432";;0;;1;; ; 
"=""22:00"""; ;0;"2,716";;0;;2;; ; 
"=""22:15"""; ;0;"2,777";;0;;1;; ; 
"=""22:30"""; ;0;"1,953";;0;;1;; ; 
"=""22:45"""; ;0;"2,013";;0;;2;; ; 
"=""23:00"""; ;2;"2,331";;0;;0;; ; 
"=""23:15"""; ;0;"1,833";;0;;0;; ; 
"=""23:30"""; ;0;"2,212";;0;;3;; ; 
"=""23:45"""; ;0;"1,909";;0;;0;; ; 
"=""00:00"""; ;0;"1,805";;0;;0;;300;"3,000"
