 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,008";;0;;2;; ; 
"=""00:30"""; ;0;"1,806";;0;;0;; ; 
"=""00:45"""; ;2;"2,143";;0;;0;; ; 
"=""01:00"""; ;0;"1,561";;0;;2;; ; 
"=""01:15"""; ;0;"1,984";;0;;0;; ; 
"=""01:30"""; ;0;"1,577";;0;;0;; ; 
"=""01:45"""; ;2;"1,230";;0;;0;; ; 
"=""02:00"""; ;0;"2,050";;0;;0;; ; 
"=""02:15"""; ;0;"1,212";;0;;1;; ; 
"=""02:30"""; ;0;"1,630";;0;;0;; ; 
"=""02:45"""; ;3;"1,065";;0;;0;; ; 
"=""03:00"""; ;0;"1,806";;0;;3;; ; 
"=""03:15"""; ;1;"1,163";;0;;0;; ; 
"=""03:30"""; ;0;"1,419";;0;;2;; ; 
"=""03:45"""; ;0;"1,455";;0;;1;; ; 
"=""04:00"""; ;2;"1,095";;0;;0;; ; 
"=""04:15"""; ;0;"1,629";;0;;3;; ; 
"=""04:30"""; ;1;"1,215";;0;;0;; ; 
"=""04:45"""; ;0;"1,875";;0;;0;; ; 
"=""05:00"""; ;0;"2,484";;0;;2;; ; 
"=""05:15"""; ;0;"1,692";;0;;0;; ; 
"=""05:30"""; ;0;"2,699";;0;;2;; ; 
"=""05:45""";0;0;"1,183";"1,182";0;0;1;; ; 
"=""06:00""";0;0;889;888;0;0;1;; ; 
"=""06:15""";0;3;928;930;0;0;0;0; ; 
"=""06:30""";15;0;"2,209";"2,224";0;15;2;17; ; 
"=""06:45""";63;0;"1,089";"1,152";0;63;0;63; ; 
"=""07:00""";159;2;812;973;0;159;0;159; ; 
"=""07:15""";316;2;754;"1,073";0;316;0;316; ; 
"=""07:30""";383;0;723;"1,106";0;383;0;383; ; 
"=""07:45""";424;1;520;945;0;424;0;424; ; 
"=""08:00""";536;0;593;"1,128";0;536;2;537; ; 
"=""08:15""";473;0;677;"1,150";0;473;1;474; ; 
"=""08:30""";578;0;917;"1,495";0;578;1;579; ; 
"=""08:45""";740;2;221;962;20;740;0;759; ; 
"=""09:00""";850;0;174;"1,024";41;850;15;906; ; 
"=""09:15""";680;3;318;"1,001";7;680;0;686; ; 
"=""09:30""";794;0;131;925;14;794;150;958; ; 
"=""09:45""";704;0;23;727;20;704;453;"1,177"; ; 
"=""10:00""";"1,086";0;640;"1,726";44;"1,086";368;"1,497"; ; 
"=""10:15""";638;0;15;652;16;638;942;"1,596"; ; 
"=""10:30""";670;0;38;708;37;670;"1,438";"2,144"; ; 
"=""10:45""";642;0;57;699;59;642;"1,373";"2,074"; ; 
"=""11:00""";817;0;39;856;25;817;"1,449";"2,290"; ; 
"=""11:15""";"1,465";40;19;"1,524";21;"1,465";0;"1,486"; ; 
"=""11:30""";"1,439";0;23;"1,462";18;"1,439";44;"1,501"; ; 
"=""11:45""";"1,414";0;20;"1,434";25;"1,414";600;"2,038"; ; 
"=""12:00""";"1,455";0;40;"1,495";45;"1,455";"1,072";"2,572"; ; 
"=""12:02"""; ; ; ; ; ; ; ; ; ;0
"=""12:07"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:15""";"1,473";649;150;"2,272";134;"1,473";0;"1,607"; ; 
"=""12:22"""; ; ; ; ; ; ; ; ; ;"2,640"
"=""12:27"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";"1,204";652;254;"2,110";262;"1,204";0;"1,466"; ; 
"=""12:45""";607;"1,016";217;"1,840";224;607;0;831; ; 
"=""13:00""";886;749;221;"1,856";208;886;0;"1,094"; ; 
"=""13:12"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""13:15""";"1,427";671;38;"2,137";21;"1,427";0;"1,448"; ; 
"=""13:17"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"1,063";692;"1,367";"3,122";8;"1,063";0;"1,071"; ; 
"=""13:37"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""13:42"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:45""";"2,446";0;322;"2,769";38;"2,446";184;"2,668"; ; 
"=""14:00""";"2,031";116;387;"2,534";22;"2,031";0;"2,053"; ; 
"=""14:15""";"2,571";0;85;"2,656";82;"2,571";375;"3,027"; ; 
"=""14:30""";"2,493";0;88;"2,581";83;"2,493";150;"2,726"; ; 
"=""14:45""";957;501;"1,454";"2,913";23;957;0;980; ; 
"=""15:00""";611;0;"1,680";"2,291";0;611;0;611; ; 
"=""15:15""";555;0;"2,659";"3,214";0;555;0;555; ; 
"=""15:30""";"1,373";0;"1,342";"2,715";35;"1,373";94;"1,502"; ; 
"=""15:45""";930;0;31;961;29;930;410;"1,369"; ; 
"=""16:00""";687;204;26;916;23;687;0;709; ; 
"=""16:15""";266;175;465;906;3;266;0;269; ; 
"=""16:30""";168;0;"1,297";"1,465";0;168;0;168; ; 
"=""16:45""";161;0;706;867;0;161;1;162; ; 
"=""17:00""";30;0;823;853;0;30;0;30; ; 
"=""17:15""";66;0;"1,847";"1,913";0;66;0;66; ; 
"=""17:30""";53;0;"1,740";"1,793";0;53;1;54; ; 
"=""17:45""";201;0;"1,549";"1,750";0;201;2;203; ; 
"=""18:00""";237;1;"1,280";"1,518";0;237;0;237; ; 
"=""18:15""";178;0;"1,479";"1,656";0;178;2;179; ; 
"=""18:30""";150;2;"2,374";"2,526";0;150;0;150; ; 
"=""18:45""";65;0;"2,283";"2,347";0;65;1;66; ; 
"=""19:00""";19;0;"3,334";"3,353";0;19;0;19; ; 
"=""19:15""";0;0;"3,166";"3,165";0;0;0;; ; 
"=""19:30""";0;1;"2,986";"3,632";0;0;0;; ; 
"=""19:45""";0;0;"3,594";"3,594";0;0;0;; ; 
"=""20:00"""; ;0;"5,108";;0;;0;; ; 
"=""20:15"""; ;0;"3,344";;0;;0;; ; 
"=""20:30"""; ;0;"3,273";;0;;0;; ; 
"=""20:45"""; ;0;"2,774";;0;;0;; ; 
"=""21:00"""; ;0;"2,744";;0;;0;; ; 
"=""21:15"""; ;0;"2,425";;0;;0;; ; 
"=""21:30"""; ;0;"2,486";;0;;0;; ; 
"=""21:45"""; ;0;"2,498";;0;;0;; ; 
"=""22:00"""; ;0;"2,375";;0;;0;; ; 
"=""22:15"""; ;0;"2,361";;0;;0;; ; 
"=""22:30"""; ;0;"2,287";;0;;0;; ; 
"=""22:45"""; ;0;"1,840";;0;;0;; ; 
"=""23:00"""; ;0;"2,128";;0;;0;; ; 
"=""23:15"""; ;0;"1,936";;0;;0;; ; 
"=""23:30"""; ;0;"1,850";;0;;0;; ; 
"=""23:45"""; ;0;"2,006";;0;;0;; ; 
"=""00:00"""; ;0;"1,842";;0;;0;;300;"3,000"
