 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,111";;0;;0;; ; 
"=""00:30"""; ;0;"2,323";;0;;0;; ; 
"=""00:45"""; ;0;"2,825";;0;;0;; ; 
"=""01:00"""; ;0;"2,179";;0;;0;; ; 
"=""01:15"""; ;0;"2,669";;0;;0;; ; 
"=""01:30"""; ;0;"1,769";;0;;0;; ; 
"=""01:45"""; ;0;"2,223";;0;;0;; ; 
"=""02:00"""; ;0;"2,125";;0;;0;; ; 
"=""02:15"""; ;0;"2,274";;0;;0;; ; 
"=""02:30"""; ;0;"1,630";;0;;0;; ; 
"=""02:45"""; ;0;"1,841";;0;;0;; ; 
"=""03:00"""; ;0;"1,949";;0;;0;; ; 
"=""03:15"""; ;0;"1,562";;0;;0;; ; 
"=""03:30"""; ;0;"1,878";;0;;0;; ; 
"=""03:45"""; ;0;"1,597";;0;;0;; ; 
"=""04:00"""; ;0;"1,937";;0;;0;; ; 
"=""04:15"""; ;0;"1,665";;0;;0;; ; 
"=""04:30"""; ;0;"1,518";;0;;0;; ; 
"=""04:45"""; ;0;"1,237";;0;;0;; ; 
"=""05:00"""; ;0;"1,120";;0;;0;; ; 
"=""05:15"""; ;0;"2,306";;0;;0;; ; 
"=""05:30""";0;0;"1,414";"1,414";0;0;0;; ; 
"=""05:45""";0;0;"2,128";"2,128";0;0;0;; ; 
"=""06:00""";0;0;"1,527";"1,527";0;0;0;; ; 
"=""06:15""";0;0;"1,767";"1,767";0;0;0;0; ; 
"=""06:30""";15;0;"1,199";"1,214";0;15;0;15; ; 
"=""06:45""";80;0;"1,162";"1,242";0;80;0;80; ; 
"=""07:00""";156;0;"1,654";"1,810";0;156;0;156; ; 
"=""07:15""";351;0;"1,728";"2,079";0;351;0;351; ; 
"=""07:30""";455;0;"2,124";"2,579";0;455;0;455; ; 
"=""07:45""";890;0;201;"1,090";22;890;101;"1,012"; ; 
"=""08:00""";772;0;401;"1,173";7;772;103;882; ; 
"=""08:15""";816;1;863;"1,679";5;816;0;820; ; 
"=""08:30""";852;0;365;"1,217";25;852;135;"1,012"; ; 
"=""08:45""";"1,067";0;566;"1,633";19;"1,067";118;"1,204"; ; 
"=""09:00""";803;0;25;827;22;803;284;"1,108"; ; 
"=""09:15""";964;0;451;"1,415";44;964;65;"1,073"; ; 
"=""09:28"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""09:30""";928;0;204;"1,132";59;928;473;"1,459"; ; 
"=""09:33"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:45""";"1,224";0;72;"1,296";69;"1,224";365;"1,658"; ; 
"=""10:00""";"1,368";0;179;"1,547";79;"1,368";5;"1,452"; ; 
"=""10:15""";"1,534";0;64;"1,598";63;"1,534";320;"1,917"; ; 
"=""10:30""";"1,391";0;52;"1,443";53;"1,391";308;"1,752"; ; 
"=""10:45""";"1,377";0;70;"1,447";68;"1,377";310;"1,755"; ; 
"=""11:00""";"1,066";0;26;"1,092";21;"1,066";853;"1,939"; ; 
"=""11:15""";"1,409";0;30;"1,439";31;"1,409";523;"1,963"; ; 
"=""11:30""";"1,234";0;92;"1,326";116;"1,234";"1,135";"2,484"; ; 
"=""11:43"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""11:45""";"1,283";0;73;"1,356";81;"1,283";736;"2,100"; ; 
"=""11:48"""; ; ; ; ; ; ; ; ; ;"1,860"
"=""11:53"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:58"""; ; ; ; ; ; ; ; ; ;"2,040"
"=""12:00""";"1,188";0;222;"1,409";322;"1,188";884;"2,393"; ; 
"=""12:03"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:08"""; ; ; ; ; ; ; ; ; ;900
"=""12:13"""; ; ; ; ; ; ; ; ; ;"2,580"
"=""12:15""";"1,446";0;96;"1,542";205;"1,446";875;"2,526"; ; 
"=""12:18"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""12:23"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";"1,330";0;76;"1,406";237;"1,330";765;"2,332"; ; 
"=""12:45""";"1,371";118;106;"1,594";102;"1,371";0;"1,473"; ; 
"=""12:53"""; ; ; ; ; ; ; ; ; ;"2,490"
"=""12:58"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:00""";"1,436";0;199;"1,635";224;"1,436";361;"2,021"; ; 
"=""13:15""";"1,087";"3,373";62;"4,521";61;"1,087";0;"1,147"; ; 
"=""13:23"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""13:28"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"2,021";"1,094";"1,667";"4,782";92;"2,021";0;"2,113"; ; 
"=""13:43"""; ; ; ; ; ; ; ; ; ;"2,610"
"=""13:45""";"2,277";926;"1,696";"4,899";78;"2,277";0;"2,355"; ; 
"=""13:48"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:00""";"1,930";701;"1,316";"3,948";61;"1,930";0;"1,991"; ; 
"=""14:15""";"2,413";1;"1,749";"4,162";9;"2,413";0;"2,421"; ; 
"=""14:30""";"2,470";0;"2,175";"4,644";30;"2,470";6;"2,506"; ; 
"=""14:33"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""14:38"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:45""";"1,743";0;"1,887";"3,630";3;"1,743";1;"1,747"; ; 
"=""15:00""";"1,506";0;"1,957";"3,463";2;"1,506";1;"1,509"; ; 
"=""15:15""";"1,353";0;"2,053";"3,406";6;"1,353";50;"1,409"; ; 
"=""15:30""";837;0;"2,670";"3,507";0;837;2;839; ; 
"=""15:45""";835;1;"1,075";"1,911";0;835;0;835; ; 
"=""16:00""";736;0;"1,128";"1,864";0;736;1;737; ; 
"=""16:15""";573;0;"1,796";"2,369";0;573;0;573; ; 
"=""16:30""";739;0;"1,420";"2,159";0;739;3;741; ; 
"=""16:45""";523;0;"1,549";"2,072";0;523;4;527; ; 
"=""17:00""";366;0;"1,227";"1,593";0;366;1;367; ; 
"=""17:15""";319;0;"1,642";"1,961";0;319;0;319; ; 
"=""17:30""";40;0;"2,683";"2,723";0;40;3;43; ; 
"=""17:45""";13;0;"1,708";"1,721";0;13;1;14; ; 
"=""18:00""";23;0;"1,723";"1,746";0;23;1;24; ; 
"=""18:15""";3;1;"2,405";"2,409";0;3;0;3; ; 
"=""18:30""";0;0;"2,481";"2,480";0;0;0;0; ; 
"=""18:45""";0;3;"3,309";"3,052";0;0;0;; ; 
"=""19:00""";0;0;"2,522";"2,520";0;0;2;; ; 
"=""19:15"""; ;0;"3,587";;0;;0;; ; 
"=""19:30"""; ;0;"3,103";;0;;2;; ; 
"=""19:45"""; ;0;"3,184";;0;;1;; ; 
"=""20:00"""; ;0;"4,299";;0;;1;; ; 
"=""20:15"""; ;0;"2,560";;0;;0;; ; 
"=""20:30"""; ;2;"2,682";;0;;0;; ; 
"=""20:45"""; ;0;"2,560";;0;;1;; ; 
"=""21:00"""; ;0;"2,680";;0;;0;; ; 
"=""21:15"""; ;0;"2,309";;0;;4;; ; 
"=""21:30"""; ;1;"2,409";;0;;0;; ; 
"=""21:45"""; ;0;"2,530";;0;;0;; ; 
"=""22:00"""; ;1;"2,332";;0;;0;; ; 
"=""22:15"""; ;0;"2,369";;0;;0;; ; 
"=""22:30"""; ;0;"2,281";;0;;0;; ; 
"=""22:45"""; ;1;"2,334";;0;;0;; ; 
"=""23:00"""; ;0;"2,043";;0;;0;; ; 
"=""23:15"""; ;0;"2,068";;0;;2;; ; 
"=""23:30"""; ;0;"1,802";;0;;1;; ; 
"=""23:45"""; ;1;"2,984";;0;;0;; ; 
"=""00:00"""; ;0;"2,986";;0;;0;;300;"3,000"
