 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""13:00""";"1,102";"1,588";108;"2,798";108;"1,102";0;"1,210"; ; 
"=""13:04"""; ; ; ; ; ; ; ; ; ;"1,260"
"=""13:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:15""";"1,154";"2,069";779;"4,002";206;"1,154";0;"1,360"; ; 
"=""13:29"""; ; ; ; ; ; ; ; ; ;"1,500"
"=""13:30""";"2,191";859;497;"3,547";243;"2,191";0;"2,434"; ; 
"=""13:34"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:45""";"2,426";847;485;"3,758";113;"2,426";0;"2,539"; ; 
"=""14:00""";"2,194";0;45;"2,239";43;"2,194";628;"2,865"; ; 
"=""14:15""";"1,989";0;12;"2,001";9;"1,989";703;"2,701"; ; 
"=""14:30""";"1,918";0;13;"1,932";13;"1,918";674;"2,605"; ; 
"=""14:45""";"2,005";0;26;"2,031";25;"2,005";435;"2,464"; ; 
"=""15:00""";"2,001";0;24;"2,025";24;"2,001";274;"2,299"; ; 
"=""15:15""";"2,145";294;76;"2,516";73;"2,145";0;"2,218"; ; 
"=""15:30""";"1,216";0;60;"1,276";64;"1,216";406;"1,686"; ; 
"=""15:45""";903;0;17;921;15;903;879;"1,798"; ; 
"=""16:00""";"1,062";0;41;"1,103";37;"1,062";449;"1,548"; ; 
"=""16:15""";971;0;22;993;20;971;207;"1,198"; ; 
"=""16:30""";904;0;14;918;13;904;314;"1,231"; ; 
"=""16:45""";899;0;19;918;17;899;64;980; ; 
"=""17:00""";759;150;28;937;20;759;0;779; ; 
"=""17:15""";585;"1,473";23;"2,080";21;585;0;606; ; 
"=""17:30""";0;0;"3,015";"2,315";18;0;"1,142";460; ; 
"=""17:45""";0;0;"3,732";"2,058";0;0;"1,939";264; ; 
"=""18:00""";0;0;"3,118";"2,028";0;0;"1,263";173; ; 
"=""18:15""";0;0;"2,699";"2,034";0;0;765;100; ; 
"=""18:30""";0;0;"3,321";"2,854";0;0;502;35; ; 
"=""18:45""";0;"1,814";"2,527";"4,339";6;0;0;5; ; 
"=""19:00""";0;834;"3,547";"4,373";8;0;0;; ; 
"=""19:15""";0;2;"4,648";"4,726";0;0;0;; ; 
"=""19:30""";0;0;"4,183";"4,181";0;0;2;; ; 
"=""19:45"""; ;0;"3,979";;0;;0;; ; 
"=""20:00"""; ;0;"3,946";;0;;0;; ; 
"=""20:15"""; ;0;"3,873";;0;;1;; ; 
"=""20:30"""; ;0;"4,280";;0;;1;; ; 
"=""20:45"""; ;0;"4,793";;0;;2;; ; 
"=""21:00"""; ;0;"4,624";;0;;1;; ; 
"=""21:15"""; ;1;"4,281";;0;;0;; ; 
"=""21:30"""; ;0;"4,144";;0;;1;; ; 
"=""21:45"""; ;0;"3,992";;0;;0;; ; 
"=""22:00"""; ;0;"3,796";;0;;0;; ; 
"=""22:15"""; ;0;"3,697";;0;;0;; ; 
"=""22:30"""; ;0;"3,561";;0;;0;; ; 
"=""22:45"""; ;0;"3,355";;0;;3;; ; 
"=""23:00"""; ;1;"3,317";;0;;0;; ; 
"=""23:15"""; ;1;"3,444";;0;;0;; ; 
"=""23:30"""; ;0;"3,367";;0;;1;; ; 
"=""23:45"""; ;0;"3,058";;0;;0;; ; 
"=""00:00"""; ;;;;;;;;300;"3,000"
